"","GEOID","NAME","NAMELSAD","State_Name","Elev_mean_m","Elev_cell_count","County_center_Long","County_center_Lat"
"71","12053","Hernando","Hernando County","Florida",14,9817,-96.7873997260689,41.9163237828574
"72","12129","Wakulla","Wakulla County","Florida",6,12774,-96.7873997260689,41.9163237828574
"73","12131","Walton","Walton County","Florida",31,19775,-96.7873997260689,41.9163237828574
"74","28017","Chickasaw","Chickasaw County","Mississippi",100,7319,-96.7873997260689,41.9163237828574
"75","26035","Clare","Clare County","Michigan",319,9649,-96.7873997260689,41.9163237828574
"76","20157","Republic","Republic County","Kansas",463,11343,-96.7873997260689,41.9163237828574
"77","12127","Volusia","Volusia County","Florida",6,19836,-96.7873997260689,41.9163237828574
"78","40017","Canadian","Canadian County","Oklahoma",409,13490,-96.7873997260689,41.9163237828574
"79","13115","Floyd","Floyd County","Georgia",224,7536,-96.7873997260689,41.9163237828574
"80","32001","Churchill","Churchill County","Nevada",1441,78600,-96.7873997260689,41.9163237828574
"81","31181","Webster","Webster County","Nebraska",571,9156,-96.7873997260689,41.9163237828574
"82","17067","Hancock","Hancock County","Illinois",193,12908,-96.7873997260689,41.9163237828574
"83","46067","Hutchinson","Hutchinson County","South Dakota",423,13424,-96.7873997260689,41.9163237828574
"84","41013","Crook","Crook County","Oregon",1325,50114,-96.7873997260689,41.9163237828574
"85","50011","Franklin","Franklin County","Vermont",197,11678,-96.7873997260689,41.9163237828574
"86","26103","Marquette","Marquette County","Michigan",289,60054,-96.7873997260689,41.9163237828574
"87","37057","Davidson","Davidson County","North Carolina",225,8449,-96.7873997260689,41.9163237828574
"88","17025","Clay","Clay County","Illinois",147,7268,-96.7873997260689,41.9163237828574
"89","29103","Knox","Knox County","Missouri",235,7969,-96.7873997260689,41.9163237828574
"90","29117","Livingston","Livingston County","Missouri",231,8448,-96.7873997260689,41.9163237828574
"91","42117","Tioga","Tioga County","Pennsylvania",524,18357,-96.7873997260689,41.9163237828574
"92","31043","Dakota","Dakota County","Nebraska",373,4372,-96.7873997260689,41.9163237828574
"93","26089","Leelanau","Leelanau County","Michigan",182,43255,-96.7873997260689,41.9163237828574
"94","51181","Surry","Surry County","Virginia",22,4676,-96.7873997260689,41.9163237828574
"95","48391","Refugio","Refugio County","Texas",12,11237,-96.7873997260689,41.9163237828574
"96","39017","Butler","Butler County","Ohio",235,7343,-96.7873997260689,41.9163237828574
"97","13273","Terrell","Terrell County","Georgia",100,4771,-96.7873997260689,41.9163237828574
"98","13063","Clayton","Clayton County","Georgia",267,2093,-96.7873997260689,41.9163237828574
"99","56013","Fremont","Fremont County","Wyoming",2143,152672,-96.7873997260689,41.9163237828574
"100","18115","Ohio","Ohio County","Indiana",220,1353,-96.7873997260689,41.9163237828574
"101","13073","Columbia","Columbia County","Georgia",110,4460,-96.7873997260689,41.9163237828574
"102","08115","Sedgwick","Sedgwick County","Colorado",1142,8784,-96.7873997260689,41.9163237828574
"103","30065","Musselshell","Musselshell County","Montana",1072,32791,-96.7873997260689,41.9163237828574
"104","42043","Dauphin","Dauphin County","Pennsylvania",202,8844,-96.7873997260689,41.9163237828574
"105","46101","Moody","Moody County","South Dakota",496,8731,-96.7873997260689,41.9163237828574
"106","54079","Putnam","Putnam County","West Virginia",242,5398,-96.7873997260689,41.9163237828574
"107","34037","Sussex","Sussex County","New Jersey",241,8570,-96.7873997260689,41.9163237828574
"108","20039","Decatur","Decatur County","Kansas",811,13968,-96.7873997260689,41.9163237828574
"109","18123","Perry","Perry County","Indiana",168,5919,-96.7873997260689,41.9163237828574
"110","28145","Union","Union County","Mississippi",123,6108,-96.7873997260689,41.9163237828574
"111","31015","Boyd","Boyd County","Nebraska",527,8928,-96.7873997260689,41.9163237828574
"112","27095","Mille Lacs","Mille Lacs County","Minnesota",359,11796,-96.7873997260689,41.9163237828574
"113","38099","Walsh","Walsh County","North Dakota",342,23569,-96.7873997260689,41.9163237828574
"114","39115","Morgan","Morgan County","Ohio",269,6595,-96.7873997260689,41.9163237828574
"115","39133","Portage","Portage County","Ohio",333,8081,-96.7873997260689,41.9163237828574
"116","56041","Uinta","Uinta County","Wyoming",2209,33509,-96.7873997260689,41.9163237828574
"117","32013","Humboldt","Humboldt County","Nevada",1549,155159,-96.7873997260689,41.9163237828574
"118","48247","Jim Hogg","Jim Hogg County","Texas",162,15437,-96.7873997260689,41.9163237828574
"119","08017","Cheyenne","Cheyenne County","Colorado",1326,27625,-96.7873997260689,41.9163237828574
"120","41005","Clackamas","Clackamas County","Oregon",653,32155,-96.7873997260689,41.9163237828574
"121","05113","Polk","Polk County","Arkansas",361,12607,-96.7873997260689,41.9163237828574
"122","13193","Macon","Macon County","Georgia",115,5823,-96.7873997260689,41.9163237828574
"123","18007","Benton","Benton County","Indiana",230,6411,-96.7873997260689,41.9163237828574
"124","47129","Morgan","Morgan County","Tennessee",454,7801,-96.7873997260689,41.9163237828574
"125","46043","Douglas","Douglas County","South Dakota",474,7158,-96.7873997260689,41.9163237828574
"126","24047","Worcester","Worcester County","Maryland",4,10685,-96.7873997260689,41.9163237828574
