time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7],NO3_ppm[8],NO3_ppm[9]        etc...
2006.75,298,0.221716,-0.018798,0.031531,0.093878,0.055089,0.043334,0.028846,0.711113,0.620607,,
2004.58,230,0.222099,-0.140519,0.0954,0.282034,0.143966,0.420029,0.529268,1.712702,0.74194,,
2004.75,288,0.222457,-0.011722,0.037138,0.088785,0.039977,0.025847,0.012289,0.039323,0.040556,,
2004.83,327,0.222989,0.001304,0.006598,0.008072,0.006706,0.009982,0.009919,0.013062,0.008698,,
2004.58,232,0.223737,-0.163864,0.079507,0.254178,0.135183,0.383955,0.483811,1.712601,0.741759,,
2004.58,233,0.22523,-0.178762,0.069349,0.231221,0.127601,0.355771,0.447817,1.712565,0.741761,,
2004.83,326,0.225647,0.00132,0.006677,0.008168,0.006786,0.010101,0.010037,0.013218,0.008802,,
2006.67,260,0.226319,-0.00416,0.048172,0.084332,0.080046,0.126168,0.174053,0.706125,0.61822,,
2004.67,274,0.227045,0.000234,0.006615,0.009043,0.006664,0.008424,0.008588,0.052378,0.063457,,
2006.75,297,0.227748,-0.009889,0.033487,0.099702,0.058507,0.046073,0.030601,0.711113,0.620607,,
2004.83,325,0.228137,0.001453,0.007058,0.008304,0.006933,0.010334,0.010217,0.013449,0.008962,,
2004.67,273,0.228137,0.001385,0.011993,0.01203,0.008084,0.010065,0.01056,0.078069,0.085581,,
2006.67,259,0.228137,0.000085,0.050972,0.089235,0.084699,0.133502,0.184171,0.706157,0.618204,,
2006.67,258,0.228137,0.001503,0.053685,0.093899,0.089378,0.141097,0.19479,0.706144,0.618166,,
2004.58,229,0.229186,-0.112989,0.101204,0.299195,0.152726,0.445587,0.561472,1.712769,0.741907,,
2017.58,243,0.229357,0.08356,0.133661,0.295204,0.22963,0.24293,0.182617,0.229572,0.15572,,
2004.75,287,0.229985,0.00035,0.040447,0.096696,0.043539,0.02815,0.013384,0.039325,0.040555,,
2017.58,242,0.230524,0.083232,0.132786,0.293358,0.228799,0.242427,0.182442,0.229406,0.155628,,
2017.58,241,0.231946,0.082851,0.131772,0.291222,0.227838,0.241844,0.182239,0.229211,0.155522,,
2004.83,324,0.232405,0.001329,0.006764,0.007613,0.006657,0.010234,0.010254,0.013522,0.009023,,
2006.75,296,0.233782,0.000065,0.035563,0.105883,0.062134,0.049002,0.032447,0.711113,0.620607,,
2017.58,240,0.233897,0.082357,0.130453,0.288443,0.226588,0.241087,0.181975,0.228955,0.155385,,
2004.83,323,0.237574,0.001172,0.006385,0.006731,0.006301,0.010097,0.010291,0.0136,0.009091,,
2004.58,228,0.239558,-0.079871,0.109098,0.322533,0.164638,0.480344,0.605268,1.712838,0.741873,,
2006.67,257,0.240153,0.002578,0.052544,0.090384,0.090516,0.146804,0.205178,0.70537,0.617751,,
2017.58,239,0.241035,0.080754,0.126179,0.279435,0.222534,0.23863,0.181116,0.228104,0.154955,,
2006.75,295,0.24198,0.000128,0.037584,0.112057,0.06581,0.05203,0.034352,0.711079,0.62059,,
2004.75,286,0.242071,0.000554,0.043029,0.103155,0.046448,0.03007,0.01437,0.039138,0.040461,,
2004.83,322,0.243062,0.00101,0.005995,0.005818,0.005934,0.009959,0.010334,0.013689,0.009166,,
2004.67,272,0.24458,0.001061,0.009023,0.004617,0.004981,0.008634,0.010671,0.07733,0.085212,,
2006.83,334,0.246212,0.000812,0.109962,0.245151,0.03787,0.02897,0.018711,0.711787,0.62094,,
2006.83,333,0.247367,0.000722,0.109721,0.244643,0.037642,0.028832,0.018663,0.711738,0.620916,,
2006.83,332,0.248525,0.000631,0.109479,0.244134,0.037412,0.028693,0.018614,0.71169,0.620892,,
2006.83,331,0.249686,0.00054,0.109236,0.243621,0.037182,0.028553,0.018565,0.711641,0.620868,,
2006.75,294,0.250159,0.000303,0.039549,0.118231,0.06954,0.055163,0.036322,0.711012,0.620555,,
2004.83,321,0.25019,0.001115,0.012766,0.011507,0.011718,0.018334,0.016668,0.020081,0.013763,,
2004.58,227,0.250658,-0.044957,0.117716,0.34801,0.177643,0.518287,0.653079,1.712908,0.741838,,
2006.83,330,0.250847,0.000455,0.109682,0.243369,0.036669,0.028416,0.018517,0.711593,0.620844,,
2006.83,329,0.252012,0.000363,0.109437,0.242852,0.036436,0.028275,0.018468,0.711543,0.62082,,
2015.42,181,0.252406,-0.022589,0.060065,0.142626,0.172672,0.199237,0.118535,0.12459,0.07071,,
2015.42,180,0.253162,-0.047521,0.064998,0.148496,0.180031,0.199237,0.118535,0.124593,0.070743,,
2006.83,328,0.253179,0.00027,0.10919,0.242332,0.036202,0.028133,0.018418,0.711494,0.620795,,
