time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7],NO3_ppm[8],NO3_ppm[9]        etc...
2080.08,56,0.0036,0.227151,0.548691,1.171334,0.286797,0.173861,0.132739,0.195534,0.132561,,
2024.08,53,0.003615,0.234195,0.565396,1.212054,0.315583,0.197401,0.149762,0.218781,0.147134,,
2052.08,56,0.003773,0.227823,0.55048,1.175863,0.290232,0.176308,0.134036,0.19707,0.133497,,
2080.08,57,0.003924,0.227156,0.548707,1.171367,0.286812,0.17387,0.132742,0.195537,0.132562,,
2024.08,54,0.003998,0.234201,0.565415,1.212092,0.315601,0.197411,0.149766,0.218784,0.147136,,
2080.08,58,0.0041,0.227159,0.548715,1.171384,0.28682,0.173875,0.132743,0.195538,0.132563,,
2052.08,57,0.004113,0.227829,0.550496,1.175897,0.290247,0.176317,0.134039,0.197073,0.133499,,
2080.08,59,0.004182,0.227161,0.548719,1.171392,0.286823,0.173877,0.132744,0.195539,0.132563,,
2080.08,60,0.004254,0.227162,0.548722,1.1714,0.286827,0.173879,0.132745,0.19554,0.132564,,
2052.08,58,0.004297,0.227832,0.550505,1.175915,0.290256,0.176322,0.134041,0.197075,0.1335,,
2024.08,55,0.004311,0.234207,0.565429,1.212124,0.315615,0.19742,0.149769,0.218787,0.147138,,
2052.08,59,0.004383,0.227834,0.550509,1.175924,0.290259,0.176324,0.134042,0.197076,0.1335,,
2052.08,60,0.004459,0.227835,0.550513,1.175931,0.290263,0.176326,0.134042,0.197077,0.1335,,
2024.08,56,0.004756,0.234215,0.56545,1.212168,0.315635,0.197432,0.149773,0.218791,0.14714,,
2024.08,57,0.005183,0.234223,0.565471,1.212211,0.315654,0.197443,0.149777,0.218796,0.147142,,
2024.08,58,0.005415,0.234227,0.565482,1.212234,0.315664,0.19745,0.149779,0.218798,0.147143,,
2024.08,59,0.005524,0.234229,0.565487,1.212245,0.315669,0.197453,0.14978,0.218799,0.147143,,
2024.08,60,0.005621,0.23423,0.565491,1.212254,0.315674,0.197455,0.149781,0.2188,0.147144,,
2099.33,150,0.228137,0.078025,0.06097,0.043944,0.037855,0.052837,0.049762,0.063519,0.038263,,
2099.33,151,0.228137,0.079001,0.063572,0.049428,0.040323,0.054332,0.050285,0.06404,0.038523,,
2071.33,150,0.228137,0.078686,0.062235,0.046021,0.039048,0.05385,0.050357,0.064139,0.038592,,
2071.33,151,0.228137,0.079704,0.064949,0.051739,0.041621,0.055409,0.050902,0.064683,0.038863,,
2043.33,150,0.228137,0.079553,0.06385,0.048664,0.040574,0.055156,0.051134,0.064954,0.039026,,
2043.33,151,0.228137,0.080621,0.066699,0.054668,0.043276,0.056794,0.051707,0.065525,0.03931,,
2080.58,244,0.228137,0.059186,0.042357,0.036034,0.028537,0.043779,0.047675,0.069369,0.046247,,
2052.58,244,0.228137,0.059749,0.043013,0.036923,0.029089,0.044379,0.048179,0.070032,0.046664,,
2080.58,243,0.228137,0.063544,0.039767,0.031057,0.026932,0.043774,0.048678,0.070808,0.047077,,
2080.58,242,0.228137,0.064743,0.036798,0.02525,0.024653,0.042816,0.048759,0.071041,0.047237,,
2052.58,243,0.228137,0.064106,0.040311,0.031703,0.027367,0.044303,0.049161,0.071458,0.047488,,
2052.58,242,0.228137,0.065273,0.03721,0.025615,0.024961,0.043269,0.049218,0.071669,0.047637,,
2024.58,244,0.228137,0.063476,0.046227,0.04082,0.031849,0.047914,0.05156,0.074703,0.0497,,
2024.58,243,0.228137,0.067885,0.043147,0.034836,0.029776,0.047643,0.052501,0.076115,0.050523,,
2024.58,242,0.228137,0.068901,0.039613,0.027838,0.026955,0.046357,0.052472,0.076243,0.050632,,
