time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7]    NO3_ppm[8]    NO3_ppm[9]        etc...
2034.5,197,-3.671494,0.233657,1.958681,7.597211,6.328954,4.761572,2.096008,1.715376,0.81702
2062.5,193,-3.670475,0.586926,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2034.5,198,-3.665635,0.145965,1.958681,7.597211,6.328954,4.761572,2.096008,1.715376,0.81702
2062.5,194,-3.665293,0.498449,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2062.5,195,-3.659958,0.41029,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2034.5,199,-3.659943,0.058224,1.958681,7.597211,6.328954,4.761572,2.096008,1.715376,0.81702
2062.5,196,-3.654371,0.320912,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2062.5,197,-3.64888,0.233218,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2062.5,198,-3.642998,0.146137,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2076.42,166,-3.638223,0.000686,1.562279,7.972881,7.282636,3.825055,1.169057,0.834858,0.418637
2062.5,199,-3.637271,0.059018,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2090.5,193,-3.636585,0.582907,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2090.5,194,-3.631332,0.495385,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2090.5,195,-3.625878,0.408238,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2090.5,196,-3.6201,0.320094,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2090.5,197,-3.614332,0.233614,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2090.5,198,-3.608157,0.147769,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2090.5,199,-3.602132,0.061904,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2046.5,185,-3.383365,0.198414,1.209405,6.084522,7.405902,4.193407,0.939282,0.908096,0.466519
2074.5,185,-3.350643,0.199624,1.202023,6.053571,7.374948,4.173425,0.9329,0.901475,0.462942
2046.5,186,-3.335717,0.300291,1.184369,5.958566,7.249295,4.196404,0.939282,0.908096,0.466519
2046.5,187,-3.310805,0.29682,1.175082,5.911844,7.192453,4.196404,0.939282,0.908096,0.466519
2074.5,186,-3.303218,0.302293,1.176957,5.927335,7.217819,4.17646,0.9329,0.901475,0.462942
2074.5,187,-3.278425,0.299537,1.167662,5.880523,7.160817,4.17646,0.9329,0.901475,0.462942
2046.5,189,-3.168258,0.060881,1.096298,5.771412,7.091427,4.202933,0.941569,0.910383,0.467648
2046.5,190,-3.148299,0.027875,1.091104,5.744067,7.057828,4.202933,0.941569,0.910383,0.467648
2074.5,189,-3.136671,0.061512,1.088931,5.739545,7.058956,4.18275,0.935103,0.903678,0.46403
2074.5,190,-3.116828,0.029313,1.083739,5.712175,7.025296,4.18275,0.935103,0.903678,0.46403
2046.5,193,-3.019066,0.436602,1.082467,5.69008,6.987065,4.20449,0.942114,0.910928,0.467917
2046.5,194,-3.014896,0.35508,1.082467,5.69008,6.987065,4.20449,0.942114,0.910928,0.467917
2046.5,195,-3.010442,0.272969,1.082467,5.69008,6.987065,4.20449,0.942114,0.910928,0.467917
2046.5,196,-3.006318,0.193163,1.082467,5.69008,6.987065,4.20449,0.942114,0.910928,0.467917
2046.5,197,-3.002224,0.114623,1.082467,5.69008,6.987065,4.20449,0.942114,0.910928,0.467917
2046.5,198,-2.999007,0.039877,1.082467,5.69008,6.987065,4.20449,0.942114,0.910928,0.467917
2074.5,193,-2.988704,0.43372,1.074968,5.657861,6.954293,4.184225,0.935619,0.904194,0.464285
2074.5,194,-2.984462,0.353966,1.074968,5.657861,6.954293,4.184225,0.935619,0.904194,0.464285
2074.5,195,-2.979946,0.273626,1.074968,5.657861,6.954293,4.184225,0.935619,0.904194,0.464285
2074.5,196,-2.97575,0.195371,1.074968,5.657861,6.954293,4.184225,0.935619,0.904194,0.464285
2074.5,197,-2.971549,0.117578,1.074968,5.657861,6.954293,4.184225,0.935619,0.904194,0.464285
2074.5,198,-2.968228,0.043807,1.074968,5.657861,6.954293,4.184225,0.935619,0.904194,0.464285
2052.42,169,-2.956242,0.125413,1.213736,3.722561,3.207696,2.98251,3.712108,2.061758,0.534209
2024.42,169,-2.949336,0.125316,1.215029,3.725986,3.210694,2.985128,3.714152,2.060343,0.532354
2080.42,169,-2.929639,0.129171,1.207741,3.705314,3.192723,2.979134,3.691294,2.038006,0.529448
2052.42,170,-2.920067,0.095636,1.198782,3.676696,3.207696,2.98251,3.711992,2.061804,0.534243
2039.42,152,-2.916534,0.173316,1.566785,4.067877,1.390445,1.221678,0.895083,0.716611,0.359387
2024.42,170,-2.913119,0.09528,1.200045,3.680038,3.210694,2.985128,3.714036,2.060389,0.532388
2080.42,170,-2.893463,0.100822,1.192717,3.65922,3.192723,2.979134,3.691172,2.038062,0.52948
2052.42,171,-2.88787,0.077948,1.184584,3.633151,3.207696,2.98251,3.711879,2.061848,0.534278
2039.42,153,-2.886457,0.194594,1.545024,4.067877,1.390445,1.221678,0.895083,0.716611,0.359387
2024.42,171,-2.88085,0.077197,1.18582,3.636414,3.210694,2.985128,3.713922,2.060433,0.532423
2067.42,152,-2.869578,0.194693,1.553941,4.044596,1.375823,1.209507,0.887491,0.709902,0.355964
2052.42,172,-2.861921,0.075561,1.172162,3.595052,3.207696,2.98251,3.711766,2.06189,0.534312
2080.42,171,-2.861277,0.084208,1.178479,3.615538,3.192723,2.979134,3.691053,2.038116,0.529513
2024.42,172,-2.85483,0.074406,1.173373,3.598246,3.210694,2.985128,3.71381,2.060476,0.532457
2039.42,154,-2.850608,0.249415,1.516782,4.067877,1.390445,1.221678,0.895083,0.716611,0.359387
2052.42,173,-2.840831,0.053685,1.163401,3.568182,3.207696,2.98251,3.711656,2.061931,0.534347
2067.42,153,-2.839664,0.217592,1.531997,4.044596,1.375823,1.209507,0.887491,0.709902,0.355964
2080.42,172,-2.83532,0.082729,1.166011,3.577287,3.192723,2.979134,3.690935,2.038168,0.529546
2024.42,173,-2.833662,0.052156,1.164595,3.571327,3.210694,2.985128,3.7137,2.060516,0.532492
2052.42,174,-2.817758,0.039368,1.153514,3.53786,3.207696,2.98251,3.711548,2.061969,0.534381
2039.42,155,-2.814849,0.29744,1.489248,4.067877,1.390445,1.221678,0.895083,0.716611,0.359387
2080.42,173,-2.814222,0.061688,1.157224,3.550328,3.192723,2.979134,3.690819,2.038218,0.529578
2024.42,174,-2.810545,0.037587,1.154689,3.540949,3.210694,2.985128,3.713592,2.060555,0.532526
2095.42,152,-2.806131,0.223498,1.535937,4.011855,1.354704,1.190791,0.875112,0.699462,0.350801
2067.42,154,-2.804008,0.27405,1.503517,4.044596,1.375823,1.209507,0.887491,0.709902,0.355964
2048.5,183,-2.795082,0.019807,1.070689,5.46044,8.106307,4.490303,1.217247,0.882918,0.442437
2052.42,175,-2.793768,0.016741,1.143746,3.507899,3.207696,2.98251,3.711443,2.062004,0.534416
2080.42,174,-2.791163,0.048193,1.147306,3.519901,3.192723,2.979134,3.690705,2.038265,0.529611
2024.42,175,-2.786506,0.014702,1.144901,3.510934,3.210694,2.985128,3.713487,2.06059,0.53256
2048.5,184,-2.778341,0.000631,1.065119,5.432034,8.106307,4.490303,1.217247,0.882918,0.442437
2039.42,156,-2.777867,0.354962,1.460357,4.067877,1.390445,1.221678,0.895083,0.716611,0.359387
2095.42,153,-2.776449,0.248604,1.513743,4.011855,1.354704,1.190791,0.875112,0.699462,0.350801
2052.42,176,-2.769808,0.013232,1.13277,3.474236,3.207696,2.98251,3.711342,2.062036,0.53445
2067.42,155,-2.768446,0.323781,1.47575,4.044596,1.375823,1.209507,0.887491,0.709902,0.355964
2080.42,175,-2.767189,0.026469,1.137508,3.489841,3.192723,2.979134,3.690594,2.03831,0.529643
2048.42,173,-2.765518,0.256616,0.828449,5.264121,8.07391,4.428919,1.205647,0.871319,0.43671
2076.5,183,-2.762978,0.024033,1.063691,5.430742,8.07197,4.469095,1.211205,0.877006,0.439447
2024.42,176,-2.762513,0.010966,1.133904,3.477209,3.210694,2.985128,3.713385,2.060622,0.532595
2039.33,142,-2.753642,0.008658,1.466704,3.347802,1.389995,1.221678,0.895083,0.716611,0.359387
2039.42,157,-2.746372,0.391563,1.436464,4.067877,1.390445,1.221678,0.895083,0.716611,0.359387
2076.5,184,-2.74631,0.005675,1.0581,5.402197,8.07197,4.469095,1.211205,0.877006,0.439447
2080.42,176,-2.743254,0.023693,1.126502,3.456073,3.192723,2.979134,3.690487,2.038352,0.529676
2095.42,154,-2.740099,0.312267,1.483885,4.011855,1.354704,1.190791,0.875112,0.699462,0.350801
2048.42,174,-2.735362,0.209007,0.820283,5.212234,8.048171,4.452317,1.205647,0.871319,0.43671
2067.42,156,-2.731673,0.382979,1.446614,4.044596,1.375823,1.209507,0.887491,0.709902,0.355964
2076.42,173,-2.730252,0.25422,0.821707,5.237866,8.04054,4.408369,1.199811,0.865612,0.433821
2039.33,143,-2.715226,0.042794,1.43949,3.347802,1.389995,1.221678,0.895083,0.716611,0.359387
2039.42,158,-2.711294,0.46079,1.407168,4.067877,1.390445,1.221678,0.895083,0.716611,0.359387
2095.42,155,-2.705208,0.362877,1.456183,4.011855,1.354704,1.190791,0.875112,0.699462,0.350801
2067.33,142,-2.704254,0.010836,1.456324,3.324504,1.375376,1.209507,0.887491,0.709902,0.355964
2067.42,157,-2.700351,0.421181,1.422518,4.044596,1.375823,1.209507,0.887491,0.709902,0.355964
2076.42,174,-2.700187,0.208375,0.813512,5.185632,8.0149,4.431677,1.199811,0.865612,0.433821
2039.33,144,-2.677011,0.075671,1.412518,3.347802,1.389995,1.221678,0.895083,0.716611,0.359387
2039.42,159,-2.676734,0.531033,1.378144,4.067877,1.390445,1.221678,0.895083,0.716611,0.359387
2095.42,156,-2.667986,0.419765,1.426564,4.011855,1.354704,1.190791,0.875112,0.699462,0.350801
2067.33,143,-2.666117,0.047063,1.428844,3.324504,1.375376,1.209507,0.887491,0.709902,0.355964
2067.42,158,-2.665445,0.49196,1.392972,4.044596,1.375823,1.209507,0.887491,0.709902,0.355964
2041.33,138,-2.663047,0.051206,1.321603,3.260686,1.726879,3.096489,4.059242,5.198818,2.634495
2039.42,160,-2.651789,0.557712,1.358954,4.011232,1.390445,1.221678,0.895083,0.716611,0.359387
2037.33,141,-2.641894,0.000529,1.233058,3.118566,1.313956,0.854352,0.297853,0.265172,0.138173
2039.33,145,-2.640409,0.106706,1.386673,3.347802,1.389995,1.221678,0.895083,0.716611,0.359387
2039.5,182,-2.639916,0.921594,1.377104,3.743962,1.327401,1.221678,0.895083,0.716611,0.359387
2095.33,142,-2.637465,0.013777,1.441715,3.29178,1.35426,1.190791,0.875112,0.699462,0.350801
2039.5,183,-2.636976,0.856893,1.377104,3.743962,1.327401,1.221678,0.895083,0.716611,0.359387
2039.5,184,-2.633946,0.792375,1.377104,3.743962,1.327401,1.221678,0.895083,0.716611,0.359387
2095.42,157,-2.631939,0.487685,1.396641,4.011855,1.354704,1.190791,0.875112,0.699462,0.350801
2067.42,159,-2.631051,0.563726,1.363699,4.044596,1.375823,1.209507,0.887491,0.709902,0.355964
2039.5,185,-2.630818,0.728052,1.377104,3.743962,1.327401,1.221678,0.895083,0.716611,0.359387
2067.33,144,-2.628181,0.082058,1.401607,3.324504,1.375376,1.209507,0.887491,0.709902,0.355964
2039.5,186,-2.627514,0.664022,1.377104,3.743962,1.327401,1.221678,0.895083,0.716611,0.359387
2039.42,161,-2.627335,0.579701,1.340649,3.957201,1.390445,1.221678,0.895083,0.716611,0.359387
2039.5,187,-2.624632,0.599564,1.377104,3.743962,1.327401,1.221678,0.895083,0.716611,0.359387
2039.5,188,-2.622048,0.53482,1.377104,3.743962,1.327401,1.221678,0.895083,0.716611,0.359387
2041.33,139,-2.621547,0.092576,1.321603,3.260686,1.726879,3.096489,4.059242,5.198818,2.634495
2039.5,189,-2.61946,0.470149,1.377104,3.743962,1.327401,1.221678,0.895083,0.716611,0.359387
2039.5,190,-2.616849,0.40557,1.377104,3.743962,1.327401,1.221678,0.895083,0.716611,0.359387
2039.5,191,-2.614191,0.341116,1.377104,3.743962,1.327401,1.221678,0.895083,0.716611,0.359387
2069.33,138,-2.613331,0.054208,1.312957,3.239751,1.711553,3.072772,4.029659,5.160332,2.614836
2037.33,142,-2.612454,0.005516,1.216769,3.118566,1.313956,0.854352,0.297853,0.265172,0.138173
2039.5,192,-2.611486,0.276785,1.377104,3.743962,1.327401,1.221678,0.895083,0.716611,0.359387
2039.5,193,-2.609353,0.213306,1.371016,3.737352,1.331914,1.221678,0.895083,0.716611,0.359387
2039.33,146,-2.608951,0.125568,1.364974,3.347802,1.389995,1.221678,0.895083,0.716611,0.359387
2039.5,194,-2.608025,0.148934,1.363708,3.728293,1.337839,1.221678,0.895083,0.716611,0.359387
2067.42,160,-2.606332,0.591302,1.34445,3.987506,1.375823,1.209507,0.887491,0.709902,0.355964
2039.5,195,-2.605406,0.084658,1.363708,3.728293,1.337839,1.221678,0.895083,0.716611,0.359387
2037.42,153,-2.604598,0.153569,1.212506,3.820144,1.395607,0.87299,0.303096,0.270415,0.140762
2039.42,162,-2.603659,0.600457,1.322998,3.905101,1.390445,1.221678,0.895083,0.716611,0.359387
2039.5,196,-2.602601,0.020672,1.363708,3.728293,1.337839,1.221678,0.895083,0.716611,0.359387
2095.42,158,-2.599916,0.549489,1.369458,4.011855,1.354704,1.190791,0.875112,0.699462,0.350801
2095.33,143,-2.599716,0.05283,1.413871,3.29178,1.35426,1.190791,0.875112,0.699462,0.350801
2067.5,182,-2.599576,0.967448,1.361609,3.712487,1.312441,1.209507,0.887491,0.709902,0.355964
2067.5,183,-2.596642,0.903775,1.361609,3.712487,1.312441,1.209507,0.887491,0.709902,0.355964
2067.5,184,-2.593627,0.840274,1.361609,3.712487,1.312441,1.209507,0.887491,0.709902,0.355964
2065.33,141,-2.59255,0.002299,1.223299,3.094545,1.299381,0.844849,0.294569,0.26202,0.136566
2067.33,145,-2.591846,0.115149,1.375508,3.324504,1.375376,1.209507,0.887491,0.709902,0.355964
2067.5,185,-2.590529,0.776952,1.361609,3.712487,1.312441,1.209507,0.887491,0.709902,0.355964
2067.5,186,-2.587242,0.713935,1.361609,3.712487,1.312441,1.209507,0.887491,0.709902,0.355964
2067.5,187,-2.584386,0.650479,1.361609,3.712487,1.312441,1.209507,0.887491,0.709902,0.355964
2041.33,140,-2.584111,0.124894,1.321603,3.260686,1.726879,3.096489,4.059242,5.198818,2.634495
2067.42,161,-2.582102,0.614201,1.326089,3.93305,1.375823,1.209507,0.887491,0.709902,0.355964
2067.5,188,-2.581811,0.586759,1.361609,3.712487,1.312441,1.209507,0.887491,0.709902,0.355964
2037.33,143,-2.581466,0.017892,1.199061,3.118566,1.313956,0.854352,0.297853,0.265172,0.138173
2039.33,147,-2.580266,0.133991,1.345857,3.347802,1.389995,1.221678,0.895083,0.716611,0.359387
2039.42,163,-2.580233,0.620242,1.305669,3.85395,1.390445,1.221678,0.895083,0.716611,0.359387
2067.5,189,-2.579232,0.523109,1.361609,3.712487,1.312441,1.209507,0.887491,0.709902,0.355964
2067.5,190,-2.576632,0.459551,1.361609,3.712487,1.312441,1.209507,0.887491,0.709902,0.355964
2067.5,191,-2.573986,0.396114,1.361609,3.712487,1.312441,1.209507,0.887491,0.709902,0.355964
2069.33,139,-2.572048,0.098286,1.312957,3.239751,1.711553,3.072772,4.029659,5.160332,2.614836
2067.5,192,-2.571296,0.332798,1.361609,3.712487,1.312441,1.209507,0.887491,0.709902,0.355964
2067.5,193,-2.569168,0.270322,1.355584,3.705917,1.316921,1.209507,0.887491,0.709902,0.355964
2067.5,194,-2.567831,0.206969,1.348353,3.696917,1.322799,1.209507,0.887491,0.709902,0.355964
2095.42,159,-2.567099,0.616713,1.341347,4.011855,1.354704,1.190791,0.875112,0.699462,0.350801
