"year","month","Cinput_mon_Mgha","Manure_Mgha","Soil_covered","Calc_TAVG","PRCP","TM_OPE"
1950,11,0.00096,0,0,8.4,0.8,22.4
1950,12,0,0,0,4.43,0.5,7.7
1951,1,0,0,0,3.46,7.9,4.3
1951,2,0,0,0,7.19,18.3,15.3
1951,3,0,0,0,9.31,29.3,29.7
1951,4,0,0,0,13.81,14,63.6
1951,5,0,0,0,20.35,66.3,140.8
1951,6,0.01698,0,1,25.64,48.5,212.2
1951,7,0.08393,0,1,28.46,48.7,-1283.4
1951,8,0.05935,0,1,26.77,99.8,216
1951,9,0.01728,0,1,23.19,12.7,147
1951,10,0.00578,0,1,17.92,16.2,86.6
1951,11,0.00495,0,0,8.64,3.3,20.8
1951,12,0,0,0,7.16,0,14.6
1952,1,0,0,0,8.07,29.4,17.9
1952,2,0,0,0,8.86,3.5,21.1
1952,3,0,0,0,10.27,0.5,34
1952,4,0,0,0,15.34,86.1,74.9
1952,5,0,0,0,21.34,44,151.7
1952,6,0.01297,0,1,27.5,44.7,-1232.7
1952,7,0.04025,0,1,25.6,84.2,213
1952,8,0.03891,0,1,28.59,29.8,-1207.9
1952,9,0.09522,0,1,21.83,22.9,131.4
1952,10,0.05258,0,1,16.04,0,70.1
1952,11,0.00467,0,0,8.36,18.8,18.8
1952,12,0,0,0,6.08,5.6,10.4
1953,1,0,0,0,9.54,8.9,23.2
1953,2,0,0,0,7.2,2.3,13.9
1953,3,0,0,0,14.15,24.7,58.8
1953,4,0,0,0,16.08,12.2,79.9
1953,5,0,0,0,20.3,21.6,137.4
1953,6,0.03764,0,1,28.96,11.4,-1295
1953,7,0.03339,0,1,27.07,32.2,-1224.6
1953,8,0.04899,0,1,25.28,56,194.8
1953,9,0.21649,0,1,22.6,2.1,138.9
1953,10,0.02064,0,1,16.21,102.1,70.1
1953,11,0.00576,0,0,9.85,3,24.2
1953,12,0,0,0,4.94,0,6.8
1954,1,0,0,0,6.31,0,11.5
1954,2,0,0,0,10.47,0,28.4
1954,3,0,0,0,9.69,0.6,30.7
1954,4,0,0,0,18.47,51.1,104.2
1954,5,0,0,0,17.99,135.4,112
1954,6,0.0192,0,1,25.83,9.9,214.7
1954,7,0.02899,0,1,28.09,9.1,-1267.5
1954,8,0.06233,0,1,25.6,42.7,199.6
1954,9,0.04684,0,1,22.97,0,143.8
1954,10,0.0285,0,1,16.74,78.3,75.6
1954,11,0.00089,0,0,10.65,0,28.9
1954,12,0,0,0,6.75,20.3,12.5
1955,1,0,0,0,4.54,16.6,7.8
1955,2,0,0,0,4.64,0,8.1
1955,3,0,0,0,10.52,0.5,39.3
1955,4,0,0,0,16.36,12.2,88.5
1955,5,0,0,0,19.87,54.1,137.9
1955,6,0.02102,0,1,23.41,28,182.8
1955,7,0.07,0,1,25.88,100.8,217.8
1955,8,0.03398,0,1,25.71,21.6,201.8
1955,9,0.08945,0,1,22.93,60.5,145.7
1955,10,0.03108,0,1,16.92,113.3,81
1955,11,0.00073,0,0,9.85,0,28
1955,12,0,0,0,6.88,0,15
1956,1,0,0,0,6.27,0,11.1
1956,2,0,0,0,4.88,37.6,7.1
1956,3,0,0,0,12.45,0,47.3
1956,4,0,0,0,15.38,9.7,74.5
1956,5,0,0,0,23.02,50.9,173.1
1956,6,0.01435,0,1,26.53,65,225.2
1956,7,0.01454,0,1,26.53,33,227
1956,8,0.09487,0,1,25.77,13.4,201.8
1956,9,0.10916,0,1,23.7,0.8,151.8
1956,10,0.00282,0,1,18.25,29,87.6
1956,11,0.00032,0,0,8.82,0,20.3
1956,12,0,0,0,8.06,6.6,16.8
1957,1,0,0,0,5.57,2.6,11.3
1957,2,0,0,0,10.56,21.4,32.4
1957,3,0,0,0,10.77,26.5,41.5
1957,4,0,0,0,14.18,63.7,70.5
1957,5,0,0,0,18.46,163.8,122.7
1957,6,0.0529,0,1,23.76,120.3,187.7
1957,7,0.08884,0,1,27.39,39.1,-1237.9
1957,8,0.05459,0,1,25.8,8.2,203.2
1957,9,0.07689,0,1,20.66,15,123
1957,10,0.01348,0,1,15.01,118.8,67
1957,11,0.00026,0,0,7.53,42,18.3
1957,12,0,0,0,8.18,1.3,20.5
1958,1,0,0,0,3.98,37.1,6.2
1958,2,0,0,0,5.18,14.7,9.7
1958,3,0,0,0,5.95,75.5,15.2
1958,4,0,0,0,13.89,57.7,67.3
