"site_name","climate_desc.y","Climate_Scenario.y","scenario_abbrev","diff_co2e_n2o","diff_co2e_ch4","diff_co2e_soc","diff_gwp"
"LRF","GFDL_Low",2,"RR25-NT-CR",0.0480499999999999,-0.17408,-1.08663,-1.21266
"LRF","Baseline",1,"RR25-NT-CR",0,0,0,0
"LRF","UKESM_Low",4,"RR50-CR",0.04278,-0.0150000000000001,-1.7477,-1.71992
"LRF","GFDL_High",3,"RR50-CR",0.0443799999999999,0.0315399999999999,0.0466200000000001,0.12255
"LRF","UKESM_High",5,"RR50-CR",-0.17544,0.0333999999999999,-0.7494,-0.89144
"LRF","GFDL_Low",2,"RR50-CR",-0.0478900000000002,-0.01996,-2.00128,-2.06913
"LRF","Baseline",1,"RR50-CR",0,0,0,0
"LRF","UKESM_High",5,"RR50-NT-CR",-0.14876,-0.0164799999999996,-0.84385,-1.00909
"LRF","UKESM_Low",4,"RR50-NT-CR",0.0642400000000003,-0.1034,-0.83365,-0.87281
"LRF","Baseline",1,"RR50-NT-CR",0,0,0,0
"LRF","GFDL_High",3,"RR50-NT-CR",0.0543400000000003,-0.0513199999999996,-0.53166,-0.52864
"LRF","GFDL_Low",2,"RR50-NT-CR",-0.00663999999999998,-0.19428,-0.91193,-1.11285
