"Climate_Scenario","scenario_abbrev","Mgmt_Scenario","Scenario_Name","Model","site_name","CO2e_N2O","CO2e_CH4","CO2e_SOC","GWP","climate_desc"
2,"NT-CR",2,"2_2","APSIM","KBS",16.39795443,-2.8633724676,-8.06666666666667,5.46791529573333,"GFDL_Low"
2,"NT-CR",2,"2_2","Daycent","KBS",7.5683859966,-2.8633724676,-15.4,-10.694986471,"GFDL_Low"
2,"NT-CR",2,"2_2","Millennial","KBS",11.9831702133,-2.8633724676,-6.047657825275,3.072139920425,"GFDL_Low"
2,"NT-CR",2,"2_2","RothC","KBS",11.9831702133,-2.8633724676,0.651200000000007,9.77099774570001,"GFDL_Low"
2,"CC-CR",3,"2_3","APSIM","KBS",7.60249347,-0.4183130016,-3.30000000000001,3.88418046839999,"GFDL_Low"
2,"CC-CR",3,"2_3","Daycent","KBS",8.7732648861,-0.4183130016,0.36666666666667,8.72161855116667,"GFDL_Low"
2,"CC-CR",3,"2_3","Millennial","KBS",8.18787917805,-0.4183130016,-2.84408508427893,4.92548109217107,"GFDL_Low"
2,"CC-CR",3,"2_3","RothC","KBS",8.18787917805,-0.4183130016,-0.225866666666674,7.54369950978333,"GFDL_Low"
2,"RF05-CR",41,"2_41","APSIM","KBS",17.0452854,-0.8008609068,-8.06666666666667,8.17775782653333,"GFDL_Low"
2,"RF05-CR",41,"2_41","Daycent","KBS",10.0977379932,-0.8008609068,-6.6,2.6968770864,"GFDL_Low"
2,"RF05-CR",41,"2_41","Millennial","KBS",13.5715116966,-0.8008609068,-3.58177255573976,9.18887823406025,"GFDL_Low"
2,"RF05-CR",41,"2_41","RothC","KBS",13.5715116966,-0.8008609068,3.68866666666667,16.4593174564667,"GFDL_Low"
2,"RF15-CR",42,"2_42","APSIM","KBS",15.33261015,-0.8168509332,-7.33333333333333,7.18242588346666,"GFDL_Low"
2,"RF15-CR",42,"2_42","Daycent","KBS",9.3151965621,-0.8168509332,-5.13333333333333,3.36501229556667,"GFDL_Low"
2,"RF15-CR",42,"2_42","Millennial","KBS",12.32390335605,-0.8168509332,0.0641415605922806,11.5711939834423,"GFDL_Low"
2,"RF15-CR",42,"2_42","RothC","KBS",12.32390335605,-0.8168509332,4.34133333333333,15.8483857561833,"GFDL_Low"
2,"RF25-CR",43,"2_43","APSIM","KBS",13.87320792,-0.8366481864,-6.6,6.4365597336,"GFDL_Low"
2,"RF25-CR",43,"2_43","Daycent","KBS",8.5444171527,-0.8366481864,-3.66666666666667,4.04110229963333,"GFDL_Low"
