"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha"
"APSIM","1","1","1_1","-0.596106666666666","0.164417777777781","0.394702222222223","5.4","19.65143","0.100619289824101",NA,NA,"31.4"
"Daycent","1","1","1_1","-0.906183051851851","0.0392555456790218","0.0928629333333331","3","64.335794","-0.035258281637355","-52.583549","0.159315635269993","28.9"
"Millennial","1","1","1_1",NA,NA,NA,"2.81920330232521",NA,NA,NA,NA,"68.4732969613659"
"RothC","1","1","1_1",NA,NA,NA,"-2.0756",NA,NA,NA,NA,"19.0095"
"APSIM","1","2","1_2","-0.534604444444446","0.112444444444449","0.43512","4.4","19.56176","0.0832569784645743",NA,NA,"32.5"
"Daycent","1","2","1_2","-0.720132602469135","0.0434116148148251","0.294227377777776","8.6","46.4439809","-0.0195798437941858","-211.4877932","0.179727015379361","39.6"
"Millennial","1","2","1_2",NA,NA,NA,"3.0531392948004",NA,NA,NA,NA,"68.6352980431523"
"RothC","1","2","1_2",NA,NA,NA,"-0.184100000000001",NA,NA,NA,NA,"25.861"
"APSIM","1","3","1_3","0.108382222222221","0.0707822222222236","0.349039999999999","3.2","6.831","0.03230499424626",NA,NA,"29.4"
"Daycent","1","3","1_3","-0.642309372839506","0.213747476543216","0.00459831111110987","-0.600000000000001","52.4826856","-0.0547256009206012","-28.4761441","0.084590374162678","27.4"
"Millennial","1","3","1_3",NA,NA,NA,"1.4462106347178",NA,NA,NA,NA,"71.8991002194385"
"RothC","1","3","1_3",NA,NA,NA,"0.558400000000002",NA,NA,NA,NA,"27.7405"
"APSIM","1","41","1_41","-0.47025777777778","0.164417777777781","0.405635555555554","5.2","18.49643","0.0925157685352628",NA,NA,"31.2"
"Daycent","1","41","1_41","-0.893859002469139","0.037353027160504","0.0840066666666655","2.7","61.9518395","-0.0372149917146195","-53.5020916","0.151218071565276","28.6"
"Millennial","1","41","1_41",NA,NA,NA,"2.23009028433501",NA,NA,NA,NA,"67.8841839433757"
"RothC","1","41","1_41",NA,NA,NA,"-2.2242",NA,NA,NA,NA,"18.8609"
"APSIM","1","42","1_42","-0.285191111111113","0.164417777777781","0.390017777777777","4.9","16.37824","0.0793826532960711",NA,NA,"30.9"
"Daycent","1","42","1_42","-0.847737283950618","0.0331120000000098","0.0716337333333321","2.1","57.0770829","-0.0398505854677017","-55.2800158","0.130465979835953","28"
"Millennial","1","42","1_42",NA,NA,NA,"0.908707172353701",NA,NA,NA,NA,"66.5628008313944"
"RothC","1","42","1_42",NA,NA,NA,"-2.5537",NA,NA,NA,NA,"18.5314"
"APSIM","1","43","1_43","-0.0148355555555586","0.164417777777781","0.366","4.5","14.36834","0.0673832451093213",NA,NA,"30.5"
"Daycent","1","43","1_43","-0.776387851851851","0.0289860543209972","0.0556257333333345","1.4","52.1907911","-0.0457008559263569","-57.1375224","0.114449010594668","27.3"
"Millennial","1","43","1_43",NA,NA,NA,"-0.589144143871295",NA,NA,NA,NA,"65.0649495151694"
"RothC","1","43","1_43",NA,NA,NA,"-2.9213",NA,NA,NA,NA,"18.1638"
"APSIM","1","44","1_44","0.235208888888885","0.164417777777781","0.33248","4.1","12.50188","0.0549372743711986",NA,NA,"30.1"
"Daycent","1","44","1_44","-0.759813925925926","0.0245599802469236","0.0289558666666667","0.700000000000003","47.3584746","-0.052806098438275","-59.9765499","0.0951097933697875","26.6"
"Millennial","1","44","1_44",NA,NA,NA,"-2.3002722931112",NA,NA,NA,NA,"63.3538213659295"
"RothC","1","44","1_44",NA,NA,NA,"-3.326",NA,NA,NA,NA,"17.7591"
"APSIM","1","51","1_51","-0.611617777777782","0.164417777777781","0.360684444444443","6.7","20.72379","0.112595637021207",NA,NA,"33.6"
"Daycent","1","51","1_51","-0.396458962962962","0.0649362765432193","0.388402355555554","7.6","67.033508","0.0357450630281055","-36.4910125","0.280497791524263","33.5"
"Millennial","1","51","1_51",NA,NA,NA,"5.7708132097126",NA,NA,NA,NA,"71.4249068687533"
"RothC","1","51","1_51",NA,NA,NA,"-1.6717",NA,NA,NA,NA,"19.4134"
"APSIM","1","52","1_52","-0.618915555555557","0.16441777777778","0.286942222222223","8.5","22.70465","0.128298474436956",NA,NA,"37.1"
"Daycent","1","52","1_52","0.185710755555556","0.107183466666676","0.738131911111111","12.3","67.161683","0.0913504728587808","-20.5662436","0.433468760833901","38.2"
"Millennial","1","52","1_52",NA,NA,NA,"10.5872252904079",NA,NA,NA,NA,"76.2413189494486"
"RothC","1","52","1_52",NA,NA,NA,"-1.1917",NA,NA,NA,NA,"19.8934"
"APSIM","1","53","1_53","-0.615519999999998","0.164337777777781","0.106017777777777","11.3","26.48265","0.151202475752096",NA,NA,"42.7"
"Daycent","1","53","1_53","0.739806755555559","0.125108483950627","1.03847924444444","14.6","68.8338343","0.229150838566489","-5.787168","0.579051061722484","40.5"
"Millennial","1","53","1_53",NA,NA,NA,"15.4431884570883",NA,NA,NA,NA,"81.097282116129"
"RothC","1","53","1_53",NA,NA,NA,"-0.782499999999999",NA,NA,NA,NA,"20.3026"
"APSIM","1","61","1_61","-0.472328888888889","0.158924444444447","0.461360000000001","4.2","18.52932","0.0958920335360844",NA,NA,"41"
"APSIM","1","62","1_62","-0.438382222222224","0.15225777777778","0.503262222222224","3","17.85227","0.102143208942956",NA,NA,"50.7"
"APSIM","1","63","1_63","-0.404835555555559","0.146426666666669","0.536933333333334","1.8","17.33253","0.108475650172612",NA,NA,"60.1"
"APSIM","1","64","1_64","-0.382035555555554","0.141253333333335","0.567360000000001","0.699999999999989","16.94635","0.113949824099951",NA,NA,"69.1"
"APSIM","1","65","1_65","-0.359982222222222","0.136168888888892","0.592320000000001","-0.299999999999997","16.64529","0.118412273549236",NA,NA,"78.4"
"APSIM","2","1","2_1","-2.0892","0.341093333333339","0.52232888888889","5.1","19.71843","0.0329644024330112",NA,NA,"31.1"
"Daycent","2","1","2_1","-0.906183051851851","0.0392555456790218","0.0928629333333331","3","64.335794","-0.035258281637355","-52.583549","0.159315635269993","28.9"
"Millennial","2","1","2_1",NA,NA,NA,"2.81920330232521",NA,NA,NA,NA,"68.4732969613659"
"RothC","2","1","2_1",NA,NA,NA,"-2.0756",NA,NA,NA,NA,"19.0095"
"APSIM","2","2","2_2","-2.16620444444444","0.292080000000009","0.470213333333334","4.8","19.56331","0.0318568436626674",NA,NA,"33"
"Daycent","2","2","2_2","-0.720132602469135","0.0434116148148251","0.294227377777776","8.6","46.4439809","-0.0195798437941858","-211.4877932","0.179727015379361","39.6"
"Millennial","2","2","2_2",NA,NA,NA,"3.0531392948004",NA,NA,NA,NA,"68.6352980431523"
"RothC","2","2","2_2",NA,NA,NA,"-0.184100000000001",NA,NA,NA,NA,"25.861"
"APSIM","2","3","2_3","-1.03472888888889","0.278995555555558","0.217973333333333","1.9","7.10018","0.00932691763932295",NA,NA,"28.1"
"Daycent","2","3","2_3","-0.642309372839506","0.213747476543216","0.00459831111110987","-0.600000000000001","52.4826856","-0.0547256009206012","-28.4761441","0.084590374162678","27.4"
"Millennial","2","3","2_3",NA,NA,NA,"1.4462106347178",NA,NA,NA,NA,"71.8991002194385"
"RothC","2","3","2_3",NA,NA,NA,"0.558400000000002",NA,NA,NA,NA,"27.7405"
"APSIM","2","41","2_41","-2.06456","0.341093333333339","0.482337777777778","4.9","18.71548","0.0279545947723173",NA,NA,"30.9"
"Daycent","2","41","2_41","-0.893859002469139","0.037353027160504","0.0840066666666655","2.7","61.9518395","-0.0372149917146195","-53.5020916","0.151218071565276","28.6"
"Millennial","2","41","2_41",NA,NA,NA,"2.23009028433501",NA,NA,NA,NA,"67.8841839433757"
"RothC","2","41","2_41",NA,NA,NA,"-2.2242",NA,NA,NA,NA,"18.8609"
"APSIM","2","42","2_42","-1.99563555555555","0.341191111111117","0.426497777777778","4.6","16.74947","0.018197931941477",NA,NA,"30.6"
"Daycent","2","42","2_42","-0.847737283950618","0.0331120000000098","0.0716337333333321","2.1","57.0770829","-0.0398505854677017","-55.2800158","0.130465979835953","28"
"Millennial","2","42","2_42",NA,NA,NA,"0.908707172353701",NA,NA,NA,NA,"66.5628008313944"
"RothC","2","42","2_42",NA,NA,NA,"-2.5537",NA,NA,NA,NA,"18.5314"
"APSIM","2","43","2_43","-1.90810666666667","0.341191111111117","0.36448","4.2","14.93974","0.0107595002465894",NA,NA,"30.2"
"Daycent","2","43","2_43","-0.776387851851851","0.0289860543209972","0.0556257333333345","1.4","52.1907911","-0.0457008559263569","-57.1375224","0.114449010594668","27.3"
"Millennial","2","43","2_43",NA,NA,NA,"-0.589144143871295",NA,NA,NA,NA,"65.0649495151694"
"RothC","2","43","2_43",NA,NA,NA,"-2.9213",NA,NA,NA,NA,"18.1638"
"APSIM","2","44","2_44","-1.75488888888889","0.341191111111117","0.293751111111111","3.8","13.37839","0.00569903337169156",NA,NA,"29.8"
"Daycent","2","44","2_44","-0.759813925925926","0.0245599802469236","0.0289558666666667","0.700000000000003","47.3584746","-0.052806098438275","-59.9765499","0.0951097933697875","26.6"
"Millennial","2","44","2_44",NA,NA,NA,"-2.3002722931112",NA,NA,NA,NA,"63.3538213659295"
"RothC","2","44","2_44",NA,NA,NA,"-3.326",NA,NA,NA,NA,"17.7591"
"APSIM","2","51","2_51","-2.08232888888889","0.341191111111117","0.516791111111113","5.6","20.7172","0.0429465066579001",NA,NA,"32.6"
"Daycent","2","51","2_51","-0.396458962962962","0.0649362765432193","0.388402355555554","7.6","67.033508","0.0357450630281055","-36.4910125","0.280497791524263","33.5"
"Millennial","2","51","2_51",NA,NA,NA,"5.7708132097126",NA,NA,NA,NA,"71.4249068687533"
"RothC","2","51","2_51",NA,NA,NA,"-1.6717",NA,NA,NA,NA,"19.4134"
"APSIM","2","52","2_52","-2.08535111111111","0.341093333333339","0.53207111111111","6.3","22.45162","0.0570188591155688",NA,NA,"34.8"
"Daycent","2","52","2_52","0.185710755555556","0.107183466666676","0.738131911111111","12.3","67.161683","0.0913504728587808","-20.5662436","0.433468760833901","38.2"
"Millennial","2","52","2_52",NA,NA,NA,"10.5872252904079",NA,NA,NA,NA,"76.2413189494486"
"RothC","2","52","2_52",NA,NA,NA,"-1.1917",NA,NA,NA,NA,"19.8934"
"APSIM","2","53","2_53","-2.10398222222222","0.341208888888895","0.576355555555557","7","25.66739","0.0698499128719384",NA,NA,"38.3"
"Daycent","2","53","2_53","0.739806755555559","0.125108483950627","1.03847924444444","14.6","68.8338343","0.229150838566489","-5.787168","0.579051061722484","40.5"
"Millennial","2","53","2_53",NA,NA,NA,"15.4431884570883",NA,NA,NA,NA,"81.097282116129"
"RothC","2","53","2_53",NA,NA,NA,"-0.782499999999999",NA,NA,NA,NA,"20.3026"
"APSIM","2","61","2_61","-1.95406222222222","0.33931555555556","0.565368888888889","3.8","18.11308","0.0264422160118376",NA,NA,"40.6"
"APSIM","2","62","2_62","-1.94197333333333","0.335173333333339","0.588355555555557","2.5","17.27458","0.0327066184448474",NA,NA,"50.2"
"APSIM","2","63","2_63","-1.92992","0.331280000000005","0.610417777777775","1.2","16.64202","0.0379247147788931",NA,NA,"59.5"
"APSIM","2","64","2_64","-1.91824","0.327555555555561","0.628453333333333","0","16.17687","0.0427448068387321",NA,NA,"68.4"
"APSIM","2","65","2_65","-1.90828444444445","0.323866666666671","0.648195555555557","-1.10000000000001","15.80124","0.0470691172119029",NA,NA,"77.6"
"APSIM","3","1","3_1","-2.93802666666667","-1.05812444444444","-0.406133333333333","4.3","25.72855","0.200852411638994",NA,NA,"30.3"
"Daycent","3","1","3_1","-1.18283458765433","-0.692438775308641","0.308660711111111","0.400000000000002","70.7596963","0.0708133508137375","-51.1897385","-0.153108599794944","26.3"
"Millennial","3","1","3_1",NA,NA,NA,"-13.5504405547314",NA,NA,NA,NA,"52.0979097210237"
"RothC","3","1","3_1",NA,NA,NA,"-2.8598",NA,NA,NA,NA,"18.2245"
"APSIM","3","2","3_2","-2.75392000000001","-1.32824888888889","-0.0259288888888891","3.7","24.71474","0.176532072990301",NA,NA,"31.8"
"Daycent","3","2","3_2","-0.824228681481479","-0.700919387654324","0.45557031111111","4.7","51.9550857","0.0725320039125386","-222.9636366","-0.42106093902939","35.7"
"Millennial","3","2","3_2",NA,NA,NA,"-3.09758817427289",NA,NA,NA,NA,"62.4828468994202"
"RothC","3","2","3_2",NA,NA,NA,"-1.3932",NA,NA,NA,NA,"24.6511"
"APSIM","3","3","3_3","-1.90251816860465","-0.753368888888879","-0.446906666666669","1.1","9.41861","0.0427136380075622",NA,NA,"27.3"
"Daycent","3","3","3_3","-1.5535333728395","-0.367136612345677","0.306706088888889","-2.8","58.0799032","-0.114940937300676","-27.3400105","-0.388448545386198","25.2"
"Millennial","3","3","3_3",NA,NA,NA,"6.53161548409119",NA,NA,NA,NA,"76.9809858049195"
"RothC","3","3","3_3",NA,NA,NA,"-1.2897",NA,NA,NA,NA,"25.8917"
"APSIM","3","41","3_41","-2.89613333333332","-1.05812444444444","-0.390613333333334","4.1","24.43672","0.187047667269439",NA,NA,"30.1"
"Daycent","3","41","3_41","-1.16869050864198","-0.692801639506172","0.292979911111111","0.200000000000003","68.0144025","0.0636183437448573","-51.9104214","-0.157413275598088","26.1"
"Millennial","3","41","3_41",NA,NA,NA,"-13.9250137244403",NA,NA,NA,NA,"51.7233365513148"
"RothC","3","41","3_41",NA,NA,NA,"-2.9873",NA,NA,NA,NA,"18.097"
"APSIM","3","42","3_42","-2.76848","-1.05812444444444","-0.341893333333333","3.9","22.0207","0.163790096991615",NA,NA,"29.9"
"Daycent","3","42","3_42","-1.09335966419753","-0.695443891358025","0.256481022222223","-0.299999999999997","62.6169034","0.0475488199243741","-53.2933422","-0.173236856596037","25.6"
"Millennial","3","42","3_42",NA,NA,NA,"-14.8111258827038",NA,NA,NA,NA,"50.8372243930513"
"RothC","3","42","3_42",NA,NA,NA,"-3.2723",NA,NA,NA,NA,"17.812"
"APSIM","3","43","3_43","-2.53521777777777","-1.05812444444444","-0.283262222222223","3.6","19.78777","0.142322002301496",NA,NA,"29.5"
"Daycent","3","43","3_43","-0.965268958024691","-0.698331180246914","0.214998355555555","-0.899999999999999","57.089796","0.0315487620581901","-55.028271","-0.18771273793575","25"
"Millennial","3","43","3_43",NA,NA,NA,"-15.7702141624612",NA,NA,NA,NA,"49.8781361132939"
"RothC","3","43","3_43",NA,NA,NA,"-3.5827",NA,NA,NA,NA,"17.5016"
"APSIM","3","44","3_44","-2.21691555555556","-1.05812444444444","-0.235226666666668","3.2","17.71997","0.123611865855663",NA,NA,"29.1"
"Daycent","3","44","3_44","-0.928752592592591","-0.69888027654321","0.1631876","-1.4","51.5543227","0.0184626242643385","-58.333569","-0.20381855085441","24.5"
"Millennial","3","44","3_44",NA,NA,NA,"-16.8899539116056",NA,NA,NA,NA,"48.7583963641495"
"RothC","3","44","3_44",NA,NA,NA,"-3.9327",NA,NA,NA,NA,"17.1516"
"APSIM","3","51","3_51","-2.94801777777778","-1.05811555555555","-0.420035555555554","4.5","26.78343","0.206351204997534",NA,NA,"31.4"
"Daycent","3","51","3_51","-0.782635871604935","-0.674759407407407","0.653380533333333","4.6","74.9379946","0.178721819891494","-33.8647695","-0.0567555869446373","30.5"
"Millennial","3","51","3_51",NA,NA,NA,"-11.74929597609",NA,NA,NA,NA,"53.8990542996651"
"RothC","3","51","3_51",NA,NA,NA,"-2.4735",NA,NA,NA,NA,"18.6108"
"APSIM","3","52","3_52","-2.96075555555556","-1.05831111111111","-0.471351111111112","4.6","28.43368","0.209175604142692",NA,NA,"33.1"
"Daycent","3","52","3_52","-0.315198518518519","-0.650367486419754","0.841020933333333","8.6","77.5249171","0.296009484234745","-17.3677706","0.109683686944631","34.5"
"Millennial","3","52","3_52",NA,NA,NA,"-9.3336548274072",NA,NA,NA,NA,"56.3146954483479"
"RothC","3","52","3_52",NA,NA,NA,"-2.07",NA,NA,NA,NA,"19.0143"
"APSIM","3","53","3_53","-2.97349333333334","-1.05848888888888","-0.542071111111111","4.4","31.26085","0.200396439256945",NA,NA,"35.7"
"Daycent","3","53","3_53","0.224893353086419","-0.649497817283947","1.02875168888889","10.9","80.063628","0.392318938944592","-2.852402","0.217971352289811","36.8"
"Millennial","3","53","3_53",NA,NA,NA,"-6.79722043227711",NA,NA,NA,NA,"58.851129843478"
"RothC","3","53","3_53",NA,NA,NA,"-1.6917",NA,NA,NA,NA,"19.3926"
"APSIM","3","61","3_61","-3.02","-1.05912888888888","-0.386462222222223","3","23.53701","0.179017580141378",NA,NA,"39.8"
"APSIM","3","62","3_62","-3.02454222222222","-1.06236444444444","-0.367297777777779","1.7","22.54934","0.176902331086634",NA,NA,"49.3"
"APSIM","3","63","3_63","-3.02876444444445","-1.06546666666666","-0.345875555555557","0.399999999999999","21.80744","0.176463915831005",NA,NA,"58.6"
"APSIM","3","64","3_64","-3.03340444444444","-1.06775999999999","-0.329991111111111","-0.900000000000006","21.27318","0.176811191846129",NA,NA,"67.5"
"APSIM","3","65","3_65","-3.03789333333333","-1.06940444444444","-0.310266666666667","-2","20.86526","0.178305934571757",NA,NA,"76.7"
"APSIM","4","1","4_1","-2.11687111111111","-0.899999999999981","0.901013333333331","4.5","21.61742","0.119550655926349",NA,NA,"30.5"
"Daycent","4","1","4_1","-0.424736454320989","-0.452576908641968","0.256364888888887","0.5","69.2713173","-0.056125341344737","-62.0058228","-0.086768557074506","26.4"
"Millennial","4","1","4_1",NA,NA,NA,"-13.6629086229017",NA,NA,NA,NA,"51.9857910521791"
"RothC","4","1","4_1",NA,NA,NA,"-3.16",NA,NA,NA,NA,"17.9244"
"APSIM","4","2","4_2","-2.13642666666667","-0.840293333333321","0.91151111111111","3.9","20.62901","0.0815092848923195",NA,NA,"32.1"
"Daycent","4","2","4_2","-0.268213511111115","-0.424660859259253","0.217108088888889","4.8","51.2224459","-0.0264741387144557","-243.349977","-0.23576076582365","35.8"
"Millennial","4","2","4_2",NA,NA,NA,"-3.94719352095129",NA,NA,NA,NA,"61.6323323440487"
"RothC","4","2","4_2",NA,NA,NA,"-1.9288",NA,NA,NA,NA,"24.115"
"APSIM","4","3","4_3","-2.11824963924964","-0.665697777777769","0.665795555555555","1.3","7.55507","0.0194849876705554",NA,NA,"27.5"
"Daycent","4","3","4_3","-0.57932341728395","-0.366060108641967","0.221595866666667","-3.3","51.8299465","-0.1188808717738","-48.0277676","-0.23159651770335","24.7"
"Millennial","4","3","4_3",NA,NA,NA,"0.700726292723189",NA,NA,NA,NA,"71.1504076744288"
"RothC","4","3","4_3",NA,NA,NA,"-2.6053",NA,NA,NA,NA,"24.5776"
"APSIM","4","41","4_41","-2.10848888888889","-0.899999999999981","0.873706666666667","4.4","20.69513","0.117897968107839",NA,NA,"30.4"
"Daycent","4","41","4_41","-0.363241955555555","-0.453245096296289","0.25721071111111","0.200000000000003","66.5210685","-0.0604471169817584","-62.7317676","-0.0911853797676025","26.1"
"Millennial","4","41","4_41",NA,NA,NA,"-14.08832427973",NA,NA,NA,NA,"51.5603753953508"
"RothC","4","41","4_41",NA,NA,NA,"-3.2815",NA,NA,NA,NA,"17.8029"
"APSIM","4","42","4_42","-2.09936","-0.899999999999981","0.814720000000001","4.2","18.9549","0.111335124116387",NA,NA,"30.2"
"Daycent","4","42","4_42","-0.280624059259257","-0.457242133333326","0.245079333333333","-0.299999999999997","61.0406678","-0.0675547433174479","-63.880968","-0.104341525632264","25.6"
"Millennial","4","42","4_42",NA,NA,NA,"-14.9362570223184",NA,NA,NA,NA,"50.7124426527624"
"RothC","4","42","4_42",NA,NA,NA,"-3.5341",NA,NA,NA,NA,"17.5503"
"APSIM","4","43","4_43","-2.11135111111111","-0.899999999999981","0.778346666666664","4","17.255","0.103188499095838",NA,NA,"30"
"Daycent","4","43","4_43","-0.290962686419753","-0.461387338271598","0.228586933333331","-0.799999999999997","55.8155443","-0.0708185607430598","-65.7484081","-0.107822440396447","25.1"
"Millennial","4","43","4_43",NA,NA,NA,"-15.8807496179755",NA,NA,NA,NA,"49.7679500571053"
