"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
"1850",NA,NA,NA,"59.9429361151632","Millennial","2_43","2","4","3"
"1851",NA,NA,NA,"57.3672367165156","Millennial","2_43","2","4","3"
"1852",NA,NA,NA,"56.6895688234107","Millennial","2_43","2","4","3"
"1853",NA,NA,NA,"55.1218082469363","Millennial","2_43","2","4","3"
"1854",NA,NA,NA,"53.7533241786629","Millennial","2_43","2","4","3"
"1855",NA,NA,NA,"51.95493509373","Millennial","2_43","2","4","3"
"1856",NA,NA,NA,"50.0595160459205","Millennial","2_43","2","4","3"
"1857",NA,NA,NA,"49.3476830533546","Millennial","2_43","2","4","3"
"1858",NA,NA,NA,"48.037787599438","Millennial","2_43","2","4","3"
"1859",NA,NA,NA,"46.512325821445","Millennial","2_43","2","4","3"
"1860",NA,NA,NA,"45.0448439387396","Millennial","2_43","2","4","3"
"1861",NA,NA,NA,"44.0653869330984","Millennial","2_43","2","4","3"
"1862",NA,NA,NA,"42.9977356378109","Millennial","2_43","2","4","3"
"1863",NA,NA,NA,"42.2019298135195","Millennial","2_43","2","4","3"
"1864",NA,NA,NA,"41.7457964984017","Millennial","2_43","2","4","3"
"1865",NA,NA,NA,"41.097746408355","Millennial","2_43","2","4","3"
"1866",NA,NA,NA,"40.130108772084","Millennial","2_43","2","4","3"
"1867",NA,NA,NA,"39.5029456692071","Millennial","2_43","2","4","3"
"1868",NA,NA,NA,"38.5931965562126","Millennial","2_43","2","4","3"
"1869",NA,NA,NA,"37.1876583010794","Millennial","2_43","2","4","3"
"1870",NA,NA,NA,"36.1742908324986","Millennial","2_43","2","4","3"
"1871",NA,NA,NA,"35.0558242961304","Millennial","2_43","2","4","3"
"1872",NA,NA,NA,"34.1584409472529","Millennial","2_43","2","4","3"
"1873",NA,NA,NA,"33.2059394384921","Millennial","2_43","2","4","3"
"1874",NA,NA,NA,"32.2214242829886","Millennial","2_43","2","4","3"
"1875",NA,NA,NA,"31.6757554253136","Millennial","2_43","2","4","3"
"1876",NA,NA,NA,"30.8948741748942","Millennial","2_43","2","4","3"
"1877",NA,NA,NA,"30.5235995623486","Millennial","2_43","2","4","3"
"1878",NA,NA,NA,"29.8331111683212","Millennial","2_43","2","4","3"
"1879",NA,NA,NA,"29.5328768362538","Millennial","2_43","2","4","3"
"1880",NA,NA,NA,"29.1385605409544","Millennial","2_43","2","4","3"
"1881",NA,NA,NA,"28.855147775698","Millennial","2_43","2","4","3"
"1882",NA,NA,NA,"28.5635417626578","Millennial","2_43","2","4","3"
"1883",NA,NA,NA,"28.0681170657534","Millennial","2_43","2","4","3"
"1884",NA,NA,NA,"27.4037878580796","Millennial","2_43","2","4","3"
"1885",NA,NA,NA,"27.3638287192288","Millennial","2_43","2","4","3"
"1886",NA,NA,NA,"26.9692036534828","Millennial","2_43","2","4","3"
"1887",NA,NA,NA,"26.4454951620097","Millennial","2_43","2","4","3"
"1888",NA,NA,NA,"25.9231747880568","Millennial","2_43","2","4","3"
"1889",NA,NA,NA,"25.6164292312305","Millennial","2_43","2","4","3"
"1890",NA,NA,NA,"25.2816768195147","Millennial","2_43","2","4","3"
"1891",NA,NA,NA,"25.079128065563","Millennial","2_43","2","4","3"
"1892",NA,NA,NA,"25.0445619163085","Millennial","2_43","2","4","3"
"1893",NA,NA,NA,"24.9185164299299","Millennial","2_43","2","4","3"
"1894",NA,NA,NA,"24.6001224528361","Millennial","2_43","2","4","3"
"1895",NA,NA,NA,"24.4424301434676","Millennial","2_43","2","4","3"
"1896",NA,NA,NA,"24.1213191774091","Millennial","2_43","2","4","3"
"1897",NA,NA,NA,"23.4407742198853","Millennial","2_43","2","4","3"
"1898",NA,NA,NA,"22.9808716009573","Millennial","2_43","2","4","3"
"1899",NA,NA,NA,"22.4288340886488","Millennial","2_43","2","4","3"
"1900",NA,NA,NA,"21.999096236505","Millennial","2_43","2","4","3"
