"","Climate_Scenario","Mgmt_Scenario","Scenario_Name","mean_MaizeYld_Mgha","mean_SoyYld_Mgha","mean_WheatYld_Mgha","mean_SOC_Mgha","mean_N2O_Mgha","mean_CH4_Mgha","mean_CO2e_SOC","mean_CO2e_N2O","mean_CO2e_CH4","mean_GWP","sd_MaizeYld_Mgha","sd_SoyYld_Mgha","sd_WheatYld_Mgha","sd_SOC_Mgha","sd_N2O_Mgha","sd_CH4_Mgha","sd_CO2e_SOC","sd_CO2e_N2O","sd_CO2e_CH4","sd_GWP","scenario_abbrev"
"1",1,1,"1_1",-0.8,0.1,0.2,2.29,0.04,-0.05,-8.38,12.51,-1.47,2.7,0.2,0.1,0.2,3.14,0.02,0,11.5,5.44,0,14.2,"CR"
"2",1,2,"1_2",-0.6,0.1,0.4,3.97,0.03,-0.21,-14.55,9.83,-5.92,-10.6,0.1,0,0.1,3.64,0.01,0,13.34,3.27,0,12.1,"NT-CR"
"3",1,3,"1_3",-0.3,0.1,0.2,1.15,0.03,-0.03,-4.22,8.84,-0.8,3.8,0.5,0.1,0.2,1.6,0.02,0,5.88,5.55,0,11.3,"CC-CR"
"4",1,41,"1_41",-0.7,0.1,0.2,1.98,0.04,-0.05,-7.25,11.99,-1.5,3.2,0.3,0.1,0.2,3.09,0.02,0,11.33,5.29,0,14,"RF05-CR"
"5",1,42,"1_42",-0.6,0.1,0.2,1.34,0.04,-0.06,-4.91,10.94,-1.55,4.5,0.4,0.1,0.2,3.09,0.02,0,11.32,4.95,0,13.9,"RF15-CR"
"6",1,43,"1_43",-0.4,0.1,0.2,0.6,0.03,-0.06,-2.19,9.92,-1.6,6.1,0.5,0.1,0.2,3.14,0.02,0,11.53,4.6,0,14,"RF25-CR"
"7",1,44,"1_44",-0.3,0.1,0.2,-0.21,0.03,-0.06,0.76,8.92,-1.68,8,0.7,0.1,0.2,3.34,0.01,0,12.25,4.24,0,14.5,"RF35-CR"
"8",1,51,"1_51",-0.5,0.1,0.4,4.6,0.04,-0.04,-16.87,13.08,-1.02,-4.8,0.2,0.1,0,4.25,0.02,0,15.57,5.63,0,16.1,"RR50-CR"
"9",1,52,"1_52",-0.2,0.1,0.5,7.55,0.04,-0.02,-27.68,13.39,-0.58,-14.9,0.6,0,0.3,6.03,0.02,0,22.11,5.41,0,21.4,"RR25-CR"
"10",1,53,"1_53",0.1,0.1,0.6,10.14,0.05,-0.01,-37.18,14.2,-0.16,-23.1,1,0,0.7,7.5,0.02,0,27.5,5.15,0,27,"RR00-CR"
"11",1,61,"1_61",-0.5,0.2,0.5,4.2,0.02,NA,-15.4,5.52,NA,-9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
"12",1,62,"1_62",-0.4,0.2,0.5,3,0.02,NA,-11,5.32,NA,-5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
"13",1,63,"1_63",-0.4,0.1,0.5,1.8,0.02,NA,-6.6,5.17,NA,-1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
"14",1,64,"1_64",-0.4,0.1,0.6,0.7,0.02,NA,-2.57,5.05,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
"15",1,65,"1_65",-0.4,0.1,0.6,-0.3,0.02,NA,1.1,4.96,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
"16",2,1,"2_1",-1.5,0.2,0.3,2.21,0.04,-0.05,-8.11,12.52,-1.47,2.9,0.8,0.2,0.3,3.04,0.02,0,11.15,5.43,0,13.7,"CR"
"17",2,2,"2_2",-1.4,0.2,0.4,4.07,0.03,-0.21,-14.91,9.84,-5.92,-11,1,0.2,0.1,3.66,0.01,0,13.42,3.27,0,12.4,"NT-CR"
"18",2,3,"2_3",-0.8,0.2,0.1,0.83,0.03,-0.03,-3.03,8.88,-0.8,5.1,0.3,0,0.2,1.1,0.02,0,4.04,5.52,0,9.4,"CC-CR"
"19",2,41,"2_41",-1.5,0.2,0.3,1.9,0.04,-0.05,-6.97,12.02,-1.5,3.5,0.8,0.2,0.3,2.99,0.02,0,10.95,5.26,0,13.5,"RF05-CR"
"20",2,42,"2_42",-1.4,0.2,0.2,1.26,0.04,-0.06,-4.63,11,-1.55,4.8,0.8,0.2,0.3,2.97,0.02,0,10.9,4.91,0,13.4,"RF15-CR"
"21",2,43,"2_43",-1.3,0.2,0.2,0.52,0.03,-0.06,-1.92,10,-1.6,6.5,0.8,0.2,0.2,3.02,0.02,0,11.08,4.53,0,13.5,"RF25-CR"
"22",2,44,"2_44",-1.3,0.2,0.2,-0.28,0.03,-0.06,1.03,9.05,-1.68,8.4,0.7,0.2,0.2,3.21,0.01,0,11.78,4.13,0,13.9,"RF35-CR"
"23",2,51,"2_51",-1.2,0.2,0.5,4.32,0.04,-0.04,-15.86,13.07,-1.02,-3.8,1.2,0.2,0.1,4.1,0.02,0,15.03,5.63,0,15,"RR50-CR"
"24",2,52,"2_52",-0.9,0.2,0.6,7,0.04,-0.02,-25.67,13.35,-0.58,-12.9,1.6,0.2,0.1,6.02,0.02,0,22.06,5.44,0,20.5,"RR25-CR"
"25",2,53,"2_53",-0.7,0.2,0.8,9.07,0.05,-0.01,-33.24,14.08,-0.16,-19.3,2,0.2,0.3,7.58,0.02,0,27.81,5.25,0,26.1,"RR00-CR"
"26",2,61,"2_61",-2,0.3,0.6,3.8,0.02,NA,-13.93,5.4,NA,-8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
"27",2,62,"2_62",-1.9,0.3,0.6,2.5,0.02,NA,-9.17,5.15,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
"28",2,63,"2_63",-1.9,0.3,0.6,1.2,0.02,NA,-4.4,4.96,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
"29",2,64,"2_64",-1.9,0.3,0.6,0,0.02,NA,0,4.82,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
