"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
2078,NA,1.76038,NA,22.8,"LDNDC","1_1",1,1,""
2079,NA,NA,6.31613,22.8,"LDNDC","1_1",1,1,""
2080,7.94499,NA,NA,23.4,"LDNDC","1_1",1,1,""
2081,NA,1.24924,NA,23.1,"LDNDC","1_1",1,1,""
2082,NA,NA,7.23597,23,"LDNDC","1_1",1,1,""
2083,6.51465,NA,NA,23.4,"LDNDC","1_1",1,1,""
2084,NA,1.68673,NA,23.1,"LDNDC","1_1",1,1,""
2085,NA,NA,5.47235,22.9,"LDNDC","1_1",1,1,""
2086,7.89717,NA,NA,23.3,"LDNDC","1_1",1,1,""
2087,NA,1.50028,NA,23,"LDNDC","1_1",1,1,""
2088,NA,NA,7.28594,22.8,"LDNDC","1_1",1,1,""
2089,6.66232,NA,NA,23,"LDNDC","1_1",1,1,""
2090,NA,1.8486,NA,22.6,"LDNDC","1_1",1,1,""
2091,NA,NA,6.02321,22.6,"LDNDC","1_1",1,1,""
2092,7.9087,NA,NA,23,"LDNDC","1_1",1,1,""
2093,NA,1.53394,NA,22.8,"LDNDC","1_1",1,1,""
2094,NA,NA,7.07782,22.6,"LDNDC","1_1",1,1,""
2095,7.89296,NA,NA,23,"LDNDC","1_1",1,1,""
2096,NA,0.998398,NA,22.7,"LDNDC","1_1",1,1,""
2097,NA,NA,6.15799,22.5,"LDNDC","1_1",1,1,""
2098,7.89911,NA,NA,23.2,"LDNDC","1_1",1,1,""
2099,NA,1.92808,NA,22.8,"LDNDC","1_1",1,1,""
