"year","Obs_sd","crop","treatment_scen","Model","yield_val"
1989,NA,"Maize","No Till, Crop Rotation","Daycent",7.87505111111111
1991,0.330753054911566,"Maize","No Till, Crop Rotation","Observed",8.026
1991,NA,"Maize","No Till, Crop Rotation","APSIM",7.497
1991,NA,"Maize","No Till, Crop Rotation","Daycent",11.2186622222222
1993,0.633050629886741,"Maize","No Till, Crop Rotation","Observed",7.09
1993,NA,"Maize","No Till, Crop Rotation","APSIM",7.47
1993,NA,"Maize","No Till, Crop Rotation","Daycent",5.37587555555556
1996,0.990027019833297,"Maize","No Till, Crop Rotation","Observed",4.041
1996,NA,"Maize","No Till, Crop Rotation","APSIM",7.722
1996,NA,"Maize","No Till, Crop Rotation","Daycent",6.50975333333333
1999,0.284180915967276,"Maize","No Till, Crop Rotation","Observed",3.804
1999,NA,"Maize","No Till, Crop Rotation","APSIM",7.803
1999,NA,"Maize","No Till, Crop Rotation","Daycent",4.27695777777778
2002,0.376830103627616,"Maize","No Till, Crop Rotation","Observed",5.221
2002,NA,"Maize","No Till, Crop Rotation","APSIM",7.315
2002,NA,"Maize","No Till, Crop Rotation","Daycent",7.46644222222222
2005,0.858893626514173,"Maize","No Till, Crop Rotation","Observed",8.805
2005,NA,"Maize","No Till, Crop Rotation","APSIM",5.95
2005,NA,"Maize","No Till, Crop Rotation","Daycent",5.50320666666667
2008,0.475627456804868,"Maize","No Till, Crop Rotation","Observed",6.516
2008,NA,"Maize","No Till, Crop Rotation","APSIM",8.672
2008,NA,"Maize","No Till, Crop Rotation","Daycent",5.67757111111111
2011,0.736637942728086,"Maize","No Till, Crop Rotation","Observed",11.52
2011,NA,"Maize","No Till, Crop Rotation","APSIM",8.691
2011,NA,"Maize","No Till, Crop Rotation","Daycent",7.78906444444444
2014,0.456625193128894,"Maize","No Till, Crop Rotation","Observed",11.437
2014,NA,"Maize","No Till, Crop Rotation","APSIM",9.654
2014,NA,"Maize","No Till, Crop Rotation","Daycent",6.59862222222222
2017,0.979473257759836,"Maize","No Till, Crop Rotation","Observed",9.927
2017,NA,"Maize","No Till, Crop Rotation","APSIM",8.896
2017,NA,"Maize","No Till, Crop Rotation","Daycent",6.66040666666667
2020,0.646018590031794,"Maize","No Till, Crop Rotation","Observed",10.293
2020,NA,"Maize","No Till, Crop Rotation","APSIM",8.26
2020,NA,"Maize","No Till, Crop Rotation","Daycent",8.30588
1990,0.164235704603678,"Soybean","No Till, Crop Rotation","Observed",2.973
1990,NA,"Soybean","No Till, Crop Rotation","APSIM",2.851
1990,NA,"Soybean","No Till, Crop Rotation","Daycent",2.41467111111111
1992,0.103902678823343,"Soybean","No Till, Crop Rotation","Observed",2.219
1992,NA,"Soybean","No Till, Crop Rotation","APSIM",1.815
1992,NA,"Soybean","No Till, Crop Rotation","Daycent",2.43102222222222
1994,0.210382271116176,"Soybean","No Till, Crop Rotation","Observed",2.862
1994,NA,"Soybean","No Till, Crop Rotation","APSIM",2.984
1994,NA,"Soybean","No Till, Crop Rotation","Daycent",2.57048222222222
1997,0.144096849375689,"Soybean","No Till, Crop Rotation","Observed",2.044
1997,NA,"Soybean","No Till, Crop Rotation","APSIM",2.202
1997,NA,"Soybean","No Till, Crop Rotation","Daycent",2.40057111111111
2000,0.0828401774503169,"Soybean","No Till, Crop Rotation","Observed",2.922
2000,NA,"Soybean","No Till, Crop Rotation","APSIM",2.715
2000,NA,"Soybean","No Till, Crop Rotation","Daycent",2.73552222222222
2003,0.0875255334173977,"Soybean","No Till, Crop Rotation","Observed",1.855
2003,NA,"Soybean","No Till, Crop Rotation","APSIM",2.61
2003,NA,"Soybean","No Till, Crop Rotation","Daycent",2.05424444444444
2006,0.0830034396877625,"Soybean","No Till, Crop Rotation","Observed",3.602
2006,NA,"Soybean","No Till, Crop Rotation","APSIM",2.176
2006,NA,"Soybean","No Till, Crop Rotation","Daycent",2.12482888888889
2009,0.154909199210376,"Soybean","No Till, Crop Rotation","Observed",2.57
2009,NA,"Soybean","No Till, Crop Rotation","APSIM",3.184
2009,NA,"Soybean","No Till, Crop Rotation","Daycent",2.32106444444444
2012,0.128236745903817,"Soybean","No Till, Crop Rotation","Observed",1.884
2012,NA,"Soybean","No Till, Crop Rotation","APSIM",2.39
2012,NA,"Soybean","No Till, Crop Rotation","Daycent",1.78826444444444
2015,0.0452377460387525,"Soybean","No Till, Crop Rotation","Observed",3.966
2015,NA,"Soybean","No Till, Crop Rotation","APSIM",3.778
2015,NA,"Soybean","No Till, Crop Rotation","Daycent",3.07155777777778
2018,0.17961560065874,"Soybean","No Till, Crop Rotation","Observed",3.589
2018,NA,"Soybean","No Till, Crop Rotation","APSIM",0.58
2018,NA,"Soybean","No Till, Crop Rotation","Daycent",2.73658444444444
2021,0.144962377877848,"Soybean","No Till, Crop Rotation","Observed",4.18
2021,NA,"Soybean","No Till, Crop Rotation","APSIM",2.689
2021,NA,"Soybean","No Till, Crop Rotation","Daycent",3.37213777777778
1995,0.219579627925725,"Wheat","No Till, Crop Rotation","Observed",3.485
1995,NA,"Wheat","No Till, Crop Rotation","APSIM",3.738
1995,NA,"Wheat","No Till, Crop Rotation","Daycent",4.06708444444444
1998,0.0972404596862849,"Wheat","No Till, Crop Rotation","Observed",2.802
1998,NA,"Wheat","No Till, Crop Rotation","APSIM",2.84
1998,NA,"Wheat","No Till, Crop Rotation","Daycent",3.11378888888889
2001,0.285547276295888,"Wheat","No Till, Crop Rotation","Observed",3.726
2001,NA,"Wheat","No Till, Crop Rotation","APSIM",4.241
2001,NA,"Wheat","No Till, Crop Rotation","Daycent",3.42364666666667
2004,0.150016514646444,"Wheat","No Till, Crop Rotation","Observed",4.162
2004,NA,"Wheat","No Till, Crop Rotation","APSIM",3.924
2004,NA,"Wheat","No Till, Crop Rotation","Daycent",3.85297333333333
2007,0.219504797214093,"Wheat","No Till, Crop Rotation","Observed",4.199
2007,NA,"Wheat","No Till, Crop Rotation","APSIM",3.268
2007,NA,"Wheat","No Till, Crop Rotation","Daycent",3.32545111111111
2010,0.144821109188774,"Wheat","No Till, Crop Rotation","Observed",3.646
2010,NA,"Wheat","No Till, Crop Rotation","APSIM",3.572
2010,NA,"Wheat","No Till, Crop Rotation","Daycent",5.03564
2013,0.27859969430469,"Wheat","No Till, Crop Rotation","Observed",3.033
2013,NA,"Wheat","No Till, Crop Rotation","APSIM",2.738
2013,NA,"Wheat","No Till, Crop Rotation","Daycent",4.0614
2016,0.170595139633774,"Wheat","No Till, Crop Rotation","Observed",5.886
2016,NA,"Wheat","No Till, Crop Rotation","APSIM",4.76
2016,NA,"Wheat","No Till, Crop Rotation","Daycent",2.88273777777778
2019,0.151472686206678,"Wheat","No Till, Crop Rotation","Observed",5.192
2019,NA,"Wheat","No Till, Crop Rotation","APSIM",5.138
2019,NA,"Wheat","No Till, Crop Rotation","Daycent",4.11442444444444
1990,1.29169253307434,"Maize","Cover Crop, Crop Rotation","Observed",4.546
1990,NA,"Maize","Cover Crop, Crop Rotation","APSIM",6.051
1990,NA,"Maize","Cover Crop, Crop Rotation","Daycent",7.18142666666667
1993,0.669948256708432,"Maize","Cover Crop, Crop Rotation","Observed",5.049
1993,NA,"Maize","Cover Crop, Crop Rotation","APSIM",6.951
1993,NA,"Maize","Cover Crop, Crop Rotation","Daycent",6.1431
1996,0.489029651452752,"Maize","Cover Crop, Crop Rotation","Observed",4.178
1996,NA,"Maize","Cover Crop, Crop Rotation","APSIM",5.043
1996,NA,"Maize","Cover Crop, Crop Rotation","Daycent",5.44316888888889
1999,0.320954647367298,"Maize","Cover Crop, Crop Rotation","Observed",4.414
1999,NA,"Maize","Cover Crop, Crop Rotation","APSIM",6.649
1999,NA,"Maize","Cover Crop, Crop Rotation","Daycent",5.56827555555556
2002,0.895819615026746,"Maize","Cover Crop, Crop Rotation","Observed",6.472
2002,NA,"Maize","Cover Crop, Crop Rotation","APSIM",4.974
2002,NA,"Maize","Cover Crop, Crop Rotation","Daycent",7.13952444444444
2005,0.489972829518808,"Maize","Cover Crop, Crop Rotation","Observed",7.627
2005,NA,"Maize","Cover Crop, Crop Rotation","APSIM",5.285
2005,NA,"Maize","Cover Crop, Crop Rotation","Daycent",8.00956666666667
2008,0.353644493806987,"Maize","Cover Crop, Crop Rotation","Observed",5.08
2008,NA,"Maize","Cover Crop, Crop Rotation","APSIM",6.624
2008,NA,"Maize","Cover Crop, Crop Rotation","Daycent",1.79929111111111
2011,0.627287549427427,"Maize","Cover Crop, Crop Rotation","Observed",11.85
2011,NA,"Maize","Cover Crop, Crop Rotation","APSIM",5.561
2011,NA,"Maize","Cover Crop, Crop Rotation","Daycent",10.09328
2014,0.651878127924742,"Maize","Cover Crop, Crop Rotation","Observed",8.915
2014,NA,"Maize","Cover Crop, Crop Rotation","APSIM",6.741
2014,NA,"Maize","Cover Crop, Crop Rotation","Daycent",5.97480888888889
2017,0.77829674974695,"Maize","Cover Crop, Crop Rotation","Observed",7.692
