"year","Observed","Obs_sd","APSIM","Daycent","crop","treatment_scen"
2008,5.08,0.353644493806987,6.676,1.79929111111111,"Maize","Cover Crop, Crop Rotation"
2011,11.85,0.627287549427427,5.596,10.09328,"Maize","Cover Crop, Crop Rotation"
2014,8.915,0.651878127924742,6.814,5.97480888888889,"Maize","Cover Crop, Crop Rotation"
2017,7.692,0.77829674974695,6.972,7.04950444444444,"Maize","Cover Crop, Crop Rotation"
2020,8.486,0.924560541374477,6.241,5.86224666666667,"Maize","Cover Crop, Crop Rotation"
1991,3.177,0.24718656921443,4.18,3.25964888888889,"Soybean","Cover Crop, Crop Rotation"
1994,3.091,0.398587004303954,2.237,2.87166,"Soybean","Cover Crop, Crop Rotation"
1997,1.814,0.177018139371836,2.177,2.51013555555556,"Soybean","Cover Crop, Crop Rotation"
2000,2.866,0.147769506326576,2.205,2.44426222222222,"Soybean","Cover Crop, Crop Rotation"
2003,1.198,0.235701908491778,2.628,2.17843333333333,"Soybean","Cover Crop, Crop Rotation"
2006,3.205,0.143260248033663,2.377,2.44791555555556,"Soybean","Cover Crop, Crop Rotation"
2009,2.219,0.249690061209225,2.842,2.20001555555556,"Soybean","Cover Crop, Crop Rotation"
2012,1.405,0.17434928926344,2.445,1.84927555555556,"Soybean","Cover Crop, Crop Rotation"
2015,4.154,0.168639580170255,3.756,3.14070888888889,"Soybean","Cover Crop, Crop Rotation"
2018,3.617,0.187542223690204,0.438,2.68871111111111,"Soybean","Cover Crop, Crop Rotation"
2021,4.094,0.286698698985538,2.97,2.35447555555556,"Soybean","Cover Crop, Crop Rotation"
1989,1.993,0.583001000570897,NA,NA,"Wheat","Cover Crop, Crop Rotation"
1992,2.283,0.58560384789264,0.856,1.21958,"Wheat","Cover Crop, Crop Rotation"
1995,3.177,0.097616878663477,2.979,3.37618888888889,"Wheat","Cover Crop, Crop Rotation"
1998,2.209,0.155551068784499,2.27,2.10411333333333,"Wheat","Cover Crop, Crop Rotation"
2001,3.676,0.182797654981312,3.248,2.10913777777778,"Wheat","Cover Crop, Crop Rotation"
2004,3.847,0.166491701494899,3.263,3.86904222222222,"Wheat","Cover Crop, Crop Rotation"
2007,2.54,0.0817207052506686,2.503,3.74221777777778,"Wheat","Cover Crop, Crop Rotation"
2010,3.12,0.398985269987084,3.485,5.89135111111111,"Wheat","Cover Crop, Crop Rotation"
2013,3.319,0.288822159814651,2.566,2.56191555555556,"Wheat","Cover Crop, Crop Rotation"
2016,5.137,0.259653772679441,4.208,3.17618222222222,"Wheat","Cover Crop, Crop Rotation"
2019,4.814,0.179026981206744,4.58,3.70683777777778,"Wheat","Cover Crop, Crop Rotation"
