"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha"
"APSIM","1","62","1_62","0.756056565656571","-0.035466666666673","-0.135022222222233","1.09999999999999","6.51087","0.272676965517243",NA,NA,"48.8"
"APSIM","1","63","1_63","0.772517171717183","-0.0398222222222286","-0.124444444444457","0.400000000000006","6.25134","0.27730731034483",NA,NA,"58.7"
"APSIM","1","64","1_64","0.791014141414152","-0.0438666666666738","-0.11137777777779","-0.200000000000003","6.05083","0.280642344827589",NA,NA,"68.2"
"APSIM","1","65","1_65","0.797066666666673","-0.0482222222222277","-0.101195959595971","-0.700000000000003","5.89532","0.28415710344828",NA,NA,"78"
"APSIM","2","1","2_1","0.568993939393927","0.501199999999997","0.504169696969704","2.3","6.82025","0.186812000000002",NA,NA,"28.3"
"Daycent","2","1","2_1","-0.778854662177338","0.657125432098766","-0.649662913580251","2","24.4333908","-0.104687609655167","-21.9903502","0.354825603065125","27.9"
"Millennial","2","1","2_1",NA,NA,NA,"1.42787373047341",NA,NA,NA,NA,"67.0819673895141"
"RothC","2","1","2_1",NA,NA,NA,"-0.924400000000002",NA,NA,NA,NA,"20.1607"
"APSIM","2","2","2_2","0.530133333333325","0.371155555555532","0.455127272727267","2.2","6.84658","0.205272689655174",NA,NA,"30.4"
"Daycent","2","2","2_2","-0.357058765432104","0.660105185185181","-0.455097481481481","4.2","17.6419254","-0.0755042786206832","-79.5381241","0.386442088122534","35.2"
"Millennial","2","2","2_2",NA,NA,NA,"1.649361225075",NA,NA,NA,NA,"67.2315199734269"
"RothC","2","2","2_2",NA,NA,NA,"-0.177600000000002",NA,NA,NA,NA,"25.8675"
"APSIM","2","3","2_3","-0.60140606060606","0.548488888888897","0.227280808080813","0.900000000000002","2.45255","0.0434351724137932",NA,NA,"27.1"
"Daycent","2","3","2_3","-0.496638796857454","0.608673679012341","-0.638741876543214","-0.100000000000001","20.4505009","-0.138000409655171","-11.6198056","0.404479793103434","27.9"
"Millennial","2","3","2_3",NA,NA,NA,"0.775659568439707",NA,NA,NA,NA,"71.2285491531604"
"RothC","2","3","2_3",NA,NA,NA,"0.0616000000000021",NA,NA,NA,NA,"27.2437"
"APSIM","2","41","2_41","0.537543434343426","0.501199999999997","0.473567676767679","2.2","6.49101","0.176475448275864",NA,NA,"28.2"
"Daycent","2","41","2_41","-0.819802540965213","0.654940740740734","-0.635594814814816","1.8","23.5378508","-0.107080999999994","-22.2461363","0.346714750191564","27.7"
"Millennial","2","41","2_41",NA,NA,NA,"0.976847060656297",NA,NA,NA,NA,"66.630940719697"
"RothC","2","41","2_41",NA,NA,NA,"-1.006",NA,NA,NA,NA,"20.0791"
"APSIM","2","42","2_42","0.469551515151501","0.501199999999997","0.480242424242427","2","5.86677","0.156535586206897",NA,NA,"28"
"Daycent","2","42","2_42","-0.794629566778909","0.651048049382716","-0.607688839506174","1.4","21.7137449","-0.10958322482758","-22.6903037","0.328426172413783","27.3"
