Model,Climate_Scenario,Mgmt_Scenario,Scenario_Name,Maize_Diff_Mgha,Soybean_Diff_Mgha,Wheat_Diff_Mgha,SOC_Diff_Mgha,Total_N2O_kgha,N2O_Diff_kgha,Total_CH4_kgha,CH4_Diff_kgha,Total_SOC_Mgha,Cotton_Diff_Mgha,Sorghum_Diff_Mgha,N2O_Mgha,CH4_Mgha,CO2e_SOC,CO2e_N2O,CO2e_CH4,scenario_abbrev,GWP,,
APSIM,2,62,2_62,-0.675337374,0.384377778,0.828121212,0.9,28.0968,0.544190897,NA,NA,48.6,NA,NA,0.0280968,NA,-3.3,12.0535272,NA,BC38-CR,8.7535272,,
APSIM,2,63,2_63,-0.663684848,0.3808,0.84260202,0.1,27.29548,0.546775172,NA,NA,58.4,NA,NA,0.02729548,NA,-0.366666667,11.70976092,NA,BC57-CR,11.34309425,,
APSIM,2,64,2_64,-0.659329293,0.377222222,0.85289697,-0.5,26.63102,0.543035586,NA,NA,67.9,NA,NA,0.02663102,NA,1.833333333,11.42470758,NA,BC76-CR,13.25804091,,
APSIM,2,65,2_65,-0.654634343,0.374577778,0.865793939,-1.2,26.06009,0.539997655,NA,NA,77.6,NA,NA,0.02606009,NA,4.4,11.17977861,NA,BC96-CR,15.57977861,,
APSIM,3,1,3_1,-1.119490909,0.532622222,0.42,3,36.4633,0.210340966,-9.78734924,NA,29,NA,NA,0.0364633,-0.009787349,-11,15.6427557,-0.352344573,CR,4.290411127,,
APSIM,3,2,3_2,-0.827216162,-0.533244444,0.667361616,2.4,31.49868,0.216646345,-9.81883398,NA,30.6,NA,NA,0.03149868,-0.009818834,-8.8,13.51293372,-0.353478023,NT-CR,4.359455697,,
APSIM,3,3,3_3,-0.461292929,0.946866667,0.226375758,1.4,16.5199,-0.067134897,-9.75280528,NA,27.7,NA,NA,0.0165199,-0.009752805,-5.133333333,7.0870371,-0.35110099,CC-CR,1.602602777,,
APSIM,3,41,3_41,-1.163216162,0.532622222,0.380290909,2.9,34.79149,0.203528828,-9.78787776,NA,28.9,NA,NA,0.03479149,-0.009787878,-10.63333333,14.92554921,-0.352363599,RF05-CR,3.939852277,,
APSIM,3,42,3_42,-1.149866667,0.532622222,0.358909091,2.7,31.43195,0.147791862,-9.78765314,NA,28.7,NA,NA,0.03143195,-0.009787653,-9.9,13.48430655,-0.352355513,RF15-CR,3.231951037,,
APSIM,3,43,3_43,-1.133123232,0.532622222,0.31099798,2.4,28.76486,0.102516966,-9.79537984,NA,28.4,NA,NA,0.02876486,-0.00979538,-8.8,12.34012494,-0.352633674,RF25-CR,3.187491266,,
APSIM,3,44,3_44,-1.022876768,0.532622222,0.17490101,2.2,26.62069,0.077413241,-9.80427486,NA,28.2,NA,NA,0.02662069,-0.009804275,-8.066666667,11.42027601,-0.352953895,RF35-CR,3.000655448,,
APSIM,3,51,3_51,-1.116436364,0.532155556,0.398674747,3.3,37.59573,0.183459172,-9.7494756,NA,30.3,NA,NA,0.03759573,-0.009749476,-12.1,16.12856817,-0.350981122,RR50-CR,3.677587048,,
APSIM,3,52,3_52,-1.125090909,0.532155556,0.388549495,3.8,40.0881,0.128748828,-9.63923474,NA,32.4,NA,NA,0.0400881,-0.009639235,-13.93333333,17.1977949,-0.347012451,RR25-CR,2.917449116,,
APSIM,3,53,3_53,-1.128032323,0.531222222,0.449470707,4.3,45.41903,0.010571586,-9.34939242,NA,35.8,NA,NA,0.04541903,-0.009349392,-15.76666667,19.48476387,-0.336578127,RR00-CR,3.381519076,,
APSIM,3,61,3_61,-1.112476768,0.532466667,0.460614141,2,34.55601,0.284797793,NA,NA,38.9,NA,NA,0.03455601,NA,-7.333333333,14.82452829,NA,BC19-CR,7.491194957,,
