"year","Observed","Obs_sd","APSIM","Daycent","RothC","Millennial","treatment_scen"
2008,NA,NA,25,27.1,29.4016,32.5163356950359,"Cover Crop, Crop Rotation"
2009,NA,NA,25,26.9,28.8485,32.5883112481995,"Cover Crop, Crop Rotation"
2010,NA,NA,25.4,26.7,28.5776,32.1782003174582,"Cover Crop, Crop Rotation"
2011,NA,NA,25.4,26.8,28.6743,31.9123896406384,"Cover Crop, Crop Rotation"
2012,NA,NA,25.3,27,29.0378,32.3038049161913,"Cover Crop, Crop Rotation"
2013,NA,NA,25.5,27.4,29.4769,33.3904630890896,"Cover Crop, Crop Rotation"
2014,NA,NA,25.5,27.7,29.6937,33.8082037289038,"Cover Crop, Crop Rotation"
2015,NA,NA,25.5,27.6,29.5886,34.5129269819487,"Cover Crop, Crop Rotation"
2016,NA,NA,26,27.6,29.6599,34.5454527827522,"Cover Crop, Crop Rotation"
2017,NA,NA,25.9,27.7,29.2937,34.7264968735451,"Cover Crop, Crop Rotation"
2018,NA,NA,25.9,27.8,29.5232,34.6282858849606,"Cover Crop, Crop Rotation"
2019,NA,NA,26.3,27.9,29.7783,35.2901499068223,"Cover Crop, Crop Rotation"
2020,NA,NA,26.3,28.1,30.0311,35.6399430815513,"Cover Crop, Crop Rotation"
2021,NA,NA,26.3,28,30.7367,36.3090900029929,"Cover Crop, Crop Rotation"
