"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Scenario_Abbrev","SW_20cm_first","SW_20cm_change","SW_40cm_first","SW_40cm_change","SW_60cm_first","SW_60cm_change","DW_20cm_first","DW_20cm_change","DW_40cm_first","DW_40cm_change","DW_60cm_first","DW_60cm_change","DW_0to60cm_first","DW_0to60cm_change","SW_25cm_first","SW_25cm_change","DW_25cm_first","DW_25cm_change","SoilT_20cm_first","SoilT_20cm_change","SoilT_40cm_first","SoilT_40cm_change","SoilT_60cm_first","SoilT_60cm_change","SoilT_25cm_first","SoilT_25cm_change","NO3_20cm_first","NO3_20cm_change","NO3_40cm_first","NO3_40cm_change","NO3_60cm_first","NO3_60cm_change","NO3_0to60cm_first","NO3_0to60cm_change","N2O_20cm_first","N2O_20cm_change","N2O_40cm_first","N2O_40cm_change","N2O_60cm_first","N2O_60cm_change","N2O_0to60cm_first","N2O_0to60cm_change","N2O_profile_first","N2O_profile_change","BC_25cm_first","BC_25cm_change","BN_25cm_first","BN_25cm_change","HC_25cm_first","HC_25cm_change","HN_25cm_first","HN_25cm_change","CinB_25cm_first","CinB_25cm_change","CinH_25cm_first","CinH_25cm_change","CinBtoH_25cm_first","CinBtoH_25cm_change","SOC_25cm_first","SOC_25cm_change","SW_2cm_first","SW_2cm_change","SW_5cm_first","SW_5cm_change","DW_2cm_first","DW_2cm_change","DW_5cm_first","DW_5cm_change","DW_10cm_first","DW_10cm_change","WFPS_2cm_first","WFPS_2cm_change","WFPS_5cm_first","WFPS_5cm_change","WFPS_10cm_first","WFPS_10cm_change","WFPS_20cm_first","WFPS_20cm_change","WFPS_40cm_first","WFPS_40cm_change","WFPS_60cm_first","WFPS_60cm_change","SoilT_2cm_first","SoilT_2cm_change","SoilT_5cm_first","SoilT_5cm_change","SoilT_10cm_first","SoilT_10cm_change","SoilT_15cm_first","SoilT_15cm_change","NO3_2cm_first","NO3_2cm_change","NO3_5cm_first","NO3_5cm_change","NO3_10cm_first","NO3_10cm_change","CH4_first","CH4_change","CI_first","CI_change"
"APSIM",3,43,"3_43","RF25-CR","0.242325409664504","0.000706053782684901","0.243410505334151","0.000626119240933004","0.24261722723856","-0.000336418223714635","4.84650819328315","0.0141210756606274","4.86821010668788","0.0125223848138063","4.85234454478375","-0.006728364486837","14.5670628447217","0.0199150960206325","0.242526806164581","-0.485762839878916","0.0606317318350349","0.0001762833087798","13.4475786377719","1.44948018670123","13.3056616312064","1.3752326288262","13.1731465522114","1.30483982609866","13.4179162003578","1.43680732737794","0.00672586482607376","-0.000131185845512301","0.00339113272516288","-3.82888642280971e-05","0.00317559105325667","-0.000385642076305868","0.0132925886045072","-0.000555116786060194","0.000289347602931412","0.000201384099272888","0.000205260451559061","6.66788702954493e-05","0.000198244614916776","2.43000450907022e-05","0.000692852669407642","0.000292363014658647","2.57760517125654e-06","2.76361032109673e-07","1215.58726102882","-29.8598836527985","151.946686071509","-3.73137252044893","25195.9846179182","2684.2123209595","2099.67058023486","223.676017585929","0.997543028470061","0.253157900761834","0.109363537541225","0.0273643146458349","0.392541916450427","0.0369422245009734","26.2623645966346","2.56479785319705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",3,44,"3_44","RF35-CR","0.242717656240106","0.00111869054080085","0.243994670959077","0.000807863519743213","0.243365346935497","-0.000214455200574198","4.85435312479708","0.0223738108210663","4.879893419187","0.0161572703893942","4.86730693872176","-0.00428910402330285","14.601553482673","0.0342419772199865","0.242988456365047","-0.486944864048055","0.0607491799168228","0.000246985710174556","13.447926784228","1.44931259469546","13.3063812714919","1.37505845399516","13.1738609893373","1.30537469807017","13.4182560527744","1.43669408780185","0.0060512102345862","-0.000309199170091405","0.0030606385897068","-0.000211061922620885","0.00291084612786507","-0.000520313856938845","0.0120226949521621","-0.00104057494965514","0.000271675723800469","0.000157594549377709","0.000193567884601376","5.86081885008235e-05","0.000187674407983946","2.16791296512074e-05","0.00065291801638591","0.000237881867529621","2.40878596923467e-06","2.09157668782431e-07","1176.86552229235","-51.2527260424608","147.10710053752","-6.40600621092133","25203.9345548107","2459.64222911098","2100.33363835797","204.964747445996","0.958787147242136","0.190129633006349","0.10501455173486","0.0202956699443374","0.382920656736023","0.0278425989146189","26.2273666988107","2.32800863994903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",3,51,"3_51","RR50-CR","0.2419198840694","0.000176470531754042","0.242723887732175","-2.29265219708341e-05","0.241234472873197","-0.000250290157483679","4.83839768138211","0.00352941064098111","4.85447775464943","-0.000458530445336613","4.82468945747101","-0.00500580315673549","14.5175648934719","-0.00193492293045239","0.242035283517953","-0.484290030211246","0.0605063650416925","5.01570012016381e-05","13.4469689750598","1.44954769943567","13.3041830301505","1.37560297293306","13.1708746965907","1.30560710229716","13.4172215705319","1.43689371693922","0.00898884267719025","0.000733587304217414","0.00447074349459779","0.000983456364269842","0.00414480803816149","0.000328605222761832","0.0176043942099739","0.00204564889122472","0.000355302590734763","0.000336911812487966","0.000260654542502328","8.25598726988981e-05","0.000254799225953686","2.50427867632004e-05","0.000870756359190859","0.000444514471949981","3.30265428838908e-06","4.9359871174311e-07","1465.78176821096","-12.8400092309864","183.220950203757","-1.60235641217943","26015.284859107","3549.56179142723","2167.93951999861","295.795520992445","1.27631202508337","0.354098004212612","0.140480415799567","0.0378646971020444","0.470764608043948","0.0514890996216906","27.3466605199421","3.41574974101174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",3,52,"3_52","RR25-CR","0.242441881295563","0.000114349191251861","0.243098174049032","1.21111161987264e-05","0.241500053796016","-0.000145122698041261","4.84883762590592","0.00228698383036718","4.86196348098805","0.000242222316557239","4.83000107592923","-0.00290245396973443","14.540802182792","-0.000373247791600306","0.242503478576647","-0.485173716011846","0.0606321754725985","2.2969674163778e-05","13.446893157591","1.44951051262046","13.3041474155125","1.37552314480731","13.1705402291507","1.30586062932252","13.4168837555296","1.43726723214021","0.00959311727331792","0.000531722401987808","0.00479231680492821","0.000883927568386784","0.00443020849107282","0.000199760510288447","0.018815642569342","0.00161541048063999","0.000376713227190928","0.000351080720844642","0.000280901994718886","8.11019773292918e-05","0.000282822193758724","1.49352952617007e-05","0.000940437415668266","0.000447117993435905","3.61288225174977e-06","3.43882399823566e-07","1735.80155562044","-107.647800629047","216.975162873814","-13.4544562237802","27429.0133271346","4031.05491199182","2285.75103390543","335.919495629964","1.53857735884399","0.323978212825492","0.169369470105845","0.0359022984593275","0.562588401573815","0.0266170034983083","29.0367272172741","3.78926250949079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",3,53,"3_53","RR00-CR","0.243277180385833","-4.75631886471817e-05","0.243658667704207","0.000103359455323748","0.242004861344224","-4.63541087843133e-05","4.86554360771284","-0.000951263769124466","4.87317335409347","0.00206718909714176","4.84009722689616","-0.000927082187360817","14.5788141886713","0.000188843171793351","0.243251361377331","-0.486537009063213","0.0608326665749207","-9.4230289775718e-06","13.4466416679795","1.44982467009133","13.3038612096503","1.37583120607887","13.1703818349188","1.30589418515716","13.4167035754076","1.43738212410668","0.0106946010294206","2.65834396453151e-05","0.00542266777594564","0.000581892544770056","0.00498398746620448","-0.0001039077118749","0.0211012562715826","0.000504568272528604","0.000428334976098612","0.000360660108225728","0.000330845655142304","7.23117108632356e-05","0.000341764584996168","-7.09601289288934e-06","0.0011009452162368","0.00042587580619636","4.27750096523129e-06","2.12069063951639e-08","2160.37457019974","-266.067890400305","270.048763426153","-33.262363521414","29839.6636097602","4723.79971120804","2486.63971181764","393.645052380571","1.88371422814644","0.292654625280399","0.206707091955048","0.0320163296854757","0.707369715395291","-0.0138378069255527","31.8808253958975","4.30528373288469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
