"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,7.1,0,0,21.8,"APSIM","3_51",3,5,1
1990,0,2.332,0,21.8,"APSIM","3_51",3,5,1
1991,7.848,0,0,22.4,"APSIM","3_51",3,5,1
1992,0,1.353,0,22.4,"APSIM","3_51",3,5,1
1993,7.731,0,0,22.9,"APSIM","3_51",3,5,1
1994,0,2.231,0,23,"APSIM","3_51",3,5,1
1995,0,0,4.102,23.3,"APSIM","3_51",3,5,1
1996,8.17,0,0,23.4,"APSIM","3_51",3,5,1
1997,0,1.617,0,23.7,"APSIM","3_51",3,5,1
1998,0,0,3.43,24,"APSIM","3_51",3,5,1
1999,7.85,0,0,23.8,"APSIM","3_51",3,5,1
2000,0,2.153,0,23.9,"APSIM","3_51",3,5,1
2001,0,0,4.813,24.3,"APSIM","3_51",3,5,1
2002,7.316,0,0,24.4,"APSIM","3_51",3,5,1
2003,0,2.132,0,24.5,"APSIM","3_51",3,5,1
2004,0,0,4.215,24.8,"APSIM","3_51",3,5,1
2005,6.073,0,0,24.7,"APSIM","3_51",3,5,1
2006,0,1.917,0,24.9,"APSIM","3_51",3,5,1
2007,0,0,3.537,25.2,"APSIM","3_51",3,5,1
2008,8.661,0,0,25.3,"APSIM","3_51",3,5,1
2009,0,2.635,0,25.3,"APSIM","3_51",3,5,1
2010,0,0,3.925,25.7,"APSIM","3_51",3,5,1
2011,9.169,0,0,25.6,"APSIM","3_51",3,5,1
2012,0,2.018,0,25.6,"APSIM","3_51",3,5,1
2013,0,0,3.04,25.9,"APSIM","3_51",3,5,1
2014,9.391,0,0,25.9,"APSIM","3_51",3,5,1
2015,0,3.213,0,26,"APSIM","3_51",3,5,1
2016,0,0,5.061,26.5,"APSIM","3_51",3,5,1
2017,8.917,0,0,26.5,"APSIM","3_51",3,5,1
2018,0,0.642,0,26.6,"APSIM","3_51",3,5,1
2019,0,0,5.223,26.8,"APSIM","3_51",3,5,1
2020,8.281,0,0,27,"APSIM","3_51",3,5,1
2021,0,3.661,0,27,"APSIM","3_51",3,5,1
2022,0,0,3.988,27,"APSIM","3_51",3,5,1
2023,9.533,0,0,27,"APSIM","3_51",3,5,1
2024,0,3.115,0,27.1,"APSIM","3_51",3,5,1
2025,0,0,3.94,27.7,"APSIM","3_51",3,5,1
2026,9.594,0,0,27.7,"APSIM","3_51",3,5,1
2027,0,2.4,0,27.8,"APSIM","3_51",3,5,1
2028,0,0,4.452,28,"APSIM","3_51",3,5,1
2029,5.077,0,0,27.9,"APSIM","3_51",3,5,1
2030,0,2.329,0,28.2,"APSIM","3_51",3,5,1
2031,0,0,4.588,28.7,"APSIM","3_51",3,5,1
2032,5.777,0,0,28.6,"APSIM","3_51",3,5,1
2033,0,3.171,0,28.6,"APSIM","3_51",3,5,1
2034,0,0,4.923,28.8,"APSIM","3_51",3,5,1
2035,5.842,0,0,28.7,"APSIM","3_51",3,5,1
2036,0,4.134,0,28.9,"APSIM","3_51",3,5,1
2037,0,0,4.803,29.3,"APSIM","3_51",3,5,1
2038,7.151,0,0,29.2,"APSIM","3_51",3,5,1
2039,0,3.078,0,29.3,"APSIM","3_51",3,5,1
2040,0,0,4.272,29.8,"APSIM","3_51",3,5,1
2041,7.652,0,0,29.6,"APSIM","3_51",3,5,1
2042,0,2.109,0,29.6,"APSIM","3_51",3,5,1
2043,0,0,4.601,30,"APSIM","3_51",3,5,1
2044,8.678,0,0,29.9,"APSIM","3_51",3,5,1
2045,0,2.218,0,29.9,"APSIM","3_51",3,5,1
2046,0,0,4.597,30.2,"APSIM","3_51",3,5,1
2047,8.262,0,0,29.9,"APSIM","3_51",3,5,1
2048,0,4.24,0,30.1,"APSIM","3_51",3,5,1
2049,0,0,4.296,30.4,"APSIM","3_51",3,5,1
2050,5.605,0,0,30.3,"APSIM","3_51",3,5,1
