"diff_co2e_n2o","min_co2e_n2o","min_co2e_n2o_scen_abbr","max_co2e_n2o","max_co2e_n2o_scen_abbr","diff_co2e_ch4","min_co2e_ch4","min_co2e_ch4_scen_abbr","max_co2e_ch4","max_co2e_ch4_scen_abbr","diff_co2e_soc","min_co2e_soc","min_co2e_soc_scen_abbr","max_co2e_soc","max_co2e_soc_scen_abbr","diff_co2e_gwp","min_co2e_gwp","min_co2e_gwp_scen_abbr","max_co2e_gwp","scenario_abbrev","site_name","Climate_Scenario","climate_desc"
6.98836,7.19521,"CC-CR",14.18357,"RR00-CR",0.02922,-0.34671,"NT-CR",-0.31749,"RR00-CR",23.3066,-20.73993,"RR00-CR",2.56667,"BC96-CR",20.41401,-6.87385,"RR00-CR",13.54016,"BC96-CR","KBS",1,"Baseline"
9.65376,7.60178,"CC-CR",17.25554,"RR00-CR",0.02737,-0.36166,"NT-CR",-0.33429,"RR00-CR",16.06616,-6.52217,"RR00-CR",9.54399,"RF35-CR",9.79327,10.368,"NT-CR",20.16127,"BC96-CR","KBS",5,"UKESM_High"
2.37662,3.78685,"RR50-NT-CR",6.16347,"RF05-CR",0.04769,-0.60622,"CC-CR",-0.55853,"RR00-NT-CR",18.64004,-4.34004,"RR00-NT-CR",14.3,"BC96-CR",19.82823,-0.22857,"RR00-NT-CR",19.59966,"BC96-CR","LRF",1,"Baseline"
1.76356,4.72209,"RR50-NT-CR",6.48565,"RR00-CR",0.04823,-0.60131,"CC-CR",-0.55308,"RR00-NT-CR",16.5137,-2.58037,"RR00-NT-CR",13.93333,"BC96-CR",16.71169,2.59579,"CC-NT-CR",19.30748,"BC96-CR","LRF",5,"UKESM_High"
