"diff_co2e_n2o","min_co2e_n2o","min_co2e_n2o_scen_abbr","max_co2e_n2o","max_co2e_n2o_climate_desc","diff_co2e_ch4","min_co2e_ch4","min_co2e_ch4_scen_abbr","max_co2e_ch4","max_co2e_ch4_climate_desc","diff_co2e_soc","min_co2e_soc","min_co2e_soc_scen_abbr","max_co2e_soc","max_co2e_soc_climate_desc","diff_co2e_gwp","min_co2e_gwp","min_co2e_gwp_scen_abbr","max_co2e_gwp","max_co2e_gwp_climate_desc","scenario_abbrev","site_name","Climate_Scenario"
0,-1.31988,"UKESM_High",-1.31988,"UKESM_High",0,-0.00422,"UKESM_High",-0.00422,"UKESM_High",0,-1.05136,"UKESM_High",-1.05136,"UKESM_High",0,-2.37547,"UKESM_High",-2.37547,"UKESM_High","CN","LRF",5
0,-0.19034,"UKESM_High",-0.19034,"UKESM_High",0,-0.00563999999999998,"UKESM_High",-0.00563999999999998,"UKESM_High",0,-1.45979,"UKESM_High",-1.45979,"UKESM_High",0,-1.65578,"UKESM_High",-1.65578,"UKESM_High","RF05-CR","LRF",5
0,-0.20593,"UKESM_High",-0.20593,"UKESM_High",0,-0.00517999999999996,"UKESM_High",-0.00517999999999996,"UKESM_High",0,-1.3356,"UKESM_High",-1.3356,"UKESM_High",0,-1.5467,"UKESM_High",-1.5467,"UKESM_High","RF15-CR","LRF",5
0,-0.21077,"UKESM_High",-0.21077,"UKESM_High",0,-0.00470999999999999,"UKESM_High",-0.00470999999999999,"UKESM_High",0,-1.39511,"UKESM_High",-1.39511,"UKESM_High",0,-1.61059,"UKESM_High",-1.61059,"UKESM_High","RF25-CR","LRF",5
0,-0.21474,"UKESM_High",-0.21474,"UKESM_High",0,-0.00423000000000007,"UKESM_High",-0.00423000000000007,"UKESM_High",0,-1.53525,"UKESM_High",-1.53525,"UKESM_High",0,-1.75422,"UKESM_High",-1.75422,"UKESM_High","RF35-CR","LRF",5
0,-1.44171,"UKESM_High",-1.44171,"UKESM_High",0,-0.00589000000000006,"UKESM_High",-0.00589000000000006,"UKESM_High",0,-1.38218,"UKESM_High",-1.38218,"UKESM_High",0,-2.82979,"UKESM_High",-2.82979,"UKESM_High","RR00-CR","LRF",5
0,-1.40034,"UKESM_High",-1.40034,"UKESM_High",0,-0.00544999999999995,"UKESM_High",-0.00544999999999995,"UKESM_High",0,-1.75967,"UKESM_High",-1.75967,"UKESM_High",0,-3.16548,"UKESM_High",-3.16548,"UKESM_High","RR00-NT-CR","LRF",5
0,-1.16981,"UKESM_High",-1.16981,"UKESM_High",0,-0.00397999999999998,"UKESM_High",-0.00397999999999998,"UKESM_High",0,-0.9089,"UKESM_High",-0.9089,"UKESM_High",0,-2.08269,"UKESM_High",-2.08269,"UKESM_High","RR25-CR","LRF",5
0,-1.05988,"UKESM_High",-1.05988,"UKESM_High",0,-0.00320999999999994,"UKESM_High",-0.00320999999999994,"UKESM_High",0,-1.22847,"UKESM_High",-1.22847,"UKESM_High",0,-2.29156,"UKESM_High",-2.29156,"UKESM_High","RR25-NT-CR","LRF",5
0,-0.961869999999999,"UKESM_High",-0.961869999999999,"UKESM_High",0,-0.00403999999999993,"UKESM_High",-0.00403999999999993,"UKESM_High",0,-0.46026,"UKESM_High",-0.46026,"UKESM_High",0,-1.42615,"UKESM_High",-1.42615,"UKESM_High","RR50-CR","LRF",5
0,-0.93524,"UKESM_High",-0.93524,"UKESM_High",0,-0.00195000000000001,"UKESM_High",-0.00195000000000001,"UKESM_High",0,-0.74558,"UKESM_High",-0.74558,"UKESM_High",0,-1.68278,"UKESM_High",-1.68278,"UKESM_High","RR50-NT-CR","LRF",5
