time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2022.50,205,'W4EG70',1.7572,1.5581,0.0820,0.9664,0.0617,0.0000,0.0000,0.5931,0.0130,0.0000,0.0000,0.5931,0.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0395,0.0009,0.0000,0.0000,0.1582,0.0035,0.0000,0.0000,0.0000,6.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.6853,6.0120,0.0000,0.0000,0.2410,0.0153,0.0000,0.0000,0.9664,0.0617,0.0000,0.0000,0.5931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1645,0.0035,0.0000,0.0000,1.0103,0.0217,0.0000,0.0000,0.0510,0.0011,0.0000,0.0000,0.3135,0.0067,0.0000,0.0000
2023.75,295,'C822',587.5015,160.1395,8.4284,364.2509,8.3344,0.0000,0.0000,167.4379,1.7502,0.0000,0.0000,167.4379,1.7502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1625,0.1167,0.0000,0.0000,44.6501,0.4667,0.0000,0.0000,0.0000,13.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.3628,0.8839,0.0000,0.0000,0.1340,0.0073,0.0000,0.0000,364.2509,8.3344,0.0000,0.0000,167.4379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.9876,0.3731,0.0000,0.0000,110.4952,2.2916,0.0000,0.0000,4.9414,0.1030,0.0000,0.0000,30.3546,0.6328,0.0000,0.0000
2024.67,273,'SYBN100',274.3970,51.0745,2.6881,123.4143,14.3441,0.0000,0.0000,113.2370,3.9997,0.0000,0.0000,113.2370,3.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5491,0.2666,0.0000,0.0000,30.1965,1.0666,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.6260,0.5144,0.0000,0.0000,0.2371,0.0094,0.0000,0.0000,123.4143,14.3441,0.0000,0.0000,113.2370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.2375,0.1717,0.0000,0.0000,26.0302,1.0547,0.0000,0.0000,1.4211,0.0568,0.0000,0.0000,8.7296,0.3487,0.0000,0.0000
2025.50,205,'W4EG70',351.0407,92.6087,4.8741,192.9852,4.9945,0.0000,0.0000,118.5416,1.0499,0.0000,0.0000,118.5416,1.0499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9028,0.0700,0.0000,0.0000,31.6111,0.2800,0.0000,0.0000,0.0000,6.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.4616,0.6156,0.0000,0.0000,0.0669,0.0032,0.0000,0.0000,192.9852,4.9945,0.0000,0.0000,118.5416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2764,0.2280,0.0000,0.0000,69.2694,1.4003,0.0000,0.0000,2.0793,0.0425,0.0000,0.0000,12.7731,0.2608,0.0000,0.0000
2026.75,295,'C822',577.9651,153.4948,8.0787,358.3383,8.2953,0.0000,0.0000,164.7201,1.7420,0.0000,0.0000,164.7201,1.7420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.9813,0.1161,0.0000,0.0000,43.9253,0.4645,0.0000,0.0000,0.0000,13.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.8449,1.5520,0.0000,0.0000,0.5659,0.0260,0.0000,0.0000,358.3383,8.2953,0.0000,0.0000,164.7201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.3287,0.3613,0.0000,0.0000,106.4476,2.2197,0.0000,0.0000,4.6665,0.0978,0.0000,0.0000,28.6654,0.6008,0.0000,0.0000
2027.67,273,'SYBN100',311.6790,54.9387,2.8915,135.0549,15.7683,0.0000,0.0000,132.4681,4.7019,0.0000,0.0000,132.4681,4.7019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8312,0.3135,0.0000,0.0000,35.3248,1.2538,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.5323,0.2848,0.0000,0.0000,0.7972,0.0324,0.0000,0.0000,135.0549,15.7683,0.0000,0.0000,132.4681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6015,0.1867,0.0000,0.0000,28.2661,1.1468,0.0000,0.0000,1.5874,0.0634,0.0000,0.0000,9.7511,0.3897,0.0000,0.0000
2028.50,205,'W4EG70',364.5300,61.3169,3.2272,200.4915,5.1584,0.0000,0.0000,123.0289,1.0833,0.0000,0.0000,123.0289,1.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2019,0.0722,0.0000,0.0000,32.8077,0.2889,0.0000,0.0000,0.0000,6.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.5294,2.1051,0.0000,0.0000,0.0813,0.0039,0.0000,0.0000,200.4915,5.1584,0.0000,0.0000,123.0289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3473,0.1463,0.0000,0.0000,45.1336,0.8987,0.0000,0.0000,1.4583,0.0293,0.0000,0.0000,8.9583,0.1800,0.0000,0.0000
2029.75,295,'C822',525.2448,151.5771,7.9777,286.3754,7.4290,0.0000,0.0000,179.1521,2.0334,0.0000,0.0000,179.1521,2.0334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9435,0.1356,0.0000,0.0000,47.7739,0.5423,0.0000,0.0000,0.0000,13.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.7276,1.2332,0.0000,0.0000,0.9030,0.0399,0.0000,0.0000,286.3754,7.4290,0.0000,0.0000,179.1521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.4443,0.3482,0.0000,0.0000,101.0147,2.1392,0.0000,0.0000,5.0426,0.1066,0.0000,0.0000,30.9761,0.6545,0.0000,0.0000
2030.67,273,'SYBN100',247.7448,45.0415,2.3706,106.5480,12.8479,0.0000,0.0000,105.8976,3.8818,0.0000,0.0000,105.8976,3.8818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0598,0.2588,0.0000,0.0000,28.2394,1.0351,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5753,1.1974,0.0000,0.0000,0.0783,0.0033,0.0000,0.0000,106.5480,12.8479,0.0000,0.0000,105.8976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6954,0.1495,0.0000,0.0000,22.7006,0.9186,0.0000,0.0000,1.2512,0.0499,0.0000,0.0000,7.6856,0.3063,0.0000,0.0000
2031.50,205,'W4EG70',337.6416,91.1386,4.7968,185.2948,4.9210,0.0000,0.0000,114.2601,1.0386,0.0000,0.0000,114.2601,1.0386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6173,0.0692,0.0000,0.0000,30.4694,0.2770,0.0000,0.0000,0.0000,6.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.6712,1.4584,0.0000,0.0000,0.0602,0.0030,0.0000,0.0000,185.2948,4.9210,0.0000,0.0000,114.2601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8221,0.2206,0.0000,0.0000,66.4783,1.3549,0.0000,0.0000,2.2720,0.0466,0.0000,0.0000,13.9563,0.2866,0.0000,0.0000
