"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
"2031",NA,NA,NA,"5.921","RothC","1_52","1","5","2"
"2032",NA,NA,NA,"5.91115","RothC","1_52","1","5","2"
"2033",NA,NA,NA,"5.90735","RothC","1_52","1","5","2"
"2034",NA,NA,NA,"5.8979","RothC","1_52","1","5","2"
"2035",NA,NA,NA,"5.86875","RothC","1_52","1","5","2"
"2036",NA,NA,NA,"5.8448","RothC","1_52","1","5","2"
"2037",NA,NA,NA,"5.84735","RothC","1_52","1","5","2"
"2038",NA,NA,NA,"5.8292","RothC","1_52","1","5","2"
"2039",NA,NA,NA,"5.8132","RothC","1_52","1","5","2"
"2040",NA,NA,NA,"5.7727","RothC","1_52","1","5","2"
"2041",NA,NA,NA,"5.7537","RothC","1_52","1","5","2"
"2042",NA,NA,NA,"5.74445","RothC","1_52","1","5","2"
"2043",NA,NA,NA,"5.7306","RothC","1_52","1","5","2"
"2044",NA,NA,NA,"5.6993","RothC","1_52","1","5","2"
"2045",NA,NA,NA,"5.67795","RothC","1_52","1","5","2"
"2046",NA,NA,NA,"5.67045","RothC","1_52","1","5","2"
"2047",NA,NA,NA,"5.64125","RothC","1_52","1","5","2"
"2048",NA,NA,NA,"5.6238","RothC","1_52","1","5","2"
