year,date,Obs_sd,treatment_scen,Model,mb_val
2003,12107,NA,Continuous Crop,Observed,NA
2003,12107,NA,Continuous Crop,Millennial,0.537407359
2003,12108,NA,Continuous Crop,Observed,NA
2003,12108,NA,Continuous Crop,Millennial,0.537167803
2003,12109,NA,Continuous Crop,Observed,NA
2003,12109,NA,Continuous Crop,Millennial,0.536891094
2003,12110,NA,Continuous Crop,Observed,NA
2003,12110,NA,Continuous Crop,Millennial,0.536628868
2003,12111,NA,Continuous Crop,Observed,NA
2003,12111,NA,Continuous Crop,Millennial,0.536389356
2003,12112,NA,Continuous Crop,Observed,NA
2003,12112,NA,Continuous Crop,Millennial,0.536170136
2003,12113,NA,Continuous Crop,Observed,NA
2003,12113,NA,Continuous Crop,Millennial,0.53596221
2003,12114,NA,Continuous Crop,Observed,NA
2003,12114,NA,Continuous Crop,Millennial,0.535774982
2003,12115,NA,Continuous Crop,Observed,NA
2003,12115,NA,Continuous Crop,Millennial,0.535638499
2003,12116,NA,Continuous Crop,Observed,NA
2003,12116,NA,Continuous Crop,Millennial,0.535504962
2003,12117,NA,Continuous Crop,Observed,NA
2003,12117,NA,Continuous Crop,Millennial,0.535372602
2003,12118,NA,Continuous Crop,Observed,NA
2003,12118,NA,Continuous Crop,Millennial,0.535308625
2003,12119,NA,Continuous Crop,Observed,NA
2003,12119,NA,Continuous Crop,Millennial,0.535331251
2003,12120,NA,Continuous Crop,Observed,NA
2003,12120,NA,Continuous Crop,Millennial,0.535400301
2003,12121,NA,Continuous Crop,Observed,NA
2003,12121,NA,Continuous Crop,Millennial,0.535489251
2003,12122,NA,Continuous Crop,Observed,NA
2003,12122,NA,Continuous Crop,Millennial,0.535640198
2003,12123,NA,Continuous Crop,Observed,NA
2003,12123,NA,Continuous Crop,Millennial,0.53589367
2003,12124,NA,Continuous Crop,Observed,NA
2003,12124,NA,Continuous Crop,Millennial,0.536245969
2003,12125,NA,Continuous Crop,Observed,NA
2003,12125,NA,Continuous Crop,Millennial,0.536676719
2003,12126,NA,Continuous Crop,Observed,NA
2003,12126,NA,Continuous Crop,Millennial,0.537186702
2003,12127,NA,Continuous Crop,Observed,NA
2003,12127,NA,Continuous Crop,Millennial,0.537781691
2003,12128,NA,Continuous Crop,Observed,NA
2003,12128,NA,Continuous Crop,Millennial,0.538453535
2003,12129,NA,Continuous Crop,Observed,NA
2003,12129,NA,Continuous Crop,Millennial,0.539161101
2003,12130,NA,Continuous Crop,Observed,NA
2003,12130,NA,Continuous Crop,Millennial,0.539868353
2003,12131,NA,Continuous Crop,Observed,NA
2003,12131,NA,Continuous Crop,Millennial,0.540565463
2003,12132,NA,Continuous Crop,Observed,NA
2003,12132,NA,Continuous Crop,Millennial,0.541251524
2003,12133,NA,Continuous Crop,Observed,NA
2003,12133,NA,Continuous Crop,Millennial,0.541943433
2003,12134,NA,Continuous Crop,Observed,NA
2003,12134,NA,Continuous Crop,Millennial,0.542679647
2003,12135,NA,Continuous Crop,Observed,NA
2003,12135,NA,Continuous Crop,Millennial,0.543493423
2003,12136,NA,Continuous Crop,Observed,NA
2003,12136,NA,Continuous Crop,Millennial,0.544359612
2003,12137,NA,Continuous Crop,Observed,NA
2003,12137,NA,Continuous Crop,Millennial,0.545256418
2003,12138,NA,Continuous Crop,Observed,NA
2003,12138,NA,Continuous Crop,Millennial,0.546215095
