"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"Daycent",2,52,"2_52",NA,NA,NA,2.2,10.6397872,0.0309609310344826,-1.457756,0.231852646743253,10.6,0.0546497777777764,-0.120227487179479,0.0106397872,-0.001457756,-8.06666666666667,4.5644687088,-0.052479216,"RR25-CR",-3.55467717386667
"Daycent",2,53,"2_53",NA,NA,NA,1.1,10.7926564,0.0460786234482757,5.7189642,0.366913430651301,10.2,0.185073999999998,0.117976547008563,0.0107926564,0.0057189642,-4.03333333333333,4.6300495956,0.2058827112,"RR00-CR",0.802598973466666
"Daycent",2,54,"2_54",NA,NA,NA,3.6,8.5077956,0.0227184303448271,-108.8205236,-0.00264232413794074,12.1,0.0689373333333307,-0.575816957264955,0.0085077956,-0.1088205236,-13.2,3.6498443124,-3.9175388496,"RR50-NT-CR",-13.4676945372
"Daycent",2,55,"2_55",NA,NA,NA,4.5,8.4847749,0.0246262606896546,-100.6754425,0.0421688796934694,13.2,0.114226555555552,-0.554693948717933,0.0084847749,-0.1006754425,-16.5,3.6399684321,-3.62431593,"RR25-NT-CR",-16.4843474979
"Daycent",2,56,"2_56",NA,NA,NA,5.3,8.5577357,0.0245659434482752,-92.2881726,0.0655019532566805,14.3,0.170649777777776,-0.571789470085456,0.0085577357,-0.0922881726,-19.4333333333333,3.6712686153,-3.3223742136,"RR00-NT-CR",-19.0844389316333
"Daycent",2,7,"2_7",NA,NA,NA,-0.399999999999999,7.8816978,0.0350844593103452,-26.354358,0.260239552490435,8,-0.0250487049808399,NA,0.0078816978,-0.026354358,1.46666666666666,3.3812483562,-0.948756888,"CN",3.89915813486666
"Daycent",2,8,"2_8",NA,NA,NA,5.2,7.9363392,0.0184917337931026,-92.912329,0.270117955555528,14.4,-0.0117375555555608,-0.612762393162384,0.0079363392,-0.092912329,-19.0666666666667,3.4046895168,-3.344843844,"CC-NT-CR",-19.0068209938667
"Daycent",3,3,"3_3",NA,NA,NA,2,10.9305841,0.0106970689655189,16.4345686,0.236927230651269,10.9,-0.128501888888882,0.743115897435892,0.0109305841,0.0164345686,-7.33333333333333,4.6892205789,0.5916444696,"CC-CR",-2.05246828483333
"Daycent",3,41,"3_41",NA,NA,NA,1.1,10.7972513,0.0583422593103469,5.0963042,0.553488613026784,10.2,-0.0562515555555523,1.45790700854702,0.0107972513,0.0050963042,-4.03333333333333,4.6320208077,0.1834669512,"RF05-CR",0.782154425566667
"Daycent",3,42,"3_42",NA,NA,NA,0.799999999999997,10.5587417,0.0515641103448297,2.6976804,0.510203385440582,9.9,-0.0710083333333298,1.34137552136754,0.0105587417,0.0026976804,-2.93333333333332,4.5297001893,0.0971164944,"RF15-CR",1.69348335036668
