"year","Cinput","Ninput","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num","scenario_abbrev","scenario_description"
2003,40.162,0.879,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2004,72.246,1.757,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2005,113.284,1.706,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2006,65.79,1.321,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2007,11.983,0.217,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2008,22.965,0.364,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2009,42.476,0.777,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2010,38.858,0.483,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2011,47.39,0.911,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2012,34.054,0.466,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2013,63.742,1.32,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2014,54.599,0.838,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2015,62.955,1.193,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2016,66.008,0.993,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2017,62.627,1.287,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2018,67.386,0.988,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2019,43.581,0.908,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2020,74.394,1.165,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2021,59.086,1.233,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2022,81.728,1.216,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2022,0,0,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2023,50.978,0.969,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2024,74.345,1.113,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2025,44.702,0.827,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2026,57.881,0.918,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2027,46.039,0.867,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2028,78.094,1.151,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2029,36.327,0.658,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2030,71.789,1.237,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2031,50.157,0.878,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2032,55.95,0.813,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2033,60.63,1.095,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2034,69.509,0.93,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2035,44.015,0.818,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2036,66.964,1.061,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2037,19.257,0.343,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2038,99.425,1.843,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2039,61.145,1.052,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2040,77.49,1.124,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2041,38.452,0.705,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2042,67.3,1.178,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2043,41.116,0.759,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2044,72.189,1.277,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2045,56.844,1.018,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2046,66.91,1.029,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2047,62.689,1.177,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2048,89.627,1.376,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
2049,56.94,1.025,"Daycent","3_44",3,4,4,"RF35-CR","Redu Fert 35%, Crop Rotation"
