"year","Cinput","Ninput","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num","scenario_abbrev","scenario_description"
2003,40.162,0.879,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2004,72.246,1.757,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2005,113.284,1.706,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2006,65.79,1.321,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2007,11.983,0.217,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2008,22.965,0.364,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2009,42.476,0.777,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2010,38.858,0.483,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2011,47.39,0.911,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2012,34.054,0.466,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2013,63.742,1.32,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2014,54.599,0.838,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2015,62.955,1.193,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2016,66.008,0.993,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2017,62.627,1.287,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2018,67.386,0.988,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2019,43.581,0.908,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2020,74.394,1.165,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2021,59.086,1.233,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2022,81.728,1.216,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2022,0,0,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2023,31.474,0.618,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2024,76.619,1.348,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2025,59.258,1.094,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2026,85.009,1.29,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2027,37.118,0.68,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2028,80.94,1.305,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2029,58.631,1.036,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2030,68.598,1.083,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2031,54.24,1.006,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2032,94.383,1.494,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2033,60.676,1.076,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2034,86.334,1.285,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2035,38.085,0.692,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2036,89.023,1.404,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2037,69.668,1.221,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2038,75.964,1.028,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2039,57.418,1.048,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2040,50.002,0.71,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2041,44.944,0.882,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2042,74.992,1.196,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2043,71.024,1.27,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2044,87.74,1.206,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2045,51.131,0.944,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2046,91.395,1.464,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2047,39.199,0.657,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2048,96.815,1.634,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2049,45.573,0.806,"Daycent","1_43",1,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
