"year","SorghumYld_Mgha","CottonYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
"1940",NA,NA,"12.44345","RothC","1_54","1","5","4"
"1941",NA,NA,"12.387","RothC","1_54","1","5","4"
"1942",NA,NA,"12.0627","RothC","1_54","1","5","4"
"1943",NA,NA,"11.77545","RothC","1_54","1","5","4"
"1944",NA,NA,"11.50515","RothC","1_54","1","5","4"
"1945",NA,NA,"11.26425","RothC","1_54","1","5","4"
"1946",NA,NA,"11.0814","RothC","1_54","1","5","4"
"1947",NA,NA,"10.88105","RothC","1_54","1","5","4"
"1948",NA,NA,"10.7038","RothC","1_54","1","5","4"
"1949",NA,NA,"10.55285","RothC","1_54","1","5","4"
"1950",NA,NA,"10.4115","RothC","1_54","1","5","4"
"1951",NA,NA,"10.2765","RothC","1_54","1","5","4"
"1952",NA,NA,"10.16855","RothC","1_54","1","5","4"
"1953",NA,NA,"10.09625","RothC","1_54","1","5","4"
"1954",NA,NA,"9.97815","RothC","1_54","1","5","4"
"1955",NA,NA,"9.8856","RothC","1_54","1","5","4"
"1956",NA,NA,"9.7942","RothC","1_54","1","5","4"
"1957",NA,NA,"9.71965","RothC","1_54","1","5","4"
"1958",NA,NA,"9.62535","RothC","1_54","1","5","4"
"1959",NA,NA,"9.5628","RothC","1_54","1","5","4"
"1960",NA,NA,"9.49625","RothC","1_54","1","5","4"
"1961",NA,NA,"9.3707","RothC","1_54","1","5","4"
"1962",NA,NA,"9.25945","RothC","1_54","1","5","4"
"1963",NA,NA,"9.16465","RothC","1_54","1","5","4"
"1964",NA,NA,"9.0638","RothC","1_54","1","5","4"
"1965",NA,NA,"8.9678","RothC","1_54","1","5","4"
"1966",NA,NA,"8.8832","RothC","1_54","1","5","4"
"1967",NA,NA,"8.8022","RothC","1_54","1","5","4"
"1968",NA,NA,"8.7177","RothC","1_54","1","5","4"
"1969",NA,NA,"8.6335","RothC","1_54","1","5","4"
"1970",NA,NA,"8.5549","RothC","1_54","1","5","4"
"1971",NA,NA,"8.47795","RothC","1_54","1","5","4"
"1972",NA,NA,"8.3947","RothC","1_54","1","5","4"
"1973",NA,NA,"8.3151","RothC","1_54","1","5","4"
"1974",NA,NA,"8.24595","RothC","1_54","1","5","4"
"1975",NA,NA,"8.1726","RothC","1_54","1","5","4"
"1976",NA,NA,"8.10295","RothC","1_54","1","5","4"
"1977",NA,NA,"8.0331","RothC","1_54","1","5","4"
"1978",NA,NA,"7.9674","RothC","1_54","1","5","4"
"1979",NA,NA,"7.902","RothC","1_54","1","5","4"
"1980",NA,NA,"7.8408","RothC","1_54","1","5","4"
"1981",NA,NA,"7.7824","RothC","1_54","1","5","4"
"1982",NA,NA,"7.7181","RothC","1_54","1","5","4"
"1983",NA,NA,"7.6554","RothC","1_54","1","5","4"
"1984",NA,NA,"7.5865","RothC","1_54","1","5","4"
"1985",NA,NA,"7.51955","RothC","1_54","1","5","4"
"1986",NA,NA,"7.4573","RothC","1_54","1","5","4"
"1987",NA,NA,"7.3972","RothC","1_54","1","5","4"
"1988",NA,NA,"7.3341","RothC","1_54","1","5","4"
"1989",NA,NA,"7.26775","RothC","1_54","1","5","4"
"1990",NA,NA,"7.20765","RothC","1_54","1","5","4"
"1991",NA,NA,"7.15415","RothC","1_54","1","5","4"
"1992",NA,NA,"7.09335","RothC","1_54","1","5","4"
"1993",NA,NA,"7.03395","RothC","1_54","1","5","4"
"1994",NA,NA,"6.9813","RothC","1_54","1","5","4"
"1995",NA,NA,"6.92795","RothC","1_54","1","5","4"
"1996",NA,NA,"6.87","RothC","1_54","1","5","4"
"1997",NA,NA,"6.81125","RothC","1_54","1","5","4"
"1998",NA,NA,"6.75575","RothC","1_54","1","5","4"
"1999",NA,NA,"6.7004","RothC","1_54","1","5","4"
"2000",NA,NA,"6.63815","RothC","1_54","1","5","4"
"2001",NA,NA,"6.5783","RothC","1_54","1","5","4"
"2002",NA,NA,"6.5271","RothC","1_54","1","5","4"
"2003",NA,NA,"6.52535","RothC","1_54","1","5","4"
"2004",NA,NA,"6.48805","RothC","1_54","1","5","4"
"2005",NA,NA,"6.5039","RothC","1_54","1","5","4"
"2006",NA,NA,"6.50335","RothC","1_54","1","5","4"
"2007",NA,NA,"6.46065","RothC","1_54","1","5","4"
"2008",NA,NA,"6.41295","RothC","1_54","1","5","4"
"2009",NA,NA,"6.3871","RothC","1_54","1","5","4"
"2010",NA,NA,"6.35635","RothC","1_54","1","5","4"
"2011",NA,NA,"6.352","RothC","1_54","1","5","4"
"2012",NA,NA,"6.31045","RothC","1_54","1","5","4"
"2013",NA,NA,"6.3068","RothC","1_54","1","5","4"
"2014",NA,NA,"6.2709","RothC","1_54","1","5","4"
"2015",NA,NA,"6.2705","RothC","1_54","1","5","4"
"2016",NA,NA,"6.229","RothC","1_54","1","5","4"
"2017",NA,NA,"6.22445","RothC","1_54","1","5","4"
"2018",NA,NA,"6.19135","RothC","1_54","1","5","4"
"2019",NA,NA,"6.17945","RothC","1_54","1","5","4"
"2020",NA,NA,"6.1382","RothC","1_54","1","5","4"
"2021",NA,NA,"6.1227","RothC","1_54","1","5","4"
"2022",NA,NA,"6.08885","RothC","1_54","1","5","4"
"2023",NA,NA,"6.06475","RothC","1_54","1","5","4"
