"year","crop","treatment_scen","Model","yield_val"
2035,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.82935111111111
2037,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2037,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.687
2037,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.20732
2039,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2039,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
2039,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.12004888888889
2041,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2041,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.556
2041,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.05
2043,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2043,"Sorghum","Cover Crop, Crop Rotation","APSIM",2.732
2043,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.62392
2045,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2045,"Sorghum","Cover Crop, Crop Rotation","APSIM",2.274
2045,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.87690666666667
2047,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2047,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.886
2047,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.29297777777778
2049,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2049,"Sorghum","Cover Crop, Crop Rotation","APSIM",2.576
2049,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.27372888888889
1980,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",0.978435463835284
1980,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1980,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1981,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1981,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1981,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1982,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.89696421803191
1982,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1982,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1983,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.62739159617805
1983,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1983,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1984,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.59415052086769
1984,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1984,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1985,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.9606302680462
1985,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1985,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1986,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.59819649413184
1986,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1986,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1987,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.593020431222
1987,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1987,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1988,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.73894798795744
1988,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1988,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1989,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.27865256220348
1989,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1989,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1990,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.2919668927005
1990,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1990,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1991,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.81856224990898
1991,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1991,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1992,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",3.39459660844584
1992,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1992,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1993,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.80346223150718
1993,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1993,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1994,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.43468704131104
1994,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1994,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1995,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.0254405289097
1995,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1995,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1996,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.34490122553903
1996,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1996,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1997,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.14357132233619
1997,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1997,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1998,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.13911494252242
1998,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1998,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1999,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.03438113703636
1999,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1999,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2000,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.24372753928469
2000,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2000,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2001,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.4013539592371
2001,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2001,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2002,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.85977949799579
2002,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2002,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2003,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.97863295598029
2003,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2003,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2022,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2022,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.32
2022,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2023,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2023,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2023,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",3.16962
2024,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2024,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",2.428
2024,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2025,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2025,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2025,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.19826
2026,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2026,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.591
2026,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2027,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2027,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2027,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.90966666666667
2028,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2028,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.493
2028,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2029,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2029,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2029,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.46422
2030,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2030,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",2.032
2030,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2031,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2031,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2031,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.46739333333333
2032,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2032,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",2.529
2032,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2033,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2033,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2033,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.40742666666667
2035,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2035,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2035,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.38788888888889
2036,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2036,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",2.61
2036,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2037,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2037,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2037,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.33758
2038,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2038,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",2.605
2038,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2039,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2039,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
