"year","crop","treatment_scen","Model","yield_val"
2030,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",NA
2031,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2031,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",NA
2031,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",2.08448222222222
2032,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2032,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",2.534
2032,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",NA
2033,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2033,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",NA
2033,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",1.95282
2034,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2034,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",1.104
2034,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",NA
2035,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2035,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",NA
2035,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",2.10654
2036,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2036,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",2.66
2036,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",NA
2037,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2037,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",NA
2037,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",1.76557333333333
2038,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2038,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",2.669
2038,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",NA
2039,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2039,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",NA
2039,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",1.88015333333333
2040,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2040,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",1.657
2040,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",NA
2041,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2041,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",NA
2041,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",1.98974444444444
2042,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2042,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",2.005
2042,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",NA
2043,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2043,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",NA
2043,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",1.77862222222222
2044,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2044,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",1.53
2044,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",NA
2045,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2045,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",NA
2045,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",3.48458222222222
2046,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2046,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",0.843
2046,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",NA
2047,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2047,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",NA
2047,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",2.40514222222222
2048,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2048,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",1.52
2048,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",NA
2049,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2049,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",NA
2049,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",2.75635555555556
2050,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Historical",NA
2050,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",1.388
2050,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",NA
1980,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",0.978435463835284
1980,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1980,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1981,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
1981,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1981,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1982,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",2.89696421803191
1982,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1982,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1983,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",1.62739159617805
1983,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1983,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1984,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",2.59415052086769
1984,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1984,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1985,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",1.9606302680462
1985,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1985,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1986,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",2.59819649413184
1986,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1986,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1987,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",2.593020431222
1987,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1987,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1988,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",2.73894798795744
1988,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1988,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1989,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",2.27865256220348
1989,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1989,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1990,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",2.2919668927005
1990,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1990,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1991,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",2.81856224990898
1991,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1991,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1992,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",3.39459660844584
1992,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1992,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1993,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",1.80346223150718
1993,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1993,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1994,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",1.43468704131104
1994,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1994,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1995,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",2.0254405289097
1995,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1995,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1996,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",2.34490122553903
1996,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1996,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1997,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",2.14357132233619
1997,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1997,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1998,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",1.13911494252242
1998,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1998,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
1999,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",2.03438113703636
1999,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
1999,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
2000,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",1.24372753928469
2000,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
2000,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
2001,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",1.4013539592371
2001,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
2001,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
2002,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",1.85977949799579
2002,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
2002,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
2003,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",1.97863295598029
2003,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
2003,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
2023,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2023,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",1.565
2023,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",2.54774222222222
2025,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2025,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",2.637
2025,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",1.87296888888889
2027,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2027,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",2.119
2027,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",1.53353111111111
2029,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2029,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",1.44
2029,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",1.61643555555556
2031,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2031,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",1.829
2031,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",1.80108666666667
2033,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2033,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",2.386
2033,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",1.67814888888889
2035,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2035,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",2.497
2035,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",1.86770444444444
2037,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2037,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",1.772
2037,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",1.69665333333333
2039,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2039,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
2039,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",1.68195777777778
2041,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2041,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",1.996
2041,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",1.70502444444444
2043,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2043,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",2.739
2043,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",1.54335111111111
2045,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2045,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",2.246
2045,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",3.23148444444444
2047,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2047,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",1.896
2047,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",2.17090666666667
2049,"Sorghum","No Till, Cover Crop, Crop Rotation","Historical",NA
2049,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",2.594
2049,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",2.31050444444444
