"year","SorghumYld_Mgha","CottonYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
2021,NA,NA,7.3,"Daycent","3_3",3,3,""
2021,1.73602222222222,NA,7.3,"Daycent","3_3",3,3,""
2022,NA,1.22073333333333,7.4,"Daycent","3_3",3,3,""
2022,0,NA,7.4,"Daycent","3_3",3,3,""
2023,NA,NA,7.4,"Daycent","3_3",3,3,""
2023,1.59663555555556,NA,7.4,"Daycent","3_3",3,3,""
2024,NA,0.782222222222222,7.5,"Daycent","3_3",3,3,""
2024,NA,NA,7.5,"Daycent","3_3",3,3,""
2025,NA,NA,7.5,"Daycent","3_3",3,3,""
2025,1.80874666666667,NA,7.5,"Daycent","3_3",3,3,""
2026,NA,NA,7.6,"Daycent","3_3",3,3,""
2026,NA,1.22942222222222,7.6,"Daycent","3_3",3,3,""
2027,NA,NA,7.7,"Daycent","3_3",3,3,""
2027,1.90803555555556,NA,7.7,"Daycent","3_3",3,3,""
2028,NA,NA,7.8,"Daycent","3_3",3,3,""
2028,NA,0.263182222222222,7.8,"Daycent","3_3",3,3,""
2029,NA,NA,7.8,"Daycent","3_3",3,3,""
2029,2.93382888888889,NA,7.8,"Daycent","3_3",3,3,""
2030,NA,1.09532222222222,7.9,"Daycent","3_3",3,3,""
2030,NA,NA,7.9,"Daycent","3_3",3,3,""
2031,2.41957111111111,NA,7.9,"Daycent","3_3",3,3,""
2031,NA,NA,7.9,"Daycent","3_3",3,3,""
2032,NA,NA,8,"Daycent","3_3",3,3,""
2032,NA,1.13522666666667,8,"Daycent","3_3",3,3,""
2033,NA,NA,8,"Daycent","3_3",3,3,""
2033,1.49669555555556,NA,8,"Daycent","3_3",3,3,""
2034,NA,NA,8.1,"Daycent","3_3",3,3,""
2034,NA,0.632817777777778,8.1,"Daycent","3_3",3,3,""
2035,NA,NA,8,"Daycent","3_3",3,3,""
2035,1.89269777777778,NA,8,"Daycent","3_3",3,3,""
2036,NA,NA,8,"Daycent","3_3",3,3,""
2036,NA,0.280537777777778,8,"Daycent","3_3",3,3,""
2037,2.35527111111111,NA,8,"Daycent","3_3",3,3,""
2037,NA,NA,8,"Daycent","3_3",3,3,""
2038,NA,1.16481555555556,8.1,"Daycent","3_3",3,3,""
2038,NA,NA,8.1,"Daycent","3_3",3,3,""
2039,NA,NA,8.2,"Daycent","3_3",3,3,""
2039,2.04966222222222,NA,8.2,"Daycent","3_3",3,3,""
2040,NA,0.410142222222222,8.3,"Daycent","3_3",3,3,""
2040,NA,NA,8.3,"Daycent","3_3",3,3,""
2041,NA,NA,8.2,"Daycent","3_3",3,3,""
2041,2.61265555555556,NA,8.2,"Daycent","3_3",3,3,""
