"year","Cinput","Ninput","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num","scenario_abbrev","scenario_description"
2003,40.162,0.879,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2004,72.246,1.757,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2005,113.284,1.706,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2006,65.79,1.321,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2007,11.983,0.217,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2008,22.965,0.364,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2009,42.476,0.777,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2010,38.858,0.483,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2011,47.39,0.911,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2012,34.054,0.466,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2013,63.742,1.32,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2014,54.599,0.838,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2015,62.955,1.193,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2016,66.008,0.993,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2017,62.627,1.287,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2018,67.386,0.988,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2019,43.581,0.908,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2020,74.394,1.165,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2021,59.086,1.233,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2022,81.728,1.216,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2022,0,0,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2023,39.593,0.791,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2024,73.577,1.272,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2025,53.704,0.984,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2026,90.454,1.439,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2027,33.809,0.576,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2028,91.559,1.659,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2029,68.519,1.141,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2030,65.478,0.888,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2031,32.422,0.647,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2032,82.273,1.425,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2033,46.313,0.811,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2034,88.18,1.421,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2035,40.743,0.725,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2036,75.813,1.205,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2037,51.471,0.92,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2038,97.015,1.61,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2039,56.948,0.968,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2040,86.808,1.305,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2041,52.532,0.922,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2042,95.894,1.57,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2043,36.979,0.622,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2044,102.295,1.887,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2045,59.238,0.937,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2046,88.613,1.453,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2047,49.945,0.879,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2048,80.972,1.297,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
2049,60.59,1.054,"Daycent","4_43",4,4,3,"RF25-CR","Redu Fert 25%, Crop Rotation"
