"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Scenario_Abbrev","SW_5cm_first","SW_5cm_change","SW_15cm_first","SW_15cm_change","SW_35cm_first","SW_35cm_change","SW_60cm_first","SW_60cm_change","DW_5cm_first","DW_5cm_change","DW_15cm_first","DW_15cm_change","DW_35cm_first","DW_35cm_change","DW_60cm_first","DW_60cm_change","DW_0to60cm_first","DW_0to60cm_change","SW_10cm_first","SW_10cm_change","DW_10cm_first","DW_10cm_change","SoilT_5cm_first","SoilT_5cm_change","SoilT_15cm_first","SoilT_15cm_change","SoilT_35cm_first","SoilT_35cm_change","SoilT_60cm_first","SoilT_60cm_change","SoilT_10cm_first","SoilT_10cm_change","NO3_5cm_first","NO3_5cm_change","NO3_15cm_first","NO3_15cm_change","NO3_35cm_first","NO3_35cm_change","NO3_60cm_first","NO3_60cm_change","NO3_0to60cm_first","NO3_0to60cm_change","N2O_5cm_first","N2O_5cm_change","N2O_15cm_first","N2O_15cm_change","N2O_35cm_first","N2O_35cm_change","N2O_60cm_first","N2O_60cm_change","N2O_0to60cm_first","N2O_0to60cm_change","N2O_profile_first","N2O_profile_change","BC_10cm_first","BC_10cm_change","BN_10cm_first","BN_10cm_change","HC_10cm_first","HC_10cm_change","HN_10cm_first","HN_10cm_change","CinB_10cm_first","CinB_10cm_change","CinH_10cm_first","CinH_10cm_change","CinBtoH_10cm_first","CinBtoH_10cm_change","SOC_10cm_first","SOC_10cm_change","DW_2cm_first","DW_2cm_change","DW_10cm_first","DW_10cm_change","DW_20cm_first","DW_20cm_change","DW_30cm_first","DW_30cm_change","DW_45cm_first","DW_45cm_change","WFPS_2cm_first","WFPS_2cm_change","WFPS_5cm_first","WFPS_5cm_change","WFPS_10cm_first","WFPS_10cm_change","WFPS_20cm_first","WFPS_20cm_change","WFPS_30cm_first","WFPS_30cm_change","WFPS_45cm_first","WFPS_45cm_change","WFPS_60cm_first","WFPS_60cm_change","SoilT_2cm_first","SoilT_2cm_change","SoilT_20cm_first","SoilT_20cm_change","SoilT_30cm_first","SoilT_30cm_change","SoilT_45cm_first","SoilT_45cm_change","NO3_2cm_first","NO3_2cm_change","NO3_10cm_first","NO3_10cm_change","NO3_20cm_first","NO3_20cm_change","NO3_30cm_first","NO3_30cm_change","NO3_45cm_first","NO3_45cm_change","CH4_first","CH4_change","CI_first","CI_change"
"APSIM",1,3,"1_3","CC-CR","0.11890276487181","-0.000868218565935996","50.2390677542066","-7.54148709453796","46.3015940975973","-0.503352469817955","55.2464860443789","4.84153886298024","0.327744295026222","-0.0185928196604292","502.578085040495","-75.4101353377761","926.071707026986","-10.021812844172","1381.17361762734","121.014547232719","2810.15115397628","35.5640062446755","25.180540179394","-3.77127673342431",NA,NA,"21.6531840823286","0.886872016608692","21.457725681295","0.876920238615103","21.0687994861661","0.850429728574952","20.7048898577199","0.824132671265943","21.5554421573329","0.881449522189307","0.00446123763755886","0.000955734694680153","0.206569134215522","0.00537929199180359","0.28793722444115","0.0503105964349745","0.368701822324674","-0.0424317790908564","0.867669418619154","0.014213844030353","0.000111892738870474","3.24947337394093e-05","0.000344999920321537","1.00454765774012e-05","0.00033871368964651","2.3803738531706e-05","0.000371028794060473","2.19983031176497e-05","0.00116663514289912","8.83422519660408e-05","1.16669819407026e-06","8.82386194121333e-08","43830.7974652793","-89.5272379562666","4812.48535101897","164.608697507627","72739.5262227833","-2902.01760797136","7181.36497970696","-305.598161843864","49.6453162794873","5.75685611183138","0.0892938467531146","-0.0089879956210183","0.413168916161623","0.000295475831264713","6.67255425928209","0.184243226496587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daycent",1,3,"1_3","CC-CR",NA,NA,NA,NA,NA,NA,NA,NA,"0.339572805599489","-0.00754880550407505",NA,NA,NA,NA,"3.136974990312","-0.0166571997812923","9.90231314041348","-0.19611555708474","0.00113617763420685","-2.30617574157202e-05","0.572375924224147","-0.01048772505776","0.191622679647575","-0.000186333615324191","0.190635486040344","0.00075799317610814",NA,NA,"0.183474668954974","0.00506843021692679","0.191307647601834","0.000129436669458555","0.00171326860303969","0.000290078849570114",NA,NA,NA,NA,"0.00214423954426522","0.00118138138578927","0.0171451097248205","0.00723405919351524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00774664155557115","0.000302733505176943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.86275862068982","2.35724137931019","0.224228904381146","-0.00502522685182111",0.572347789329045,-0.0104797349060765,"1.17149050865726","-0.0206639597274922","1.3212333829716","-0.033229931043345","3.13643662420626","-0.10250270905739","0.216678507084119","-0.00653907440763993","0.218553222293303","-0.0062489618177699","0.235619114997214","-0.00561711772982515","0.249513408891805","-0.00560328837214555","0.355429768063893","-0.0116872011263944","0.523344877407648","-0.0254496830576317","0.524897787093664","-0.0132452012304893","0.192179217447023","-0.000786569335047976","0.189291806660073","0.00201835042614948","0.187525237789192","0.00330137487477442","0.185567736084445","0.00433588357132711","0.000592283200652436","0.000104605376287462","0.00561235530603982","0.00134876952008664","0.00248083556174436","0.00182409788935118","0.00214299332529742","0.00138541006024351","0.0024591341837895","0.00109971611217914","-0.584814896822081","0.0264772256686113","0.204393940162394","0.0203814835389688"
"Daycent",1,51,"1_51","RR50-CR",NA,NA,NA,NA,NA,NA,NA,NA,"0.33977541710707","-0.00714271155313073",NA,NA,NA,NA,"3.1834441224219","-0.122032718723865","9.98236336400206","-0.379650320218747","0.00113651575772669","-2.20033873168403e-05","0.572151425481181","-0.0101600198965266","0.189633238836792","-0.00146139836855261","0.188712103244523","-0.000544221594639183",NA,NA,"0.182076169940847","0.00366197280711411","0.189338080566763","-0.00115376687367252","0.0024240114024682","0.000371069003718373",NA,NA,NA,NA,"0.00314092486509378","0.000327813085427204","0.0266714591229894","0.00432822507275898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00749855657300127","0.000111822088140744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.66482758620703","1.75999999999987","0.224588915137292","-0.00470065586603316",0.572150446726061,-0.0101597051717306,"1.17134551117921","-0.0228293814005895","1.32464090681399","-0.0424684523056229","3.16641706579353","-0.170316380405102","0.216939110041546","-0.00610067310875972","0.21855037032178","-0.00578590729404529","0.235316493297161","-0.00516415456744695","0.249158983302936","-0.00558215317961366","0.355637027580079","-0.0131345593618942","0.527835729454462","-0.0361373072722727","0.531243963178025","-0.0289372323716288","0.190151764453895","-0.00204206742751442","0.187460128557123","0.000677174909967188","0.185822806074114","0.00191958800281919","0.184011180055164","0.00293154849990365","0.000874730613005868","8.52592915985512e-05","0.00771601827717861","0.00219921507424948","0.00483762692054325","0.000728584470468575","0.00396390801661229","0.000250307707109754","0.00371423902809988","0.000365976440174603","-0.573616953337256","0.0141831136236616","0.184092363547352","0.0221625183781871"
"Daycent",1,52,"1_52","RR25-CR",NA,NA,NA,NA,NA,NA,NA,NA,"0.34061663051943","-0.00648592143902005",NA,NA,NA,NA,"3.18333983562994","-0.11625236454322","9.99355503229581","-0.35659242289317","0.00113919605308696","-1.98166931962673e-05","0.573395042796337","-0.00918335017414851","0.184322734278015","-0.00564220193970977","0.183599811344015","-0.00483143915329348",NA,NA,"0.178494209139945","-0.00110133368786353","0.184091336364942","-0.00537238194440584","0.00233968476833047","0.000413944420352749",NA,NA,NA,NA,"0.00292168058628668","0.000226691276369224","0.0252885072863703","0.00423510227248127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00733799275713502","0.000162554515949466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.19655172413812","2.54482758620672","0.225184379769092","-0.00414742158099837",0.573401438244443,-0.00918290752080597,"1.17413930709251","-0.0213489801640121","1.32751012239035","-0.0396001480382366","3.16936971403085","-0.159574236886241","0.217624275485147","-0.00572975198988041","0.219195426411686","-0.0055184706116293","0.235927611904888","-0.00491017612817438","0.249854746407405","-0.00541677258087031","0.35654839570676","-0.0125694002324205","0.52847586727351","-0.0345631971110772","0.531259676222823","-0.0280094100431648","0.184736300118221","-0.00616314026667775","0.182616810205395","-0.00375068989722274","0.181349597944971","-0.00265620117694049","0.179967019305135","-0.00176900839871375","0.000847802234976053","9.26904268938988e-05","0.00744101701477385","0.00230599455870253","0.00455174932314832","0.00069241991752588","0.00370945260564756","0.000223161706301351","0.00347712075320924","0.000280199966333779","-0.567194939181489","0.0195365928643202","0.193513796242897","0.0295288659794957"
"Daycent",1,53,"1_53","RR00-CR",NA,NA,NA,NA,NA,NA,NA,NA,"0.346845500054218","0.00142145768096169",NA,NA,NA,NA,"3.1988135597031","-0.0813416398287639","10.0850546345142","-0.127742069969123","0.00115983529367472","6.88133379682593e-06","0.58365367492867","0.00412963106682673","0.1770067184234","-0.0131192525567688","0.176562521112092","-0.0124293095957941",NA,NA,"0.173607515704725","-0.00910239923416378","0.176863683090417","-0.0128907536431221","0.00226838980340671","0.000426623741017116",NA,NA,NA,NA,"0.00285685502061884","0.000299143017089182","0.0243693563026991","0.00491221872375759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00731240470967395","0.000913490429601741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.78344827586218","1.48137931034473","0.229336118689972","0.00133024505089357",0.583575452984456,0.00418924188050041,"1.19503973565936","0.00867748770044319","1.34663057353287","-0.000851728428918896","3.18473547188141","-0.0611075231459468","0.22236532033883","-0.00150252246364585","0.22392397353815","-0.0014770283713737","0.240915805169874","-0.000535151082481561","0.255139482585183","-0.000213286764599141","0.362749111451691","-0.00365635716864138","0.531954115849206","-0.0194532227299841","0.534383482527348","-0.0230108513747653","0.177267497605473","-0.0135587112229276","0.175962411150656","-0.0115142860474479","0.175220663634393","-0.0105768257582149","0.1744345032261","-0.00978133651258867","0.000821741024907053","8.50893799170813e-05","0.00717484878617924","0.00218294765013052","0.00435826369614129","0.000803462078640829","0.00354112745982296","0.00048713685943317","0.00334813051163548","0.000627815997517212","-0.547835975661577","0.0404593380299307","0.204603264016622","0.0514868303611061"
"Daycent",1,54,"1_54","RR50-NT-CR",NA,NA,NA,NA,NA,NA,NA,NA,"0.340542842578318","-0.00667867593928906",NA,NA,NA,NA,"3.18518836422303","-0.117078380386208","10.0030539318824","-0.365139204454779","0.00113961971637882","-2.09470534564781e-05","0.57395805933156","-0.00976534746746704","0.178822069968705","0.000528462026287757","0.17824888206938","0.00111324416943182",NA,NA,"0.174380888030142","0.00305823904545346","0.178635922186043","0.000730761368165717","0.00228392781128838","0.000202725547883166",NA,NA,NA,NA,"0.00202330235228635","-7.09237124456867e-05","0.0220707370619233","0.000535212823996684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00614135639676193","-4.97998403423518e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.36206896551753","3.79310344827559","0.225118814466826","-0.0045030300476091",0.573916169668852,-0.00968165940795651,"1.17571360896999","-0.0223327577795307","1.32980217878096","-0.0404686452313139","3.17273006346767","-0.16431236753929","0.217424040551806","-0.00586494447795724","0.219031550910001","-0.00546861593535583","0.236082038709624","-0.00503666735459191","0.250140325684909","-0.00555660264946112","0.357128266236283","-0.0127577693721043","0.528980389106332","-0.0352837316649686","0.531450093867106","-0.0279805012096993","0.179154757479304","0.000131761476453635","0.177471298815635","0.00188582004249782","0.176497908998357","0.00254617596105755","0.17546047746285","0.00293652241565401","0.000829672356213436","2.7324533174277e-05","0.00740054636400804","0.0014915032076082","0.00395652331253098","-0.000276431794247409","0.00298592544494848","-0.000552208108401614","0.00259083942065652","-0.000286776849583115","-1.17329262446539","-0.0322312163262728","0.135651468207722","0.0148819227266313"
"Daycent",1,55,"1_55","RR25-NT-CR",NA,NA,NA,NA,NA,NA,NA,NA,"0.346100516723709","-0.00735729884882058",NA,NA,NA,NA,"3.20464054442114","-0.124391976886165","10.0979096477975","-0.344896524749993","0.00115773781383034","-2.25539520192785e-05","0.582796568169651","-0.0103214378826005","0.172705272437042","0.000278314642566585","0.172327035200112","0.000716190173810083",NA,NA,"0.170012259269574","0.00172066650609828","0.172582665334198","0.00042970331944428","0.00219589208116644","0.000196464235125933",NA,NA,NA,NA,"0.00192872467610394","-2.51017356100443e-05","0.0208689021530017","0.000978704219750125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00595962183164279","0.000437006525544869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.58068965517276","4.7006896551721","0.228840728935175","-0.00487521528604834",0.582789936894518,-0.0102653716454021,"1.19402477605413","-0.0226126624513128","1.34747359735808","-0.0374606564291757","3.19403291606607","-0.137877276896328","0.221234430296349","-0.00657377986344382","0.22284071678956","-0.0062808670600111","0.239970130320139","-0.00566062698963116","0.254357474716735","-0.00611290996629588","0.362283604607565","-0.0125783318666582","0.532776680494569","-0.0312674578650411","0.53499200879856","-0.0297046294387406","0.172936120045068","-3.85731717124915e-05","0.171815346347666","0.00129003993319013","0.171215063767259","0.00169932865877984","0.170614244914","0.00183242406922204","0.000794388985030212","2.59829193231859e-05","0.0070916666648104","0.00138972656032309","0.00365818562853333","-0.000125162979121051","0.00276299877053534","-0.000356571979024068","0.00243704534681652","-0.00012663280126139","-1.13856695487782","-0.0342599724195474","0.136041043926011","0.015419232581695"
"Daycent",1,56,"1_56","RR00-NT-CR",NA,NA,NA,NA,NA,NA,NA,NA,"0.352397090691105","-0.00736117964838062",NA,NA,NA,NA,"3.2190915226478","-0.11282254518371","10.1934163531121","-0.290588807337308","0.0011785410942487","-2.21810841806421e-05","0.593058158820957","-0.00988103426248443","0.168320414668834","8.33020822815222e-05","0.168078811461476","0.00042349490184368",NA,NA,"0.166854626250567","0.000820165927859856","0.168240354534636","0.000204921595385321","0.00208567888201634","0.000196710159964954",NA,NA,NA,NA,"0.00185079435966334","3.24143018217992e-05","0.0194942406218035","0.00156514269720863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00607148004191102","0.000462074281748824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.78689655172455","5.62620689655134","0.233085844735102","-0.00493887026823725",0.592955908095423,-0.00971842384019939,"1.21446236454068","-0.0193945657187462","1.36633347168449","-0.02859009751661","3.21498789992756","-0.107600514674722","0.225565095503474","-0.00701314823435925","0.227129373913272","-0.00666541386346955","0.244451025197688","-0.00589145649538123","0.259016922757454","-0.00590303633761607","0.367692417432818","-0.010708675862851","0.536172773109128","-0.0260823982636302","0.537610597946151","-0.028115898943464","0.16847496354587","-0.000172359115836795","0.167754772757234","0.00086577548252606","0.167417338248574","0.00111115054211974","0.16711948614815","0.00108126939554148","0.000749631780543245","3.29958132426309e-05","0.00669166097799369","0.00133984612858385","0.00329249540134263","9.66487320569675e-05","0.00252772477437704","-0.000152110329720913","0.00229625444586002","1.86378912665035e-05","-1.10395169858321","-0.0340686572145117","0.136184318653118","0.0169582112622179"
"Daycent",1,7,"1_7","CN",NA,NA,NA,NA,NA,NA,NA,NA,"0.343778810816407","-0.00125996716531485",NA,NA,NA,NA,"3.21829824715599","-0.0871346890948255","10.1124424030995","-0.225884258596206","0.00115078236620267","-2.52822606338601e-06","0.580346104933157","-0.00116295916012787","0.180570491315144","-0.00902938897471695","0.179973765316415","-0.00824505706789366",NA,NA,"0.175841233328502","-0.00444997043343631","0.180379564978425","-0.00877027044023429","0.00218984729412666","-1.59392983535094e-05",NA,NA,NA,NA,"0.00276737482229374","-0.000119892220662494","0.0236944479197807","0.00020905879625285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00543139490708745","0.000580040812715399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.07448275862069","-0.0179310344827552","0.226657450452298","-0.000105299737137382",0.580354343812991,-0.00106453320538669,"1.19234733108351","-0.00574677497310772","1.34901051786051","-0.0221398638681021","3.20200394074022","-0.108334704540167","0.219929740987919","-0.00311216821871507","0.22200168172272","-0.00328856786393472","0.23944009161435","-0.00255887268231197","0.2542663710595","-0.00287289885621522","0.362778078586057","-0.00853398740542161","0.533802119428865","-0.0258698228453931","0.536548110979209","-0.0224059377558347","0.180912823259039","-0.00952638292286231","0.179162924092308","-0.00719671298819824","0.178131622108733","-0.00611158258611075","0.177019022077586","-0.00519495503137243","0.000790633936110147","-4.48008333352725e-05","0.00702561010232108","0.000645096126850719","0.00423228976305764","0.000153023089820431","0.00342845194862441","-0.000253187566660255","0.00326024005323809","-0.000155240501397836","-0.555052104589914","0.0309433330468015","0.130815400896234","0.0115091094637257"
"Daycent",1,8,"1_8","CC-NT-CR",NA,NA,NA,NA,NA,NA,NA,NA,"0.345709671823759","-0.00421388594935157",NA,NA,NA,NA,"3.17591221049151","-0.0320915561717872","10.0441117907923","-0.157559348669412","0.00115683901283086","-1.1969437544579e-05","0.582734908563558","-0.00500782935733701","0.176808850467443","-0.00289170017965995","0.176323358063571","-0.00233689739603535",NA,NA,"0.173120119901606","-0.00041578738623238","0.176650998370255","-0.00270037287346866","0.00170828502332366","7.78707885506285e-05",NA,NA,NA,NA,"0.00142091461361727","0.000204695574030498","0.0149588497670984","0.00092949690196558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00596370529251215","8.81543696642888e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.01034482758661","5.29655172413755","0.228394432442444","-0.00274772223679401",0.582643088664445,-0.00492786757328045,"1.19364640613332","-0.00952645286330367","1.34440509587641","-0.0185862253386242","3.17330906540443","-0.0853856766953234","0.221056463728501","-0.00487168489224044","0.222880607089865","-0.0046707789042878","0.240296144958591","-0.00397686172389422","0.254711802532319","-0.003944386860816","0.362293610862337","-0.00870228168164394","0.529912320686825","-0.0233011214050143","0.531637739516335","-0.0163154941406227","0.177093583285055","-0.00326726475735745","0.175666577239737","-0.00160573756100893","0.174857599377689","-0.000975130779532873","0.174005604054197","-0.000586113697528257","0.000597075571144014","1.72375533313924e-05","0.00568789970882808","0.000458680425644963","0.002201577742637","3.74549675207004e-05","0.00165411689799178","1.02223507312176e-05","0.00168898020955994","0.000123335242152852","-1.14635994548975","-0.0171664383261063","0.155839456834104","0.0132548102771977"
