"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"Daycent",1,44,"1_44",NA,NA,NA,"-0.9","7.9826585","0.000138291034484123","-55.6098032","-0.0156266153256823","6.2","-0.0774092222222127","0.225531487179511"
"Daycent",1,51,"1_51",NA,NA,NA,"-0.199999999999999","8.6618848","0.00543208000000159","-62.5450685","-0.171646745593877","6.1","-0.0938162222222106","0.049543179487199"
"Daycent",1,52,"1_52",NA,NA,NA,"0.0999999999999996","8.6627823","0.00968008689655328","-58.3862286","-0.112760125670508","6.8","-0.0927653333333212","0.130221333333356"
"Daycent",1,53,"1_53",NA,NA,NA,"-0.5","8.576455","0.0114196482758638","-51.6114","0.0492948061302527","6.6","-0.0827707777777653","0.370308307692338"
"Daycent",1,54,"1_54",NA,NA,NA,"1.2","6.7186033","0.0042110965517258","-147.4139647","-0.250733996168574","8.4","-0.0858828888888787","0.0376205128205312"
"Daycent",1,55,"1_55",NA,NA,NA,"1.6","6.6530339","0.00438636413793261","-142.9928382","-0.230375774712639","8.9","-0.0886591111111001","0.0713695042735248"
"Daycent",1,56,"1_56",NA,NA,NA,"2.1","6.5995279","0.00475585379310484","-138.0615619","-0.214960949425282","9.5","-0.0929465555555442","0.103858119658142"
"Daycent",1,7,"1_7",NA,NA,NA,"-0.699999999999999","8.3907228","0.0076676496551743","-59.7219726","0.0522154344827763","6.3","-0.00329661302682149",NA
"Daycent",1,8,"1_8",NA,NA,NA,"3.7","8.8407011","0.00349952827586184","-118.6681938","-0.144836573946369","11.6","-0.0613564444444351","0.44071644444448"
"Daycent",2,3,"2_3",NA,NA,NA,"0.900000000000001","10.981515","0.0262202772413809","-25.4647677","-0.0182226429118931","8.3","-0.142354444444428","-0.357685675213662"
"Daycent",2,41,"2_41",NA,NA,NA,"-0.700000000000001","8.5580123","0.0215771586206912","-51.1978158","-0.0026953149425244","6.4","-0.10572222222221","-0.0568903247863082"
"Daycent",2,42,"2_42",NA,NA,NA,"-0.800000000000001","8.4024762","0.0197681131034498","-52.2400654","-0.016711789272025","6.3","-0.117401666666655","-0.0670058119657961"
