"","Climate_Scenario","Mgmt_Scenario","Scenario_Name","mean_CottonYld_Mgha","mean_SorghumYld_Mgha","mean_SOC_Mgha","mean_N2O_Mgha","mean_CH4_Mgha","mean_CO2e_SOC","mean_CO2e_N2O","mean_CO2e_CH4","mean_GWP","sd_CottonYld_Mgha","sd_SorghumYld_Mgha","sd_SOC_Mgha","sd_N2O_Mgha","sd_CH4_Mgha","sd_CO2e_SOC","sd_CO2e_N2O","sd_CO2e_CH4","sd_GWP","scenario_abbrev"
"58",4,41,"4_41",0.21695,-0.2342,-1.51158,0.00604,-0.05228,5.54303,1.79919,-1.46375,5.87847,0.03995,0.1934,2.08894,0.0024,0,7.66023,0.716,0,7.77676,"RF05-CR"
"59",4,42,"4_42",0.22006,-0.24328,-1.54304,0.00589,-0.05337,5.65839,1.75471,-1.49429,5.91881,0.06285,0.1746,2.14719,0.00238,0,7.87384,0.70886,0,8.01235,"RF15-CR"
"60",4,43,"4_43",0.20866,-0.26644,-1.59674,0.00574,-0.05447,5.8553,1.71042,-1.52508,6.04064,0.07112,0.18005,2.17812,0.00235,0,7.98725,0.69906,0,8.13441,"RF25-CR"
"61",4,44,"4_44",0.19733,-0.28198,-1.67356,0.00558,-0.05557,6.137,1.66405,-1.55599,6.24506,0.08049,0.17069,2.18108,0.00231,0,7.99811,0.68953,0,8.14268,"RF35-CR"
"62",4,51,"4_51",0.12681,-0.16302,-1.16496,0.00569,-0.06234,4.27195,1.69466,-1.74547,4.22114,0.05439,0.20422,1.62824,0.00278,0,5.97079,0.82859,0,6.15024,"RR50-CR"
"63",4,52,"4_52",0.18687,-0.22426,-1.23544,0.00589,-0.0584,4.53041,1.7554,-1.63533,4.65048,0.02047,0.03784,1.98136,0.00265,0,7.26571,0.78878,0,7.35671,"RR25-CR"
"64",4,53,"4_53",0.21377,-0.22478,-1.4701,0.00611,-0.05173,5.39089,1.82024,-1.44837,5.76276,0.02861,0.19393,2.08655,0.00241,0,7.65146,0.7191,0,7.78261,"RR00-CR"
"65",4,54,"4_54",0.08217,-0.14232,-0.91005,0.00469,-0.14482,3.33718,1.39742,-4.05492,0.67968,0.05475,0.17346,2.38179,0.00192,0,8.73409,0.57325,0,8.67409,"RR50-NT-CR"
"66",4,55,"4_55",0.0954,-0.1577,-0.87198,0.00488,-0.14068,3.19758,1.45551,-3.93917,0.71392,0.03669,0.13895,2.57434,0.00173,0,9.44018,0.51562,0,9.33098,"RR25-NT-CR"
"67",4,56,"4_56",0.11298,-0.28635,-0.76499,0.00511,-0.13612,2.80525,1.52146,-3.81143,0.51528,0.00973,0.05642,2.71749,0.00152,0,9.96514,0.45175,0,9.83197,"RR00-NT-CR"
"68",4,61,"4_61",0.27955,-0.30003,-0.9,0.00319,NA,3.30033,0.95054,NA,4.25087,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
"69",4,62,"4_62",0.29285,-0.22142,-1.6,0.00322,NA,5.86725,0.95816,NA,6.82541,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
"70",4,63,"4_63",0.3197,-0.16717,-2.3,0.00324,NA,8.43418,0.96549,NA,9.39967,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
"71",4,64,"4_64",0.3529,-0.12083,-3,0.00326,NA,11.0011,0.97038,NA,11.97148,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
"72",4,65,"4_65",0.34425,0.09348,-4,0.0032,NA,14.66813,0.95466,NA,15.62279,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
"73",5,3,"5_3",-0.12061,0.18661,0.05527,0.00792,-0.02825,-0.20267,2.35976,-0.79105,1.36604,0.12691,0.80536,0.51765,0.00288,0,1.89825,0.8571,0,1.12181,"CC-CR"
"74",5,7,"5_7",-0.09722,NA,-1.70401,0.0066,-0.06051,6.24865,1.96744,-1.69421,6.52188,0.17964,NA,2.27282,0.00199,0,8.33449,0.59443,0,8.40875,"CN"
"75",5,8,"5_8",-0.11812,0.00548,-0.12453,0.00702,-0.11794,0.45664,2.09308,-3.30239,-0.75267,0.17612,0.62378,2.75367,0.00196,0,10.0978,0.58448,0,9.71762,"NT-CC-CR"
"76",5,41,"5_41",-0.06828,0.10383,-1.56948,0.00608,-0.05319,5.75532,1.81236,-1.48935,6.07834,0.15305,0.2759,1.9219,0.00252,0,7.04768,0.75101,0,7.11923,"RF05-CR"
"77",5,42,"5_42",-0.07546,0.10614,-1.60111,0.00592,-0.05429,5.87131,1.76542,-1.52009,6.11664,0.13844,0.23753,1.90329,0.00249,0,6.97943,0.74287,0,7.06623,"RF15-CR"
"78",5,43,"5_43",-0.0758,0.09673,-1.60338,0.00577,-0.05539,5.87965,1.71848,-1.55091,6.04723,0.11208,0.22304,1.89789,0.00246,0,6.95963,0.73233,0,7.07595,"RF25-CR"
"79",5,44,"5_44",-0.0994,0.09161,-1.65172,0.0056,-0.05651,6.05691,1.67029,-1.5823,6.14489,0.12035,0.2044,1.84412,0.00242,0,6.76244,0.72247,0,6.87998,"RF35-CR"
"80",5,51,"5_51",-0.04275,-0.07577,-0.70029,0.0057,-0.06327,2.56799,1.69969,-1.77154,2.49614,0.03267,0.19714,0.52982,0.00286,0,1.94287,0.85216,0,2.40346,"RR50-CR"
"81",5,52,"5_52",-0.0613,0.02297,-1.011,0.00591,-0.05934,3.70738,1.75981,-1.66161,3.80558,0.04341,0.13835,1.18255,0.00274,0,4.33647,0.81789,0,4.41292,"RR25-CR"
"82",5,53,"5_53",-0.07144,0.10533,-1.56516,0.00616,-0.05264,5.73948,1.83421,-1.4738,6.09989,0.16993,0.29321,1.9221,0.00253,0,7.04839,0.75481,0,7.1205,"RR00-CR"
"83",5,54,"5_54",-0.02413,-0.09434,-0.75652,0.00473,-0.14651,2.77417,1.41016,-4.10231,0.08202,0.04586,0.18507,1.84414,0.00203,0,6.76252,0.60476,0,6.62756,"RR50-NT-CR"
"84",5,55,"5_55",-0.04864,-0.12203,-0.84357,0.00491,-0.14236,3.09339,1.46394,-3.98596,0.57137,0.02066,0.25817,2.29733,0.00185,0,8.42438,0.55215,0,8.25433,"RR25-NT-CR"
"85",5,56,"5_56",-0.07789,-0.13958,-0.88445,0.00516,-0.13773,3.2433,1.53745,-3.85634,0.92441,0.08897,0.31768,2.6291,0.00163,0,9.64099,0.48687,0,9.44722,"RR00-NT-CR"
"86",5,61,"5_61",-0.18185,-0.09492,-1.3,0.00308,NA,4.76714,0.91695,NA,5.6841,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
"87",5,62,"5_62",-0.14665,-0.08791,-1.9,0.0031,NA,6.96736,0.9249,NA,7.89227,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
"88",5,63,"5_63",-0.1796,-0.17806,-2.5,0.00309,NA,9.16758,0.92211,NA,10.0897,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
"89",5,64,"5_64",-0.1007,-0.23443,-3.2,0.00308,NA,11.73451,0.91753,NA,12.65204,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
"90",5,65,"5_65",-0.11465,0.12166,-4.1,0.00306,NA,15.03484,0.9107,NA,15.94554,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
