"","Climate_Scenario","Mgmt_Scenario","Scenario_Name","mean_CottonYld_Mgha","mean_SorghumYld_Mgha","mean_SOC_Mgha","mean_N2O_Mgha","mean_CH4_Mgha","mean_CO2e_SOC","mean_CO2e_N2O","mean_CO2e_CH4","mean_GWP","sd_CottonYld_Mgha","sd_SorghumYld_Mgha","sd_SOC_Mgha","sd_N2O_Mgha","sd_CH4_Mgha","sd_CO2e_SOC","sd_CO2e_N2O","sd_CO2e_CH4","sd_GWP","scenario_abbrev"
"66",4,54,"4_54",-0.09254,-0.15119,0.55,0.01013,-0.32973,-2.01687,3.01882,-9.23239,-8.23044,-0.09254,-0.15119,1.90919,0.0081,0,7.00106,2.41425,0,4.58681,"RR50-NT-CR"
"67",4,55,"4_55",-0.09904,-0.04643,1,0.01042,-0.32197,-3.66703,3.10608,-9.01518,-9.57614,-0.09904,-0.04643,2.68701,0.00757,0,9.85334,2.25597,0,7.59737,"RR25-NT-CR"
"68",4,56,"4_56",-0.12359,0.00975,1.6,0.0109,-0.31333,-5.86725,3.24838,-8.77316,-11.39203,-0.12359,0.00975,3.39411,0.00679,0,12.44632,2.02392,0,10.4224,"RR00-NT-CR"
"69",4,61,"4_61",-0.05212,0.18076,-0.8,0.00642,NA,2.93363,1.91394,NA,4.84757,-0.05212,0.18076,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
"70",4,62,"4_62",-0.12603,0.06168,-1.1,0.00642,NA,4.03374,1.91257,NA,5.94631,-0.12603,0.06168,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
"71",4,63,"4_63",-0.12799,0.03632,-1.6,0.00637,NA,5.86725,1.89875,NA,7.766,-0.12799,0.03632,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
"72",4,64,"4_64",-0.14597,-0.05977,-2.3,0.00637,NA,8.43418,1.89898,NA,10.33315,-0.14597,-0.05977,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
"73",4,65,"4_65",-0.21309,-0.13296,-2.6,0.00627,NA,9.53429,1.86845,NA,11.40274,-0.21309,-0.13296,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
"74",5,3,"5_3",-0.05931,-0.29712,-0.05,0.01563,-0.13335,0.18335,4.65906,-3.73382,1.10859,-0.05931,-0.29712,1.62635,0.00727,0,5.96386,2.16743,0,3.79644,"CC-CR"
"75",5,7,"5_7",-0.17504,-0.59856,-1.15,0.01501,-0.14073,4.21709,4.47295,-3.94057,4.74947,-0.17504,-0.59856,0.77782,0.00847,0,2.85228,2.52481,0,0.32747,"CN"
"76",5,8,"5_8",-0.12154,-0.3301,1.1,0.01179,-0.33686,-4.03374,3.51285,-9.43207,-9.95296,-0.12154,-0.3301,3.9598,0.00216,0,14.52071,0.64388,0,13.87683,"NT-CC-CR"
"77",5,41,"5_41",0.02151,-0.28376,-0.95,0.01367,-0.14275,3.48368,4.07388,-3.99707,3.56049,0.02151,-0.28376,0.07071,0.01019,0,0.2593,3.03631,0,2.77701,"RF05-CR"
"78",5,42,"5_42",0.01414,-0.29668,-1.05,0.01317,-0.14597,3.85039,3.92584,-4.08708,3.68915,0.01414,-0.29668,0.07071,0.00992,0,0.2593,2.95633,0,3.21563,"RF15-CR"
"79",5,43,"5_43",0.01077,-0.32102,-1.15,0.01271,-0.14916,4.21709,3.78635,-4.17648,3.82696,0.01077,-0.32102,0.21213,0.00957,0,0.7779,2.85252,0,3.63041,"RF25-CR"
"80",5,44,"5_44",-0.00917,-0.33549,-1.35,0.01216,-0.15238,4.9505,3.62377,-4.26678,4.30749,-0.00917,-0.33549,0.21213,0.00926,0,0.7779,2.7608,0,3.53869,"RF35-CR"
"81",5,51,"5_51",-0.06068,-0.18991,-1.25,0.01273,-0.164,4.58379,3.79324,-4.59192,3.78511,-0.06068,-0.18991,0.77782,0.01111,0,2.85228,3.31177,0,6.16405,"RR50-CR"
"82",5,52,"5_52",-0.02909,-0.19978,-0.9,0.01317,-0.15643,3.30033,3.92424,-4.38009,2.84447,-0.02909,-0.19978,0.14142,0.01083,0,0.5186,3.22759,0,3.74619,"RR25-CR"
"83",5,53,"5_53",0.01169,-0.18423,-0.85,0.01584,-0.14113,3.11698,4.72099,-3.95164,3.88633,0.01169,-0.18423,0.07071,0.00758,0,0.2593,2.26007,0,2.00077,"RR00-CR"
"84",5,54,"5_54",-0.09269,-0.1754,0.15,0.01049,-0.35098,-0.55006,3.12545,-9.82745,-7.25206,-0.09269,-0.1754,1.76777,0.00874,0,6.48246,2.60342,0,3.87904,"RR50-NT-CR"
"85",5,55,"5_55",-0.07786,-0.27289,0.45,0.01082,-0.34357,-1.65017,3.22429,-9.62006,-8.04594,-0.07786,-0.27289,2.75772,0.00841,0,10.11264,2.50642,0,7.60622,"RR25-NT-CR"
"86",5,56,"5_56",-0.08235,-0.2897,0.65,0.01135,-0.33544,-2.38357,3.38295,-9.3924,-8.39302,-0.08235,-0.2897,3.88909,0.0078,0,14.26141,2.32505,0,11.93636,"RR00-NT-CR"
"87",5,61,"5_61",-0.00211,-0.64917,-1.8,0.00665,NA,6.60066,1.98271,NA,8.58337,-0.00211,-0.64917,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
"88",5,62,"5_62",-0.01143,-0.64596,-1.8,0.00665,NA,6.60066,1.98022,NA,8.58088,-0.01143,-0.64596,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
"89",5,63,"5_63",-0.09054,-0.6404,-2.5,0.00656,NA,9.16758,1.9558,NA,11.12338,-0.09054,-0.6404,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
"90",5,64,"5_64",-0.13982,-0.63985,-3,0.00652,NA,11.0011,1.94299,NA,12.94409,-0.13982,-0.63985,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
"91",5,65,"5_65",-0.22011,-0.59856,-3.2,0.00641,NA,11.73451,1.90905,NA,13.64355,-0.22011,-0.59856,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
