"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"APSIM",1,2,"1_2",NA,NA,NA,"2.2","5.26889","0.00362189709025119",NA,NA,"8.9","-0.0519394736842103","-0.80566865204802"
"APSIM",1,3,"1_3",NA,NA,NA,"0.4","10.28173","0.00845755063291145",NA,NA,"7.2","-0.0257963414634125","0.202562655601663"
"APSIM",1,51,"1_51",NA,NA,NA,"-2.5","2.46347","-0.0725046265822784",NA,NA,"1.4","0.176196428571416","1.41810184552292"
"APSIM",1,52,"1_52",NA,NA,NA,"-3.6","2.92539","-0.0803476898734177",NA,NA,"1.4","0.0890035714285619","3.00178708133972"
"APSIM",1,53,"1_53",NA,NA,NA,"0.5","6.21752","0.00782973417721523",NA,NA,"6.5","0.01855243902439","0.218462572614111"
"APSIM",1,7,"1_7",NA,NA,NA,"0.600000000000001","8.90082","0.00109894936708868",NA,NA,"6.7","-0.0694481012658225",NA
"APSIM",1,8,"1_8",NA,NA,NA,"0.9","10.25291","0.0107819430379747",NA,NA,"8","0.0105951219512204","0.187184896265562"
"APSIM",1,54,"1_54",NA,NA,NA,"-2.8","2.62377","-0.076652582278481",NA,NA,"1.4","0.199039285714273","2.13345727956256"
"APSIM",1,55,"1_55",NA,NA,NA,"-4.1","3.27695","-0.0914937341772152",NA,NA,"1.4","0.105439285714277","3.36915481886537"
"APSIM",1,56,"1_56",NA,NA,NA,"0.8","7.11332","0.00446033544303798",NA,NA,"7.6","0.028243902439024","0.281039502074692"
"APSIM",1,41,"1_41",NA,NA,NA,"-4.6","3.44473","-0.0909970063291138",NA,NA,"1.4","-0.265199999999995","3.64572693096377"
"APSIM",1,42,"1_42",NA,NA,NA,"-4.5","3.33599","-0.0873948607594936",NA,NA,"1.4","-0.115607142857142","3.69491011619959"
"APSIM",1,43,"1_43",NA,NA,NA,"-4.5","3.27301","-0.0856452531645569",NA,NA,"1.4","-0.0703392857142843","3.8764080656186"
"APSIM",1,44,"1_44",NA,NA,NA,"-4.5","3.20994","-0.0834845316455696",NA,NA,"1.4","0.014764285714288","4.00424436090227"
"APSIM",1,61,"1_61",NA,NA,NA,"-0.5","5.99341","0.00394625316455699",NA,NA,"10.2","-0.0197231707317076","0.0747868421052718"
"APSIM",1,62,"1_62",NA,NA,NA,"-5.1","3.64673","-0.0997477784810125",NA,NA,"10.5","-0.503099999999988","3.42942857142857"
"APSIM",1,63,"1_63",NA,NA,NA,"-5.5","3.65112","-0.102222626582278",NA,NA,"14.6","-0.689603571428554","3.64328571428571"
"APSIM",1,64,"1_64",NA,NA,NA,"-6","3.61432","-0.0996917658227847",NA,NA,"18.7","-0.667457142857122","3.45214285714285"
"APSIM",1,65,"1_65",NA,NA,NA,"-6","3.66628","-0.105656905063291",NA,NA,"23","-0.72275357142854","2.82959999999998"
"APSIM",2,3,"2_3",NA,NA,NA,"0.3","9.15461","0.000802898734177215",NA,NA,"7.1","0.00111951219512352","-0.0566921052631533"
"APSIM",2,41,"2_41",NA,NA,NA,"-4.5","3.17946","-0.0822402341772151",NA,NA,"1.5","0.282332142857141","-1.07922857142866"
"APSIM",2,42,"2_42",NA,NA,NA,"-4.4","3.04045","-0.0770845253164556",NA,NA,"1.5","0.269796428571424","-1.17668571428581"
"APSIM",2,43,"2_43",NA,NA,NA,"-4.5","2.94353","-0.0739754050632911",NA,NA,"1.4","0.232467857142853","-1.21020000000009"
"APSIM",2,44,"2_44",NA,NA,NA,"-4.5","2.8534","-0.070837917721519",NA,NA,"1.4","0.191657142857144","-1.3230857142858"
"APSIM",2,51,"2_51",NA,NA,NA,"-2.6","2.30308","-0.0688260379746836",NA,NA,"1.4","0.217564285714282","-3.07945714285721"
"APSIM",2,52,"2_52",NA,NA,NA,"-3.6","2.69931","-0.0731568037974683",NA,NA,"1.4","0.30726428571428","-1.66311428571436"
"APSIM",2,53,"2_53",NA,NA,NA,"0.4","5.81712","0.00245703797468356",NA,NA,"6.4","-0.0546878048780495","0.135126315789477"
"APSIM",2,54,"2_54",NA,NA,NA,"-2.9","2.43558","-0.0720624683544304",NA,NA,"1.4","0.249878571428567","-3.31208571428578"
"APSIM",2,55,"2_55",NA,NA,NA,"-4.1","2.94681","-0.0803748037974683",NA,NA,"1.4","0.294449999999995","-2.27700000000008"
"APSIM",2,56,"2_56",NA,NA,NA,"0.4","6.37041","0.00117410126582279",NA,NA,"7.2","-0.0588182926829278","0.0036552631578961"
"APSIM",2,61,"2_61",NA,NA,NA,"-0.6","5.79035","-1.05379746835332e-05",NA,NA,"10.1","-0.0568792682926839","0.126702631578952"
"APSIM",2,62,"2_62",NA,NA,NA,"-5.1","3.46797","-0.0943836265822784",NA,NA,"10.5","0.184414285714286","-0.452057142857243"
"APSIM",2,63,"2_63",NA,NA,NA,"-5.5","3.49162","-0.0967242911392404",NA,NA,"14.6","0.188871428571427","-0.511457142857251"
"APSIM",2,64,"2_64",NA,NA,NA,"-6","3.54363","-0.0993912531645569",NA,NA,"18.7","0.193467857142856","-0.370714285714397"
"APSIM",2,65,"2_65",NA,NA,NA,"-6","3.53438","-0.102395715189873",NA,NA,"23","0.00682499999998298","-0.0291428571429564"
"APSIM",2,7,"2_7",NA,NA,NA,"0.7","8.56213","0.0058197721518987",NA,NA,"6.8","0.0941183544303792",NA
"APSIM",2,8,"2_8",NA,NA,NA,"0.300000000000001","9.41462","0.00352046202531645",NA,NA,"7.4","0.0267475609756113","-0.118444736842102"
"APSIM",3,3,"3_3",NA,NA,NA,"-1.3","10.33889","0.0461975886075949",NA,NA,"5.5","-0.0995707317073137","-0.989368421052622"
"APSIM",3,41,"3_41",NA,NA,NA,"-4.6","3.31538","-0.0831918797468354",NA,NA,"1.4","-0.151403571428553","0.924685714285759"
"APSIM",3,42,"3_42",NA,NA,NA,"-4.6","3.2062","-0.0795066265822784",NA,NA,"1.4","-0.0908142857142692","0.9255428571429"
"APSIM",3,43,"3_43",NA,NA,NA,"-4.6","3.1013","-0.0766975632911392",NA,NA,"1.4","-0.142907142857128","0.973800000000051"
"APSIM",3,44,"3_44",NA,NA,NA,"-4.5","3.01045","-0.073780082278481",NA,NA,"1.4","-0.145692857142843","1.30071428571434"
"APSIM",3,51,"3_51",NA,NA,NA,"-2.6","2.31777","-0.0640280506329114",NA,NA,"1.4","-0.125914285714274","-0.0954000000000261"
"APSIM",3,52,"3_52",NA,NA,NA,"-3.6","2.77465","-0.0722512215189873",NA,NA,"1.4","-0.105160714285702","0.20760000000002"
"APSIM",3,53,"3_53",NA,NA,NA,"-1","6.67195","0.0406559240506329",NA,NA,"5.1","-0.090091463414632","-0.847934210526312"
"APSIM",3,54,"3_54",NA,NA,NA,"-2.9","2.43534","-0.067836",NA,NA,"1.4","-0.125217857142846","-0.34782857142859"
"APSIM",3,55,"3_55",NA,NA,NA,"-4.2","2.99558","-0.0784939746835443",NA,NA,"1.4","-0.137892857142845","0.14657142857143"
"APSIM",3,56,"3_56",NA,NA,NA,"-1.5","7.06176","0.0297818544303797",NA,NA,"5.5","-0.130785365853656","-0.782865789473681"
"APSIM",3,61,"3_61",NA,NA,NA,"-1.9","6.59843","0.0364583164556962",NA,NA,"8.8","-0.0800451219512174","-0.812194736842101"
"APSIM",3,62,"3_62",NA,NA,NA,"-5.2","3.58481","-0.0933781708860759",NA,NA,"10.5","-0.280660714285691","0.838800000000054"
"APSIM",3,63,"3_63",NA,NA,NA,"-5.6","3.55524","-0.0942754556962025",NA,NA,"14.5","-0.263667857142836","0.442028571428631"
"APSIM",3,64,"3_64",NA,NA,NA,"-6","3.59104","-0.0951260506329113",NA,NA,"18.7","-0.38958214285712","0.797657142857215"
"APSIM",3,65,"3_65",NA,NA,NA,"-6","3.58139","-0.0972889746835442",NA,NA,"23","-0.474685714285696","0.93677142857151"
"APSIM",3,7,"3_7",NA,NA,NA,"-1.7","8.85282","0.0205160316455696",NA,NA,"4.4","-0.299287974683544",NA
"APSIM",3,8,"3_8",NA,NA,NA,"-1.7","10.42354","0.0422058227848101",NA,NA,"5.5","-0.123212195121948","-1.02762631578946"
"APSIM",4,3,"4_3",NA,NA,NA,"-0.4","9.4244","0.0116325949367089",NA,NA,"6.5","-0.11383170731707","-0.203076315789482"
"APSIM",4,41,"4_41",NA,NA,NA,"-4.6","3.39608","-0.0902043607594936",NA,NA,"1.4","0.809946428571426","-0.480085714285712"
"APSIM",4,42,"4_42",NA,NA,NA,"-4.6","3.27122","-0.0860093164556961",NA,NA,"1.4","0.764399999999997","-0.543085714285712"
"APSIM",4,43,"4_43",NA,NA,NA,"-4.6","3.16478","-0.0823452531645569",NA,NA,"1.4","0.677903571428569","-0.682799999999996"
"APSIM",4,44,"4_44",NA,NA,NA,"-4.5","3.03436","-0.0771614240506329",NA,NA,"1.4","0.63235714285714","-0.770057142857147"
"APSIM",4,51,"4_51",NA,NA,NA,"-2.6","2.421","-0.0698672658227847",NA,NA,"1.4","-0.023539285714279","1.06585714285709"
